question,expected_answer,model_answer,clean_model_answer,is_correct,answer_type,question_type
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,احمدشاه ایران را به قصد کشور فرانسه ترک کرد و هرگز بازنگشت.,احمدشاه ایران را به قصد کشور فرانسه ترک کرد و هرگز بازنگشت.,False,unknown,unknown
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,غواصی عمیق‌تر نیاز به مخلوط کردن اکسیژن با سایر گازها دارد تا از مسمومیت نیتروژنی جلوگیری کند و فشار بالا را مدیریت کند.,غواصی عمیق‌تر نیاز به مخلوط کردن اکسیژن با سایر گازها دارد تا از مسمومیت نیتروژنی جلوگیری کند و فشار بالا را مدیریت کند.,False,unknown,unknown
بعد از کودتا اسفند 1299 مسعود خان به چه سمتی رسید؟,وزیر جنگ,بعد از کودتای اسفند 1299، مسعود خان به سمت وزیر جنگ رسید.,بعد از کودتای اسفند 1299، مسعود خان به سمت وزیر جنگ رسید.,True,unknown,unknown
در جنگ جهانی اول و جنگ جهانی دوم، ژاپن در کدام جبهه قرار داشت؟,در جنگ جهانی اول، ژاپن از متفقین بود و در جنگ جهانی دوم با متفقین می‌جنگید.,در جنگ جهانی اول، ژاپن در جبهه متفقین و در جنگ جهانی دوم، در جبهه محور قرار داشت.,در جنگ جهانی اول، ژاپن در جبهه متفقین و در جنگ جهانی دوم، در جبهه محور قرار داشت.,False,unknown,unknown
بودجه تئاتر ملی از کجا تأمین می گشت؟,امکانات و بودجهٔ خود را از محل خیریه آموزش و پرورش تأمین می‌کرد,بودجه تئاتر ملی عمدتاً از طریق دولت و نهادهای دولتی، بلیت‌فروشی، اسپانسرها و کمک‌های مالی تأمین می‌شود.,بودجه تئاتر ملی عمدتاً از طریق دولت و نهادهای دولتی، بلیت‌فروشی، اسپانسرها و کمک‌های مالی تأمین می‌شود.,False,unknown,unknown
اکسیژن عضوی از خانواده عناصر کدوم گروه است؟,گروه کالکوژن,اکسیژن عضوی از خانواده عناصر گروه 16 (کالکوجن‌ها) است.,اکسیژن عضوی از خانواده عناصر گروه 16 (کالکوجن‌ها) است.,True,unknown,unknown
در دهه‌های ۱۹۶۰ تا ۱۹۸۰ گرایش غالب حزب جمهوری‌خواهان را چه گروهی شکل می‌دادند؟,میانه‌روها,در دهه‌های ۱۹۶۰ تا ۱۹۸۰، گرایش غالب حزب جمهوری‌خواهان را گروه‌های محافظه‌کار شکل می‌دادند.,در دهه‌های ۱۹۶۰ تا ۱۹۸۰، گرایش غالب حزب جمهوری‌خواهان را گروه‌های محافظه‌کار شکل می‌دادند.,False,unknown,unknown
چه کسی کادوسیان را شکست داد؟,نی‌نوس شاه آشوری,داریوش بزرگ کادوسیان را شکست داد.,داریوش بزرگ کادوسیان را شکست داد.,False,unknown,unknown
کدام‌یک از فرهنگ‌ها در فرهنگ ژاپن تاثیر داشتند؟,فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است.,فرهنگ چین، فرهنگ کره و فرهنگ‌های بومی ژاپن از جمله فرهنگ‌هایی هستند که بر فرهنگ ژاپن تأثیر داشته‌اند.,فرهنگ چین، فرهنگ کره و فرهنگ‌های بومی ژاپن از جمله فرهنگ‌هایی هستند که بر فرهنگ ژاپن تأثیر داشته‌اند.,True,unknown,unknown
اینترنت از کدام دههٔ به صورت یک شبکهٔ همگانی و جهان‌شمول درآمد؟,از اواسط دههٔ ۱۹۹۰,اینترنت از دهه 1990 به صورت یک شبکه همگانی و جهان‌شمول درآمد.,اینترنت از دهه 1990 به صورت یک شبکه همگانی و جهان‌شمول درآمد.,True,unknown,unknown
اینترنت چیست؟,شبکه‌ای از شبکه‌ها,اینترنت یک شبکه جهانی از کامپیوترها و دستگاه‌های متصل به هم است که امکان اشتراک‌گذاری اطلاعات و دسترسی به منابع مختلف را فراهم می‌کند.,اینترنت یک شبکه جهانی از کامپیوترها و دستگاه‌های متصل به هم است که امکان اشتراک‌گذاری اطلاعات و دسترسی به منابع مختلف را فراهم می‌کند.,True,unknown,unknown
چرا شوروی نظر مساعدی نسبت به رضاخان داشت؟,رهبر مبارزهٔ ملی علیه نفوذ بریتانیا,شوروی‌ها به دلیل تمایل رضاخان به تقویت دولت مرکزی، کاهش نفوذ بریتانیا، و ایجاد ثبات سیاسی و اقتصادی در ایران، نظر مساعدی نسبت به او داشتند.,شوروی‌ها به دلیل تمایل رضاخان به تقویت دولت مرکزی، کاهش نفوذ بریتانیا، و ایجاد ثبات سیاسی و اقتصادی در ایران، نظر مساعدی نسبت به او داشتند.,True,unknown,unknown
کلمه‌ی گوگل برگرفته از چه واژه‌ای است؟,,"کلمه‌ی ""گوگل"" برگرفته از واژه‌ی ""گوگول"" است.","کلمه‌ی ""گوگل"" برگرفته از واژه‌ی ""گوگول"" است.",False,unknown,unknown
احزاب عمده ی هلند را نام ببرید؟,دموکرات مسیحی، سوسیال دموکرات (کار)، سوسیالیست، حزب سبزها و لیبرال,احزاب عمده هلند شامل حزب مردم برای آزادی و دموکراسی (VVD,احزاب عمده هلند شامل حزب مردم برای آزادی و دموکراسی (VVD,False,unknown,unknown
برای چه کسانی دشوار است که بتوانند وارد جریان اصلی ایالات متحده آمریکا بشوند؟,هنرمندان هیپ هاپ آسیایی,مهاجران غیرقانونی، اقلیت‌های نژادی، و افرادی با وضعیت اقتصادی ضعیف برای ورود به جریان اصلی ایالات متحده دشوارتر هستند.,مهاجران غیرقانونی، اقلیت‌های نژادی، و افرادی با وضعیت اقتصادی ضعیف برای ورود به جریان اصلی ایالات متحده دشوارتر هستند.,False,unknown,unknown
تا چند سال بعد از هوور، جمهوری‌خواهان از قدرت کنار گذاشته شدند؟,۲۰,جمهوری‌خواهان تا حدود ۲۰ سال بعد از هوور، یعنی تا سال 1952 از قدرت کنار گذاشته شدند.,جمهوری‌خواهان تا حدود ۲۰ سال بعد از هوور، یعنی تا سال 1952 از قدرت کنار گذاشته شدند.,True,unknown,unknown
تمدن اژه ای پیشاهنگ کدام تمدن بود؟,تمدن یونانی,تمدن اژه‌ای پیشاهنگ تمدن یونان باستان بود.,تمدن اژه‌ای پیشاهنگ تمدن یونان باستان بود.,True,unknown,unknown
ایوان ساترلند، درچه سالی، لارنس رابرتس را بر آن گماشت که پروژه‌ای را برای ایجاد یک شبکه آغاز نماید؟,سال ۱۹۶۵,ایوان ساترلند در سال 1966 لارنس رابرتس را برای ایجاد یک شبکه گماشت.,ایوان ساترلند در سال 1966 لارنس رابرتس را برای ایجاد یک شبکه گماشت.,False,unknown,unknown
در سال ۱۸۴۶ اولین مسابقه ی شنا در کجا و در چه مسافتی برپا شد؟,در مسافت ۴۴۰ یارد در استرالیا,اولین مسابقه شنا در سال ۱۸۴۶ در رودخانه تیمز انگلستان و در مسافت ۴۰۰ متر برپا شد.,اولین مسابقه شنا در سال ۱۸۴۶ در رودخانه تیمز انگلستان و در مسافت ۴۰۰ متر برپا شد.,False,unknown,unknown
ریشهٔ شبکهٔ عظیم جهانی اینترنت به کدام دههٔ بازمی‌گردد؟,دههٔ ۱۹۶۰,ریشهٔ شبکهٔ عظیم جهانی اینترنت به دههٔ ۱۹۶۰ بازمی‌گردد.,ریشهٔ شبکهٔ عظیم جهانی اینترنت به دههٔ ۱۹۶۰ بازمی‌گردد.,True,unknown,unknown
گالریوس در نبرد های پیاپی برچه کسی پیروز شد؟,نرسه,گالریوس در نبردهای پیاپی بر ساسانیان (شاپور دوم) پیروز شد.,گالریوس در نبردهای پیاپی بر ساسانیان (شاپور دوم) پیروز شد.,False,unknown,unknown
روش‌های ذخیره سازی اکسیژن را نام ببرید؟,شامل کپسول اکسیژن با فشار بالا، فوق سردسازی و ترکیبات شیمیایی است,"Error: Adapter JSONAdapter failed to parse the LM response. 

LM Response: {
  ""reasoning"": ""\u000D9\u000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B 

Expected to find output fields in the LM response: [reasoning, answer] 

Actual output fields parsed from the LM response: [reasoning] 

","Error: Adapter JSONAdapter failed to parse the LM response. LM Response: { ""reasoning"": ""\u000D9\u000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B5\u0000C7\u0000B Expected to find output fields in the LM response: [reasoning, answer] Actual output fields parsed from the LM response: [reasoning]",False,unknown,unknown
نخستین آثار ادبیات ژاپنی به کدام زبان سروده شدند؟,زبان چینی کلاسیک,نخستین آثار ادبیات ژاپنی به زبان چینی سروده شدند.,نخستین آثار ادبیات ژاپنی به زبان چینی سروده شدند.,True,unknown,unknown
در ژوئن ۲۰۲۰، دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت چه مبلغی کرد؟,۵ میلیارد دلار,گوگل ملزم به پرداخت ۵ میلیارد دلار شد.,گوگل ملزم به پرداخت ۵ میلیارد دلار شد.,True,unknown,unknown
دکترین کلیسای کاتولیک بر چه چیزی استوار است؟,اعتقاد نامه نیقیه,دکترین کلیسای کاتولیک بر اساس اصول مسیحی، اعتقاد به تثلیث، sacrament‌ها و نقش کلیسا به عنوان نهاد مقدس استوار است.,دکترین کلیسای کاتولیک بر اساس اصول مسیحی، اعتقاد به تثلیث، sacrament‌ها و نقش کلیسا به عنوان نهاد مقدس استوار است.,False,unknown,unknown
لاوازیه چه کسی بود؟,اولین کسی بود که اکسیژن را به‌عنوان یک عنصر شیمیایی مستقل به‌شمار آورد و به‌درستی به نقش آن در سوختن اشاره کرد,"آنتوان لوازیه یک شیمیدان فرانسوی و ""پدر شیمی مدرن"" است که به خاطر کارهایش در زمینه نظریه احتراق و قانون بقای جرم شناخته می‌شود.","آنتوان لوازیه یک شیمیدان فرانسوی و ""پدر شیمی مدرن"" است که به خاطر کارهایش در زمینه نظریه احتراق و قانون بقای جرم شناخته می‌شود.",True,unknown,unknown
تعداد ضربه‌های پا در طی یک دور در شنای پروانه به طور عمومی نسبت به کرال سینه چگونه است؟,کمتر,تعداد ضربه‌های پا در شنای پروانه به طور عمومی بیشتر از کرال سینه است.,تعداد ضربه‌های پا در شنای پروانه به طور عمومی بیشتر از کرال سینه است.,False,unknown,unknown
پاریس در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,اروپا,True,unknown,unknown
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» چه تصاویری گردآوری شده‌است؟,تصویرهای گوناگونی از نقوش شیر و خورشید,در انتهای مقاله، تصاویری از نشان شیر و خورشید، نسخه‌های مختلف آن در دوره‌های تاریخی، و کاربردهای فرهنگی و هنری این نشان گردآوری شده‌است.,در انتهای مقاله، تصاویری از نشان شیر و خورشید، نسخه‌های مختلف آن در دوره‌های تاریخی، و کاربردهای فرهنگی و هنری این نشان گردآوری شده‌است.,True,unknown,unknown
آبراهام لینکلن در انتخابات ریاست جمهوری در سال ۱۸۶۰ چه کسی را شکست داد و وارد کاخ سفید شد؟,,آبراهام لینکلن در انتخابات ریاست جمهوری ۱۸۶۰ استیون داگلاس را شکست داد و وارد کاخ سفید شد.,آبراهام لینکلن در انتخابات ریاست جمهوری ۱۸۶۰ استیون داگلاس را شکست داد و وارد کاخ سفید شد.,False,unknown,unknown
اولین پادشاه دوران قاجار چه کسی بود؟,,آقا محمد خان قاجار,آقا محمد خان قاجار,True,unknown,unknown
شنا در برنامه های نظامی تمدن های باستانی چه جایگاهی داشت؟,,شنا در برنامه‌های نظامی تمدن‌های باستانی به عنوان یک مهارت ضروری برای سربازان و ابزاری برای شرکت در نبردهای دریایی و حمل و نقل در نواحی آبی اهمیت داشت.,شنا در برنامه‌های نظامی تمدن‌های باستانی به عنوان یک مهارت ضروری برای سربازان و ابزاری برای شرکت در نبردهای دریایی و حمل و نقل در نواحی آبی اهمیت داشت.,False,unknown,unknown
موسیقی هیپ هاپ، چگونه است؟,به صورت اشعار بسیار ریتمیک پر از تکنیک‌هایی همچون همگونی مصوت‌ها، تجانس آوایی، و قافیه است,موسیقی هیپ هاپ یک ژانر موسیقی است که شامل رپ، دی‌جیینگ، بریک‌دنس و گرافیتی می‌شود و به موضوعات اجتماعی و فرهنگی می‌پردازد. این سبک به خاطر ریتم‌های قوی و ملودی‌های جذابش شناخته می‌شود.,موسیقی هیپ هاپ یک ژانر موسیقی است که شامل رپ، دی‌جیینگ، بریک‌دنس و گرافیتی می‌شود و به موضوعات اجتماعی و فرهنگی می‌پردازد. این سبک به خاطر ریتم‌های قوی و ملودی‌های جذابش شناخته می‌شود.,False,unknown,unknown
در شنای پروانه حرکت پاها مانند حرکت چه چیزی در آب است؟,دلفین,حرکت پاها در شنای پروانه شبیه به حرکت دلفین‌ها در آب است.,حرکت پاها در شنای پروانه شبیه به حرکت دلفین‌ها در آب است.,True,unknown,unknown
شاهنشاهی ساسانی را چه کسی پایه گذاری کرد؟,اردشیر بابکان,شاهنشاهی ساسانی توسط اردشیر بابکان پایه‌گذاری شد.,شاهنشاهی ساسانی توسط اردشیر بابکان پایه‌گذاری شد.,True,unknown,unknown
پاتریشیا کرون، مایکل کوک بر اساس متن و تحقیقات باستان‌شناسی معتقدند مسجد الحرام در کجا واقع شده‌است؟,شمال غربی شبه جزیره عربستان,مسجد الحرام در مکه واقع شده است.,مسجد الحرام در مکه واقع شده است.,False,unknown,unknown
روش پزشکی پرفشار توسط چه کسی ابداع شد؟,,روش پزشکی پرفشار توسط دکتر هاروی وینستون ابداع شد.,روش پزشکی پرفشار توسط دکتر هاروی وینستون ابداع شد.,False,unknown,unknown
شعار غیررسمی شرکت گوگل توسط چه کسی ابداع شد؟,مهندس گوگل امیت پاتل,"شعار غیررسمی شرکت گوگل ""Don't be evil"" توسط لری پیج و سرگئی برین ابداع شد.","شعار غیررسمی شرکت گوگل ""Don't be evil"" توسط لری پیج و سرگئی برین ابداع شد.",False,unknown,unknown
شنا در کدام گروه از ورزش ها قرار می گیرد؟,ورزش‌های آبی,شنا در گروه ورزش‌های آبی و فردی قرار می‌گیرد.,شنا در گروه ورزش‌های آبی و فردی قرار می‌گیرد.,True,unknown,unknown
چه چیز هایی اثرات اجتماعی بسیاری در طرز رفتار جوان مدرن داشته‌است؟,موفقیت چشمگیر هیپ هاپ --- مخصوصاً سبک رپ گانگستری ---,رسانه‌های اجتماعی، فرهنگ جهانی، آموزش و تحصیلات، تغییرات اقتصادی و مسائل اجتماعی و سیاسی.,رسانه‌های اجتماعی، فرهنگ جهانی، آموزش و تحصیلات، تغییرات اقتصادی و مسائل اجتماعی و سیاسی.,False,unknown,unknown
در چه سالی با تصویب مجلس شورای ملی به رضاشاه لقب رضاشاه کبیر داده شد؟,۱۳۲۸,"در سال ۱۳۰۴ هجری شمسی (۱۹۲۵ میلادی) به رضاشاه لقب ""رضاشاه کبیر"" داده شد.","در سال ۱۳۰۴ هجری شمسی (۱۹۲۵ میلادی) به رضاشاه لقب ""رضاشاه کبیر"" داده شد.",False,unknown,unknown
نام عموی شورشی محمد شاه قاجار که بود؟,حسین‌علی میرزا فرمانفرما,عموی شورشی محمد شاه قاجار، فتحعلی شاه قاجار بود.,عموی شورشی محمد شاه قاجار، فتحعلی شاه قاجار بود.,False,unknown,unknown
درچه تاریخی بهرام دوم درگذشت؟,۲۹۳,بهرام دوم در تاریخ ۲۴ آوریل ۳۹۰ میلادی درگذشت.,بهرام دوم در تاریخ ۲۴ آوریل ۳۹۰ میلادی درگذشت.,False,unknown,unknown
شاپور دوم امپراتوری خود را در کجا برقرارکرد؟,نواحی جنوبی,شاپور دوم امپراتوری خود را در ایران برقرار کرد.,شاپور دوم امپراتوری خود را در ایران برقرار کرد.,False,unknown,unknown
زیباترین تپه گیلان چه نام دارد؟,,"زیباترین تپه گیلان ""تپه دورود"" نام دارد.","زیباترین تپه گیلان ""تپه دورود"" نام دارد.",False,unknown,unknown
دارالفنون در چه سالی تأسیس شد؟,۱۲۳۰ خورشیدی (۱۸۵۱ میلادی),دارالفنون در سال ۱۲۳۰ هجری شمسی تأسیس شد.,دارالفنون در سال ۱۲۳۰ هجری شمسی تأسیس شد.,True,unknown,unknown
بسیاری از برنامه‌نویس‌های حرفه‌ای به چه عنوان برای شرکت‌های مشاوره‌ای در محل‌های خدمت گیرنده کار می‌کنند؟,پیمانکار,"برنامه‌نویس‌های حرفه‌ای به عنوان ""مشاور"" یا ""مشاور فناوری اطلاعات"" برای شرکت‌های مشاوره‌ای کار می‌کنند.","برنامه‌نویس‌های حرفه‌ای به عنوان ""مشاور"" یا ""مشاور فناوری اطلاعات"" برای شرکت‌های مشاوره‌ای کار می‌کنند.",False,unknown,unknown
واژه اینترنت اولین‌بار توسط چه کسی استفاده شد؟,,واژه اینترنت اولین بار توسط وینتون سرف استفاده شد.,واژه اینترنت اولین بار توسط وینتون سرف استفاده شد.,False,unknown,unknown
به چه علت برابرسازی پرداختی ها توسط دولت فدرال کانادا صورت گرفت؟,تا به مردم اطمینان ببخشد که استانداردهای برابری در مورد ارائهٔ خدمات و اخذ مالیات، در میان استان‌های فقیر و غنی، ارائه می‌شود.,برابرسازی پرداختی‌ها توسط دولت فدرال کانادا به منظور کاهش نابرابری‌های اقتصادی و اجتماعی و تأمین عدالت اجتماعی در بین استان‌ها و مناطق مختلف کشور صورت گرفت.,برابرسازی پرداختی‌ها توسط دولت فدرال کانادا به منظور کاهش نابرابری‌های اقتصادی و اجتماعی و تأمین عدالت اجتماعی در بین استان‌ها و مناطق مختلف کشور صورت گرفت.,True,unknown,unknown
موزهٔ ارمیتاژ در کدام کشور است؟,روسیه,موزهٔ ارمیتاژ در کشور روسیه واقع شده است.,موزهٔ ارمیتاژ در کشور روسیه واقع شده است.,True,unknown,unknown
به طور کلی با هر حرک دست در شنای پروانه چند بار پای پروانه زده‌ می‌شود؟,دو بار,به طور کلی با هر حرکت دست در شنای پروانه، دو بار پای پروانه زده می‌شود.,به طور کلی با هر حرکت دست در شنای پروانه، دو بار پای پروانه زده می‌شود.,True,unknown,unknown
چرا جاماسپ مالیات ها را کاهش داد؟,به منظور کمک به کشاورزان و فقرا,جاماسپ مالیات‌ها را کاهش داد تا وضعیت اقتصادی کشور را بهبود بخشد و رضایت عمومی را افزایش دهد.,جاماسپ مالیات‌ها را کاهش داد تا وضعیت اقتصادی کشور را بهبود بخشد و رضایت عمومی را افزایش دهد.,False,unknown,unknown
در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به چند نفر رسید؟,حدود ۲۱۰ هزار نفر,"در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به حدود ۲۵۰,۰۰۰ نفر رسید.","در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به حدود ۲۵۰,۰۰۰ نفر رسید.",False,unknown,unknown
چه ورزش هایی تبدیل به سرگرمی  شده اند؟,چوگان,ورزش‌هایی مانند دوچرخه‌سواری، پیاده‌روی، شنا، گلف، یوگا و بسکتبال به سرگرمی تبدیل شده‌اند.,ورزش‌هایی مانند دوچرخه‌سواری، پیاده‌روی، شنا، گلف، یوگا و بسکتبال به سرگرمی تبدیل شده‌اند.,False,unknown,unknown
چه کسانی بر اساس متن و تحقیقات باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است؟,پاتریشیا کرون، مایکل کوک,برخی محققان و باستان‌شناسان مستقل بر اساس متون تاریخی و شواهد باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است.,برخی محققان و باستان‌شناسان مستقل بر اساس متون تاریخی و شواهد باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است.,True,unknown,unknown
چه کسی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است؟,آیرونساید,سید ضیاءالدین طباطبایی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است.,سید ضیاءالدین طباطبایی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است.,False,unknown,unknown
هاب را تعریف کنید؟,,هاب دستگاهی است که برای اتصال چندین دستگاه به یکدیگر در یک شبکه محلی استفاده می‌شود و داده‌ها را از یک دستگاه به سایر دستگاه‌ها منتقل می‌کند.,هاب دستگاهی است که برای اتصال چندین دستگاه به یکدیگر در یک شبکه محلی استفاده می‌شود و داده‌ها را از یک دستگاه به سایر دستگاه‌ها منتقل می‌کند.,False,unknown,unknown
الکسا چه چیز را بعنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده‌است؟,اینترنت وبگاه گوگل در آمریکا,"الکسا وب‌سایت ""گوگل"" را به عنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده است.","الکسا وب‌سایت ""گوگل"" را به عنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده است.",True,unknown,unknown
اولین گروه رپ که یک آلبوم هیپ هاپ رومانیایی عرضه کرد در آن به چه موضوعاتی پرداخت؟,«اجتماعی»,"گروه ""B.U.G. Mafia"" به موضوعاتی مانند مشکلات اجتماعی، فقر، فساد و زندگی روزمره در رومانی پرداخت.","گروه ""B.U.G. Mafia"" به موضوعاتی مانند مشکلات اجتماعی، فقر، فساد و زندگی روزمره در رومانی پرداخت.",True,unknown,unknown
شرکت اَپل مجوز استفاده از آی‌اواس برای چه چیزی را نمی‌دهد؟,برای نصب بر روی سخت‌افزارهای شخص ثالث,شرکت اپل مجوز استفاده از iOS را برای دستگاه‌های غیر اپل نمی‌دهد.,شرکت اپل مجوز استفاده از iOS را برای دستگاه‌های غیر اپل نمی‌دهد.,True,unknown,unknown
طوایف عرب خوزستان همگی از چه دسته‌ ای بودند؟,دسته کوچ نشین، غیر ثابت و با اصل و نسب مشخص در شبه جزیره عربستان,طوایف عرب خوزستان عمدتاً از دسته عرب‌های بادیه‌نشین و عشایر هستند.,طوایف عرب خوزستان عمدتاً از دسته عرب‌های بادیه‌نشین و عشایر هستند.,True,unknown,unknown
چرا ارمنستان همیشه مهم بوده است؟,اهمیت استراتژیک و اقتصادی داشته و به عنوان سرزمین حایل بین ایران و روم بوده.,ارمنستان به دلیل موقعیت جغرافیایی استراتژیک، تاریخ غنی، پذیرش مسیحیت به عنوان دین رسمی و تنش‌های,ارمنستان به دلیل موقعیت جغرافیایی استراتژیک، تاریخ غنی، پذیرش مسیحیت به عنوان دین رسمی و تنش‌های,True,unknown,unknown
شنا برای کودکان زیر سه سال به چه صورت می باشد؟,شنا برای کودکان زیر سه سال فقط به صورت به اصطلاح شنای سگی است,شنا برای کودکان زیر سه سال باید تحت نظارت بزرگ‌ترها و در محیط‌های امن انجام شود و به صورت بازی و سرگرمی باشد.,شنا برای کودکان زیر سه سال باید تحت نظارت بزرگ‌ترها و در محیط‌های امن انجام شود و به صورت بازی و سرگرمی باشد.,False,unknown,unknown
استان ها مسئول اکثر چه برنامه هایی هستند؟,برنامه‌های اجتماعی,استان‌ها مسئول اکثر برنامه‌های محلی و منطقه‌ای مانند مدیریت منابع طبیعی، آموزش و پرورش، بهداشت و درمان، و توسعه اقتصادی هستند.,استان‌ها مسئول اکثر برنامه‌های محلی و منطقه‌ای مانند مدیریت منابع طبیعی، آموزش و پرورش، بهداشت و درمان، و توسعه اقتصادی هستند.,False,unknown,unknown
