question,expected_answer,model_answer,clean_model_answer,is_correct,answer_type,question_type
دفتر اصلی شرکت چینی که تلفن هوشمند هواوی آنر ۴سی را تحت برند آنر عرضه کرده در کدام شهر است ؟,شنژن,شنژن,شنژن,True,مکان,پل
آیا فیلیپ تورتون در شهر تاریخی ای که مرکز نورماندی بود متولد شده است ؟,بله,بله، فیلیپ تورتون در شهر تاریخی روان که مرکز نورماندی بود متولد شده است.,بله، فیلیپ تورتون در شهر تاریخی روان که مرکز نورماندی بود متولد شده است.,True,بلی/خیر,پل
سابقه ی یک سوغات اصفهان که از صنایع دستی محسوب میشود حدود چند سال است ؟,پنج هزار سال,حدود 400 سال,حدود 400 سال,False,تاریخ,پل
 محصولی که چهارمین محصول کشاورزی کشت شده در جهان بوده و در آن نیکوتین وجود دارد چه نام دارد ؟,سیب زمینی,تنباکو,تنباکو,False,اسامی عام,پل
شرکت عرضه کننده بازی های فال اوت و الدر اسکورولز که بازی رستاخیز را هم عرضه کرده است چه نام دارد ؟,بتزدا,بتزدا,بتزدا,True,گروه یا سازمان,پل
شرکت زیر مجموعه ماکروسافت که بازی رستاخیز را برای ویندوز، اکس باکس و پلی استیشن عرضه کرده است چه نام دارد ؟,بتزدا,بازی‌های 343 (343 Industries),بازی‌های 343 (343 Industries),False,گروه یا سازمان,پل
آیا ماکروسافت شرکت منتشر کننده بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است ؟,بله,بله، مایکروسافت شرکت منتشر کننده بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است.,بله، مایکروسافت شرکت منتشر کننده بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است.,True,بلی/خیر,پل
در جنگی که آنه فرانک در آن کشته شد حدود چند نفر کشته شدند ؟,۷۰ تا ۸۵ میلیون,حدود 6 میلیون نفر,حدود 6 میلیون نفر,False,شماره,پل
چند کشور جهان در جنگی که آنه فرانک در آن کشته شد درگیر شدند ؟,30 کشور,بیش از 60 کشور,بیش از 60 کشور,False,شماره,پل
عنصر اصلی ماده ای که پودر سنگ از آن بر اثر نیروی سایش یخچال ها بر کف یخچال به وجود می‌آید چیست ؟,سلیس,کلسیم,کلسیم,False,اسامی خاص دیگر,پل
کدام یک از فیلم هایی که موسیقی آن در استودیو بل ضبط شده است در روزهای دوشنبه پخش می شد ؟,سربداران,اطلاعات کافی برای پاسخ دقیق وجود ندارد.,اطلاعات کافی برای پاسخ دقیق وجود ندارد.,False,اسامی عام,پل
نوسینده کدام یک از فیلم هایی که در استودیو  بل ضبط شده است کیهان رهگذار بوده است ؟,بله,آشغال‌های دوست‌داشتنی,آشغال‌های دوست‌داشتنی,False,بلی/خیر,مقایسه‌ای
پادشاه افغانی که سد سرده در زمان آن ساخته شد به مدت چند سال بر افغانستان حمک فرمایی کرد ؟,چهل سال,10 سال,10 سال,False,شماره,پل
آیا پادشاه افغانی که سد سرده در زمان آن ساخته شد توانست دوره‌ای از صلح پایدار را در افغانستان برقرار کند ؟,بله,خیر، نتوانست دوره‌ای از صلح پایدار را برقرار کند.,خیر، نتوانست دوره‌ای از صلح پایدار را برقرار کند.,False,بلی/خیر,پل
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد چه کسی رئیس هیئت داوران بود ؟,جرج میلر,ابراهیم حاتمی‌کیا,ابراهیم حاتمی‌کیا,False,شخص,پل
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد شهاب حسینی جایزه بهترین بازیگر نقش اول مرد را دریافت کرد ؟,بله,جشنواره فیلم فجر,جشنواره فیلم فجر,False,بلی/خیر,پل
بازیگر نقش اصلی فیلم تنر هال در کدام فیلم به همراه کیت بلانشت نقش آفرینی کرده است ؟,کوچه کابوس,کارول,کارول,False,اسامی عام,پل
کدام بازیگر فیلم تریپل اکس موسیقی‌دان اهل ایالات متحده آمریما است ؟,ایو,وین دیزل,وین دیزل,False,شخص,پل
آیا کارگردان دو فیلم استخراج و ماشین پلیس جان واتس می باشد ؟,خیر,خیر، کارگردان فیلم استخراج سم هارگریو است و کارگردان فیلم ماشین پلیس جان واتس می باشد.,خیر، کارگردان فیلم استخراج سم هارگریو است و کارگردان فیلم ماشین پلیس جان واتس می باشد.,False,بلی/خیر,مقایسه‌ای
کارگردان فیلم استخراج از چه سالی مشغول به فعالیت است ؟,2005,از اوایل دهه 2000,از اوایل دهه 2000,True,تاریخ,پل
آیا ایو و استیون سی میلر هر دو آمریکایی هستند ؟,بله,بله، هر دو آمریکایی هستند.,بله، هر دو آمریکایی هستند.,True,بلی/خیر,مقایسه‌ای
کارگردان دو فیلم پرومتئوس و مجموعه فیلم بیگانه چه کسی می باشد ؟,ریدلی اسکات,ریدلی اسکات,ریدلی اسکات,True,شخص,مقایسه‌ای
آیا قورباغه ها و مارمولک‌ها هر دو از راسته بی‌دمان هستند ؟,خیر,خیر، قورباغه‌ها از راسته بی‌دمان هستند اما مارمولک‌ها از راسته خزندگان هستند.,خیر، قورباغه‌ها از راسته بی‌دمان هستند اما مارمولک‌ها از راسته خزندگان هستند.,True,بلی/خیر,مقایسه‌ای
کدام زبان برنامه نویسی که توسط بلوفیش پشتیبانی می شود از لحاظ نحو شبیه به سی‌شارپ است ؟,والا,جاوا,جاوا,False,اسامی عام,پل
در کدام کتاب از سردبیر مجله کارنامه از حسین پاینده به عنوان منتقدی که به پیش برد نقد ادبی یاری رسانده یاد شده است ؟,باغ در باغ,"کتاب ""نقد ادبی در ایران""","کتاب ""نقد ادبی در ایران""",False,کار هنری,پل
آیا نویسنده کتاب باغ در باغ از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی بوده است ؟,بله,"بله، محمود دولت‌آبادی نویسنده کتاب ""باغ در باغ"" از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی بوده است.","بله، محمود دولت‌آبادی نویسنده کتاب ""باغ در باغ"" از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی بوده است.",True,بلی/خیر,پل
مجله ای که پل جرج کلبنیکوف به مدت ده سال برای آن کار می کرد توسط چه کسی تاسیس شد ؟,بیسی فوربز,ولادیمیر مایاکوفسکی,ولادیمیر مایاکوفسکی,False,شخص,پل
از بین نگاناسان‌ها و مردم انتس جمعیت کدام کمتر است ؟,انتس,نگاناسان‌ها,نگاناسان‌ها,False,گروه یا سازمان,مقایسه‌ای
آیا شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد ؟,بله,بله، شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد.,بله، شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد.,True,بلی/خیر,مقایسه‌ای
آیا نگاناسان‌ها و مردم انتس هر دو به زبان نگاناسانی تکلم می کنند ؟,خیر,خیر، نگاناسان‌ها و مردم انتس هر دو به زبان نگاناسانی تکلم نمی‌کنند.,خیر، نگاناسان‌ها و مردم انتس هر دو به زبان نگاناسانی تکلم نمی‌کنند.,True,بلی/خیر,مقایسه‌ای
آیا نگاناسان‌ها و مردم انتس هر دو نزدیک به مدار قطب شمال به‌سر می‌برند ؟,خیر,بله، نگاناسان‌ها و مردم انتس هر دو نزدیک به مدار قطب شمال به‌سر می‌برند.,بله، نگاناسان‌ها و مردم انتس هر دو نزدیک به مدار قطب شمال به‌سر می‌برند.,False,بلی/خیر,مقایسه‌ای
کدام یک از بازیگران فیلم آخرین شکارچی جادوگر برنده اسکار و گلدن گلوب شده است ؟,مایکل کین,هیچ یک از بازیگران فیلم برنده اسکار و گلدن گلوب نشده‌اند.,هیچ یک از بازیگران فیلم برنده اسکار و گلدن گلوب نشده‌اند.,False,شخص,پل
آیا شرکت تکمو در همان سالی که بازی نینجا گایدن اولین بار در آمریکای شمالی عرضه شد تاسیس گردید ؟,خیر,خیر، شرکت تکمو در سالی که بازی نینجا گایدن عرضه شد تأسیس نشده بود.,خیر، شرکت تکمو در سالی که بازی نینجا گایدن عرضه شد تأسیس نشده بود.,True,بلی/خیر,مقایسه‌ای
تصویرگر مجموعه شکار جانور شگفت‌انگیز از اعضای کدام گروه نقاشان بود ؟,پیشارافائلی,گروه نقاشان باروک,گروه نقاشان باروک,False,گروه یا سازمان,پل
 کدام یک از نشانه های آبله‌میمون باعث می شود بسیاری از میکروب ها توانایی رشد نداشته باشند ؟,تب,ضایعات پوستی و زخم‌ها,ضایعات پوستی و زخم‌ها,False,اسامی عام,پل
آیا موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر کرده است  ؟,خیر,خیر، موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر نکرده است.,خیر، موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر نکرده است.,True,بلی/خیر,پل
شرکت منتشر کننده آهنگ بیلی جین در چه سالی بنیان‌گذاشته شد ؟,سال 1953,1953,1953,True,تاریخ,پل
کسی که شخصیت های مجموعه تجربیات سریالی لین را طراحی کرده عمدتا در کدام حوزه کار می کند ؟,انیمه و مانگا,حوزه هنرهای تجسمی و طراحی شخصیت,حوزه هنرهای تجسمی و طراحی شخصیت,False,کار هنری,پل
کدام یک از مردمانی که از تکنیک تیراندازی با کمان استفاده می کردند قومی از نژاد زرد هستند ؟,مغول‌ها,قوم مغول,قوم مغول,True,گروه یا سازمان,پل
کدام یک از فلزات نجیب به معنی زنده می باشد ؟,جیوه,طلا,طلا,False,اسامی عام,پل
آیا نقره زنده به عنوان فلزات نجیب شناخته می شود ؟,بله,خیر، نقره زنده (جیوه) به عنوان فلزات نجیب شناخته نمی‌شود.,خیر، نقره زنده (جیوه) به عنوان فلزات نجیب شناخته نمی‌شود.,False,بلی/خیر,پل
کنسول بازی که ایس کمبت ۷: آسمان‌های ناشناخته در ژانویه 2019 برای آن منتشر شد توسط کدام شرکت معرفی شده است ؟,مایکروسافت,شرکت سونی,شرکت سونی,False,گروه یا سازمان,پل
آیا شرکت نینتندو زودتر از شرکت تکمو تاسیس شد ؟,خیر,بله، شرکت نینتندو زودتر از شرکت تکمو تأسیس شد.,بله، شرکت نینتندو زودتر از شرکت تکمو تأسیس شد.,False,بلی/خیر,مقایسه‌ای
آیا جایزه ادبی من بوکر و جوایز گلدن گلوب هر دو به بهترین تولیدات سینمایی و تلویزیونی، هم داخلی و هم خارجی اهدا می‌گردد ؟,خیر,خیر، جایزه ادبی من بوکر به بهترین آثار ادبی اهدا می‌شود و نه به تولیدات سینمایی و تلویزیونی.,خیر، جایزه ادبی من بوکر به بهترین آثار ادبی اهدا می‌شود و نه به تولیدات سینمایی و تلویزیونی.,True,بلی/خیر,مقایسه‌ای
آیا نخستین جوایز گلدن گلوب زودتر از جایزه شیر طلایی اهدا گردید ؟,بله,خیر، جایزه شیر طلایی زودتر از جوایز گلدن گلوب اهدا گردید.,خیر، جایزه شیر طلایی زودتر از جوایز گلدن گلوب اهدا گردید.,False,بلی/خیر,مقایسه‌ای
آیا نینجا گایدن و ندای وظیفه هر دو توسط یک شرکت منتشر شده اند ؟,خیر,خیر، نینجا گایدن و ندای وظیفه هر دو توسط یک شرکت منتشر نشده‌اند.,خیر، نینجا گایدن و ندای وظیفه هر دو توسط یک شرکت منتشر نشده‌اند.,True,بلی/خیر,مقایسه‌ای
آیا شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر کرده است ؟,خیر,خیر، شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر نکرده است.,خیر، شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر نکرده است.,True,بلی/خیر,پل
آیا کسی که بازی سوپرتاکس را توسعه داده بازی ندای وظیفه را منتشر کرده است ؟,خیر,خیر,خیر,True,بلی/خیر,پل
آیا بازی ندای وظیفه و بازی ایس کمبت ۷: آسمان‌های هر دو توسط یک فرد منتشر شده اند ؟,خیر,خیر، توسط یک فرد منتشر نشده‌اند.,خیر، توسط یک فرد منتشر نشده‌اند.,True,بلی/خیر,مقایسه‌ای
آیا کارگردان فیلم آلیس در شهرها نوسینده فیلم پرومتئوس بوده است ؟,خیر,خیر، کارگردان فیلم آلیس در شهرها نویسنده فیلم پرومتئوس نیست.,خیر، کارگردان فیلم آلیس در شهرها نویسنده فیلم پرومتئوس نیست.,True,بلی/خیر,پل
آیا فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال می باشند ؟,خیر,خیر، فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال نمی‌باشند.,خیر، فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال نمی‌باشند.,True,بلی/خیر,مقایسه‌ای
آیا فیلمبرداری فیلم آلیس در شهرها توسط  نویسندگان فیلم پرومتئوس انجام شده است ؟,خیر,خیر، فیلمبرداری فیلم آلیس در شهرها توسط نویسندگان فیلم پرومتئوس انجام نشده است.,خیر، فیلمبرداری فیلم آلیس در شهرها توسط نویسندگان فیلم پرومتئوس انجام نشده است.,True,بلی/خیر,پل
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس درام می باشند ؟,بله,بله، هر دو فیلم آلیس در شهرها و نیمه ماه مارس درام هستند.,بله، هر دو فیلم آلیس در شهرها و نیمه ماه مارس درام هستند.,True,بلی/خیر,مقایسه‌ای
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس توسط ویم وندرس کارگردانی شده اند ؟,خیر,"فقط فیلم ""آلیس در شهرها"" توسط ویم وندرس کارگردانی شده است.","فقط فیلم ""آلیس در شهرها"" توسط ویم وندرس کارگردانی شده است.",True,بلی/خیر,مقایسه‌ای
خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی از چه سالی بر کشور قطر حکمرانی می‌کنند ؟,سال 1850,از سال 1825 میلادی,از سال 1825 میلادی,False,تاریخ,پل
آیا از خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی تاکنون 9 نفر به‌عنوان امیر قطر منصوب شده‌اند ؟,بله,خیر، 9 نفر از خانواده سلطنتی آل ثانی به‌عنوان امیر قطر منصوب نشده‌اند.,خیر، 9 نفر از خانواده سلطنتی آل ثانی به‌عنوان امیر قطر منصوب نشده‌اند.,False,بلی/خیر,پل
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته نخستین بار در بخش رقابتی جشنواره فیلم کن ۲۰۱۱ اکران شد ؟,خانه بردباری,جدایی نادر از سیمین,جدایی نادر از سیمین,False,اسامی عام,پل
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سبک درام است ؟,خانه بردباری,"فیلم ""آشفتگی""","فیلم ""آشفتگی""",False,اسامی عام,پل
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سال ۲۰۱۱ منتشر شد ؟,خانه بردباری,چند متر مکعب عشق,چند متر مکعب عشق,False,اسامی عام,پل
کارگردان کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته برتران بونلو بوده است ؟,خانه بردباری,"فیلم ""آنجا که درختان می‌میرند"" (L'Apollonide)","فیلم ""آنجا که درختان می‌میرند"" (L'Apollonide)",False,اسامی عام,پل
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است تا چه سالی رئیس کمپانی لوکاس فیلم بود ؟,2012 سال,تا سال 2012,تا سال 2012,True,تاریخ,پل
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است کمپانی لوکاس فیلم را به کدام شرکت فروخت ؟,شرکت والت دیزنی,شرکت دیزنی,شرکت دیزنی,True,گروه یا سازمان,پل
آیا فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است از مهم‌ترین چهره‌های جنبش هالیوود نو بود ؟,بله,بله، جورج لوکاس از مهم‌ترین چهره‌های جنبش هالیوود نو بود.,بله، جورج لوکاس از مهم‌ترین چهره‌های جنبش هالیوود نو بود.,True,بلی/خیر,پل
کدام یک از خطرناکترین انواع بیماری‌هایی که توسط برخی انواع پشه منتقل می‌شوند از فیلاریا منشا می‌ گیرد ؟,فیلاریازیس,بیماری فیلاریازیس,بیماری فیلاریازیس,True,اسامی خاص دیگر,پل
کدام یک از رهبران سیاسی روسیه و متحدانش در ده سالگی به حکومت رسید ؟,پطر کبیر,پیتر بزرگ,پیتر بزرگ,True,شخص,پل
آیا روزنامه ای که جاستین چنگ برای آن می‌نویسد دومین روزنامه بزرگ مناطق شهری در ایالات متحده می‌باشد ؟,بله,بله، روزنامه‌ای که جاستین چنگ برای آن می‌نویسد، دومین روزنامه بزرگ مناطق شهری در ایالات متحده است.,بله، روزنامه‌ای که جاستین چنگ برای آن می‌نویسد، دومین روزنامه بزرگ مناطق شهری در ایالات متحده است.,True,بلی/خیر,پل
کدام یک از روزنامه هایی که جاستین چنگ برای آن می‌نویسد در قسمت غربی ایالات متحده آمریکا توزیع می‌شود ؟,لس آنجلس تایمز,لس آنجلس تایمز,لس آنجلس تایمز,True,گروه یا سازمان,پل
لقب نویسنده رمان خورشید همچنان می‌دمد چه بود ؟,پدر ادبیات مدرن,ارنست همینگوی,ارنست همینگوی,False,صفت,پل
آیا نویسنده رمان خورشید همچنان می‌دمد از پایه‌گذاران وقایع‌نگاری ادبی شناخته می شود ؟,بله,بله، ارنست همینگوی به عنوان یکی از پایه‌گذاران وقایع‌نگاری ادبی شناخته می‌شود.,بله، ارنست همینگوی به عنوان یکی از پایه‌گذاران وقایع‌نگاری ادبی شناخته می‌شود.,True,بلی/خیر,پل
از بین مجموعه تلوزیونی اداره و فصل سوم مجموعه کمدی موقعیت اداره کدام یک زودتر پخش شده است ؟,مجموعه تلوزیونی اداره,مجموعه تلویزیونی اداره,مجموعه تلویزیونی اداره,True,کار هنری,مقایسه‌ای
کدام یک از شرکت‌های هواپیمایی که در فرودگاه بین‌المللی سپهبد شهید قاسم سلیمانی فعال هستند در سال 1351 راه‌اندازی  شده اند ؟,ایران ایرتور,ایران ایر,ایران ایر,False,گروه یا سازمان,پل
آیا دو فیلم فردایی بهتر و قهرمانان گریه نمی‌کنند را جان وو کارگردانی کرده است ؟,بله,"بله، هر دو فیلم ""فردایی بهتر"" و ""قهرمانان گریه نمی‌کنند"" توسط جان وو کارگردانی شده‌اند.","بله، هر دو فیلم ""فردایی بهتر"" و ""قهرمانان گریه نمی‌کنند"" توسط جان وو کارگردانی شده‌اند.",True,بلی/خیر,مقایسه‌ای
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا هر دو در یک سال منتشر شده اند ؟,بله,خیر، این دو فیلم در یک سال منتشر نشده‌اند.,خیر، این دو فیلم در یک سال منتشر نشده‌اند.,False,بلی/خیر,مقایسه‌ای
