question,answer,model_answer,clean_model_answer,is_correct,id
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,اینترنت شامل شبکه‌های محلی (LAN)، شبکه‌های گسترده (WAN)، شبکه‌های بی‌سیم و شبکه‌های موبایل است.,اینترنت شامل شبکه‌های محلی (LAN)، شبکه‌های گسترده (WAN)، شبکه‌های بی‌سیم و شبکه‌های موبایل است.,False,
طبق مطالعات انجام شده انسان ها از چند سال پیش مراسم آئینی اجرا می کردند؟,انسان از ۳۰۰۰۰ سال پیش مراسم آئینی اجرا می‌کرده‌است,انسان‌ها از حدود ۳۰ هزار سال پیش مراسم آئینی اجرا می‌کردند.,انسان‌ها از حدود ۳۰ هزار سال پیش مراسم آئینی اجرا می‌کردند.,True,
حزب دموکرات ایالات متحده آمریکا توسط چه کسانی تأسیس شد؟,,حزب دموکرات ایالات متحده آمریکا توسط اندرو جکسون و حامیانش تأسیس شد.,حزب دموکرات ایالات متحده آمریکا توسط اندرو جکسون و حامیانش تأسیس شد.,False,
ماده حاجب پرتونگاری چیست؟,,ماده حاجب پرتونگاری ترکیبی است که برای افزایش کنتراست تصاویر رادیوگرافی استفاده می‌شود و معمولاً شامل ید یا باریم است.,ماده حاجب پرتونگاری ترکیبی است که برای افزایش کنتراست تصاویر رادیوگرافی استفاده می‌شود و معمولاً شامل ید یا باریم است.,False,
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟ ,غلامحسین افضل‌الملک,نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» سید علی‌اکبر خان زرتشتی است.,نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» سید علی‌اکبر خان زرتشتی است.,False,
مشیرالدوله در خرداد چه سالی دولت تشکیل داد؟,۱۳۰۲,مشیرالدوله در خرداد سال ۱۳۰۰ هجری شمسی دولت تشکیل داد.,مشیرالدوله در خرداد سال ۱۳۰۰ هجری شمسی دولت تشکیل داد.,False,
"پیوندهای هیدروژن بین مولکول‌های آب آنها را چند درصد نزدیکتر از آنچه انتظار می‌رود در یک مایع ساده که فقط دارای نیروی واندروالسی باشد، قرار داده‌است؟
",تقریباً ۱۵٪,پیوندهای هیدروژن مولکول‌های آب را حدود ۱۵ تا ۲۰ درصد نزدیک‌تر از مایعات ساده قرار می‌دهند.,پیوندهای هیدروژن مولکول‌های آب را حدود ۱۵ تا ۲۰ درصد نزدیک‌تر از مایعات ساده قرار می‌دهند.,False,
هرمز سوم در باختر با چه کسی جنگید؟,هپتالیان,هرمز سوم در باختر با امپراتوری روم جنگید.,هرمز سوم در باختر با امپراتوری روم جنگید.,False,
چه کسی پیرو برکناری قباد اول توسط اشراف، به تخت شاهنشاهی ساسانی نشست؟,جاماسپ,خسرو انوشیروان به تخت شاهنشاهی ساسانی نشست.,خسرو انوشیروان به تخت شاهنشاهی ساسانی نشست.,False,
واحد های بزرگ سیاسی تمدن یونان چه نام دارد؟,پولیس,"واحدهای بزرگ سیاسی تمدن یونان ""پولیس"" نام دارد.","واحدهای بزرگ سیاسی تمدن یونان ""پولیس"" نام دارد.",True,
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,ماهواره‌های LEO و GEO برای مشاهده سطح زمین مورد استفاده قرار می‌گیرند.,ماهواره‌های LEO و GEO برای مشاهده سطح زمین مورد استفاده قرار می‌گیرند.,False,
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,یزگرد اول با پوراندخت، دختر یکی از پادشاهان هندی، ازدواج کرد.,یزگرد اول با پوراندخت، دختر یکی از پادشاهان هندی، ازدواج کرد.,False,
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,موسیقی رپ شامل شعر، ریتم‌های تند، و موضوعات اجتماعی و شخصی است.,موسیقی رپ شامل شعر، ریتم‌های تند، و موضوعات اجتماعی و شخصی است.,False,
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,امضای قرارداد دارسی در سال ۱۹۰۱.,امضای قرارداد دارسی در سال ۱۹۰۱.,False,
منظور از آتریاد چیست؟,تیپ,"آتریاد به معنای ""سه‌گانه"" و اشاره به گروهی از سه شخصیت یا عناصر مرتبط است.","آتریاد به معنای ""سه‌گانه"" و اشاره به گروهی از سه شخصیت یا عناصر مرتبط است.",False,
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,"حسین بن محمد تقی نوری ملقب به ""علامه نوری"" است.","حسین بن محمد تقی نوری ملقب به ""علامه نوری"" است.",False,
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,"واژهٔ ""گوگول"" به معنای ""کودک"" یا ""بچه"" است.","واژهٔ ""گوگول"" به معنای ""کودک"" یا ""بچه"" است.",False,
کشور شیلی در کدام قاره قرار دارد؟,,شیلی در قاره آمریکای جنوبی قرار دارد.,شیلی در قاره آمریکای جنوبی قرار دارد.,True,
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,"اصطلاح ""شنای سگی"" به نوعی شنا اشاره دارد که در آن فرد به صورت غیرمعمول و شبیه به حرکات سگ در آب شنا می‌کند.","اصطلاح ""شنای سگی"" به نوعی شنا اشاره دارد که در آن فرد به صورت غیرمعمول و شبیه به حرکات سگ در آب شنا می‌کند.",False,
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,پرچم شیر و خورشید ایران در زمان صدارت امیرکبیر بر فراز سفارت ایران در لندن برافراشته شد.,پرچم شیر و خورشید ایران در زمان صدارت امیرکبیر بر فراز سفارت ایران در لندن برافراشته شد.,True,
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,احمدشاه ایران را به قصد فرانسه ترک کرد و هرگز بازنگشت.,احمدشاه ایران را به قصد فرانسه ترک کرد و هرگز بازنگشت.,False,
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,غواصی عمیق‌تر نیاز به مخلوط کردن اکسیژن با گازهای دیگر برای جلوگیری از مسمومیت با اکسیژن و کاهش,غواصی عمیق‌تر نیاز به مخلوط کردن اکسیژن با گازهای دیگر برای جلوگیری از مسمومیت با اکسیژن و کاهش,True,
بعد از کودتا اسفند 1299 مسعود خان به چه سمتی رسید؟,وزیر جنگ,مسعود خان به سمت وزیر جنگ رسید.,مسعود خان به سمت وزیر جنگ رسید.,True,
در جنگ جهانی اول و جنگ جهانی دوم، ژاپن در کدام جبهه قرار داشت؟,در جنگ جهانی اول، ژاپن از متفقین بود و در جنگ جهانی دوم با متفقین می‌جنگید.,در جنگ جهانی اول در جبهه متفقین و در جنگ جهانی دوم در جبهه محور قرار داشت.,در جنگ جهانی اول در جبهه متفقین و در جنگ جهانی دوم در جبهه محور قرار داشت.,False,
بودجه تئاتر ملی از کجا تأمین می گشت؟,امکانات و بودجهٔ خود را از محل خیریه آموزش و پرورش تأمین می‌کرد,بودجه تئاتر ملی عمدتاً از منابع دولتی تأمین می‌شود.,بودجه تئاتر ملی عمدتاً از منابع دولتی تأمین می‌شود.,False,
اکسیژن عضوی از خانواده عناصر کدوم گروه است؟,گروه کالکوژن,اکسیژن عضوی از خانواده عناصر گروه 16 جدول تناوبی است.,اکسیژن عضوی از خانواده عناصر گروه 16 جدول تناوبی است.,True,
در دهه‌های ۱۹۶۰ تا ۱۹۸۰ گرایش غالب حزب جمهوری‌خواهان را چه گروهی شکل می‌دادند؟,میانه‌روها,گرایش غالب حزب جمهوری‌خواهان در این دهه‌ها توسط گروه‌های محافظه‌کار شکل می‌گرفت.,گرایش غالب حزب جمهوری‌خواهان در این دهه‌ها توسط گروه‌های محافظه‌کار شکل می‌گرفت.,False,
چه کسی کادوسیان را شکست داد؟,نی‌نوس شاه آشوری,داریوش اول کادوسیان را شکست داد.,داریوش اول کادوسیان را شکست داد.,False,
کدام‌یک از فرهنگ‌ها در فرهنگ ژاپن تاثیر داشتند؟,فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است.,فرهنگ چین، فرهنگ کره و فرهنگ غربی.,فرهنگ چین، فرهنگ کره و فرهنگ غربی.,False,
اینترنت از کدام دههٔ به صورت یک شبکهٔ همگانی و جهان‌شمول درآمد؟,از اواسط دههٔ ۱۹۹۰,اینترنت از دهه ۱۹۹۰ به صورت یک شبکه همگانی و جهان‌شمول درآمد.,اینترنت از دهه ۱۹۹۰ به صورت یک شبکه همگانی و جهان‌شمول درآمد.,True,
اینترنت چیست؟,شبکه‌ای از شبکه‌ها,اینترنت یک شبکه جهانی از شبکه‌های کامپیوتری است که به کاربران امکان دسترسی به اطلاعات و خدمات مختلف را می‌دهد.,اینترنت یک شبکه جهانی از شبکه‌های کامپیوتری است که به کاربران امکان دسترسی به اطلاعات و خدمات مختلف را می‌دهد.,True,
چرا شوروی نظر مساعدی نسبت به رضاخان داشت؟,رهبر مبارزهٔ ملی علیه نفوذ بریتانیا,شوروی به دنبال گسترش نفوذ خود و تضعیف,شوروی به دنبال گسترش نفوذ خود و تضعیف,False,
کلمه‌ی گوگل برگرفته از چه واژه‌ای است؟,,"کلمه‌ی گوگل از واژه‌ی ""گوگول"" (googol) برگرفته شده است.","کلمه‌ی گوگل از واژه‌ی ""گوگول"" (googol) برگرفته شده است.",False,
احزاب عمده ی هلند را نام ببرید؟,دموکرات مسیحی، سوسیال دموکرات (کار)، سوسیالیست، حزب سبزها و لیبرال,حزب مردم برای آزادی و دموکراسی (VVD)، حزب کارگر (PvdA)، حزب سبز چپ (GroenLinks)، حزب راست‌گرای آزادی (PVV)، و حزب دموکرات مسیحی (CDA).,حزب مردم برای آزادی و دموکراسی (VVD)، حزب کارگر (PvdA)، حزب سبز چپ (GroenLinks)، حزب راست‌گرای آزادی (PVV)، و حزب دموکرات مسیحی (CDA).,False,
برای چه کسانی دشوار است که بتوانند وارد جریان اصلی ایالات متحده آمریکا بشوند؟,هنرمندان هیپ هاپ آسیایی,مهاجران غیرقانونی، افراد مورد تبعیض، و کسانی که با زبان یا فرهنگ آمریکا آشنا نیستند، وارد شدن به جریان اصلی برایشان دشوار است.,مهاجران غیرقانونی، افراد مورد تبعیض، و کسانی که با زبان یا فرهنگ آمریکا آشنا نیستند، وارد شدن به جریان اصلی برایشان دشوار است.,False,
تا چند سال بعد از هوور، جمهوری‌خواهان از قدرت کنار گذاشته شدند؟,۲۰,جمهوری‌خواهان تا سال 1952، حدود 20 سال بعد از هوور، از قدرت کنار گذاشته شدند.,جمهوری‌خواهان تا سال 1952، حدود 20 سال بعد از هوور، از قدرت کنار گذاشته شدند.,True,
تمدن اژه ای پیشاهنگ کدام تمدن بود؟,تمدن یونانی,تمدن اژه‌ای پیشاهنگ تمدن‌های میسنی و یونان باستان بود.,تمدن اژه‌ای پیشاهنگ تمدن‌های میسنی و یونان باستان بود.,False,
ایوان ساترلند، درچه سالی، لارنس رابرتس را بر آن گماشت که پروژه‌ای را برای ایجاد یک شبکه آغاز نماید؟,سال ۱۹۶۵,ایوان ساترلند در سال ۱۹۶۹ لارنس رابرتس را بر آن گماشت.,ایوان ساترلند در سال ۱۹۶۹ لارنس رابرتس را بر آن گماشت.,False,
در سال ۱۸۴۶ اولین مسابقه ی شنا در کجا و در چه مسافتی برپا شد؟,در مسافت ۴۴۰ یارد در استرالیا,اولین مسابقه شنا در سال ۱۸۴۶ در رودخانه تیمز لندن و به مسافت ۴ مایل برگزار شد.,اولین مسابقه شنا در سال ۱۸۴۶ در رودخانه تیمز لندن و به مسافت ۴ مایل برگزار شد.,False,
ریشهٔ شبکهٔ عظیم جهانی اینترنت به کدام دههٔ بازمی‌گردد؟,دههٔ ۱۹۶۰,ریشهٔ شبکهٔ عظیم جهانی اینترنت به دههٔ ۱۹۶۰ میلادی بازمی‌گردد.,ریشهٔ شبکهٔ عظیم جهانی اینترنت به دههٔ ۱۹۶۰ میلادی بازمی‌گردد.,True,
گالریوس در نبرد های پیاپی برچه کسی پیروز شد؟,نرسه,گالریوس در نبردهای پیاپی بر شاپور دوم، شاه ساسانی، پیروز شد.,گالریوس در نبردهای پیاپی بر شاپور دوم، شاه ساسانی، پیروز شد.,False,
روش‌های ذخیره سازی اکسیژن را نام ببرید؟,شامل کپسول اکسیژن با فشار بالا، فوق سردسازی و ترکیبات شیمیایی است,ذخیره‌سازی در سیلندرهای تحت فشار، ذخیره‌سازی مایع اکسیژن، و استفاده از مواد جاذب اکسیژن.,ذخیره‌سازی در سیلندرهای تحت فشار، ذخیره‌سازی مایع اکسیژن، و استفاده از مواد جاذب اکسیژن.,False,
نخستین آثار ادبیات ژاپنی به کدام زبان سروده شدند؟,زبان چینی کلاسیک,نخستین آثار ادبیات ژاپنی به زبان ژاپنی سروده شدند.,نخستین آثار ادبیات ژاپنی به زبان ژاپنی سروده شدند.,False,
در ژوئن ۲۰۲۰، دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت چه مبلغی کرد؟,۵ میلیارد دلار,گوگل ملزم به پرداخت ۵ میلیارد دلار شد.,گوگل ملزم به پرداخت ۵ میلیارد دلار شد.,True,
دکترین کلیسای کاتولیک بر چه چیزی استوار است؟,اعتقاد نامه نیقیه,دکترین کلیسای کاتولیک بر اصول مسیحیت، تثلیث، sacrament‌ها و نقش کلیسا استوار است.,دکترین کلیسای کاتولیک بر اصول مسیحیت، تثلیث، sacrament‌ها و نقش کلیسا استوار است.,False,
لاوازیه چه کسی بود؟,اولین کسی بود که اکسیژن را به‌عنوان یک عنصر شیمیایی مستقل به‌شمار آورد و به‌درستی به نقش آن در سوختن اشاره کرد,"آنتوان لوازیه یک شیمیدان فرانسوی و ""پدر شیمی مدرن"" است.","آنتوان لوازیه یک شیمیدان فرانسوی و ""پدر شیمی مدرن"" است.",False,
تعداد ضربه‌های پا در طی یک دور در شنای پروانه به طور عمومی نسبت به کرال سینه چگونه است؟,کمتر,در شنای پروانه تعداد ضربه‌های پا بیشتر از کرال سینه است.,در شنای پروانه تعداد ضربه‌های پا بیشتر از کرال سینه است.,False,
پاریس در کدام قاره قرار گرفته‌است؟,اروپا,پاریس در قاره اروپا قرار دارد.,پاریس در قاره اروپا قرار دارد.,True,
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» چه تصاویری گردآوری شده‌است؟,تصویرهای گوناگونی از نقوش شیر و خورشید,تصاویر نشان شیر و خورشید، پرچم‌ها، سکه‌ها و آثار هنری مرتبط با این نماد.,تصاویر نشان شیر و خورشید، پرچم‌ها، سکه‌ها و آثار هنری مرتبط با این نماد.,False,
آبراهام لینکلن در انتخابات ریاست جمهوری در سال ۱۸۶۰ چه کسی را شکست داد و وارد کاخ سفید شد؟,,آبراهام لینکلن در انتخابات ۱۸۶۰ استیون داگلاس را شکست داد.,آبراهام لینکلن در انتخابات ۱۸۶۰ استیون داگلاس را شکست داد.,False,
اولین پادشاه دوران قاجار چه کسی بود؟,,اولین پادشاه دوران قاجار آغا محمد خان قاجار بود.,اولین پادشاه دوران قاجار آغا محمد خان قاجار بود.,True,
شنا در برنامه های نظامی تمدن های باستانی چه جایگاهی داشت؟,,شنا در برنامه‌های نظامی تمدن‌های باستانی جایگاه مهمی داشت و به عنوان مهارت استراتژیک در جنگ‌ها مورد استفاده قرار می‌گرفت.,شنا در برنامه‌های نظامی تمدن‌های باستانی جایگاه مهمی داشت و به عنوان مهارت استراتژیک در جنگ‌ها مورد استفاده قرار می‌گرفت.,False,
موسیقی هیپ هاپ، چگونه است؟,به صورت اشعار بسیار ریتمیک پر از تکنیک‌هایی همچون همگونی مصوت‌ها، تجانس آوایی، و قافیه است,موسیقی هیپ هاپ شامل رپ، دی‌جیینگ و بریک‌دنس است و به موضوعات اجتماعی و فرهنگی می‌پردازد.,موسیقی هیپ هاپ شامل رپ، دی‌جیینگ و بریک‌دنس است و به موضوعات اجتماعی و فرهنگی می‌پردازد.,False,
در شنای پروانه حرکت پاها مانند حرکت چه چیزی در آب است؟,دلفین,حرکت پاها در شنای پروانه شبیه به حرکت بال‌های دلفین در آب است.,حرکت پاها در شنای پروانه شبیه به حرکت بال‌های دلفین در آب است.,False,
شاهنشاهی ساسانی را چه کسی پایه گذاری کرد؟,اردشیر بابکان,شاهنشاهی ساسانی توسط اردشیر اول پایه‌گذاری شد.,شاهنشاهی ساسانی توسط اردشیر اول پایه‌گذاری شد.,True,
پاتریشیا کرون، مایکل کوک بر اساس متن و تحقیقات باستان‌شناسی معتقدند مسجد الحرام در کجا واقع شده‌است؟,شمال غربی شبه جزیره عربستان,مسجد الحرام در مکه، عربستان سعودی واقع شده است.,مسجد الحرام در مکه، عربستان سعودی واقع شده است.,False,
روش پزشکی پرفشار توسط چه کسی ابداع شد؟,,روش پزشکی پرفشار توسط دکتر هارولد گودمن ابداع شد.,روش پزشکی پرفشار توسط دکتر هارولد گودمن ابداع شد.,False,
شعار غیررسمی شرکت گوگل توسط چه کسی ابداع شد؟,مهندس گوگل امیت پاتل,شعار غیررسمی گوگل توسط لری پیج و سرگئی برین ابداع شد.,شعار غیررسمی گوگل توسط لری پیج و سرگئی برین ابداع شد.,False,
شنا در کدام گروه از ورزش ها قرار می گیرد؟,ورزش‌های آبی,شنا در گروه ورزش‌های آبی قرار می‌گیرد.,شنا در گروه ورزش‌های آبی قرار می‌گیرد.,True,
چه چیز هایی اثرات اجتماعی بسیاری در طرز رفتار جوان مدرن داشته‌است؟,موفقیت چشمگیر هیپ هاپ --- مخصوصاً سبک رپ گانگستری ---,پیشرفت فناوری، رسانه‌های اجتماعی، تغییرات فرهنگی و اقتصادی.,پیشرفت فناوری، رسانه‌های اجتماعی، تغییرات فرهنگی و اقتصادی.,False,
در چه سالی با تصویب مجلس شورای ملی به رضاشاه لقب رضاشاه کبیر داده شد؟,۱۳۲۸,در سال ۱۳۰۴ هجری شمسی (۱۹۲۵ میلادی) به رضاشاه لقب رضاشاه کبیر داده شد.,در سال ۱۳۰۴ هجری شمسی (۱۹۲۵ میلادی) به رضاشاه لقب رضاشاه کبیر داده شد.,False,
نام عموی شورشی محمد شاه قاجار که بود؟,حسین‌علی میرزا فرمانفرما,عموی شورشی محمد شاه قاجار، میرزا تقی خان فراهانی (امیرکبیر) بود.,عموی شورشی محمد شاه قاجار، میرزا تقی خان فراهانی (امیرکبیر) بود.,False,
درچه تاریخی بهرام دوم درگذشت؟,۲۹۳,بهرام دوم در سال ۳۹۰ میلادی درگذشت.,بهرام دوم در سال ۳۹۰ میلادی درگذشت.,False,
شاپور دوم امپراتوری خود را در کجا برقرارکرد؟,نواحی جنوبی,شاپور دوم امپراتوری خود را در ایران برقرار کرد.,شاپور دوم امپراتوری خود را در ایران برقرار کرد.,False,
زیباترین تپه گیلان چه نام دارد؟,,زیباترین تپه گیلان تپه چمخاله است.,زیباترین تپه گیلان تپه چمخاله است.,False,
دارالفنون در چه سالی تأسیس شد؟,۱۲۳۰ خورشیدی (۱۸۵۱ میلادی),دارالفنون در سال ۱۲۳۰ هجری شمسی تأسیس شد.,دارالفنون در سال ۱۲۳۰ هجری شمسی تأسیس شد.,True,
بسیاری از برنامه‌نویس‌های حرفه‌ای به چه عنوان برای شرکت‌های مشاوره‌ای در محل‌های خدمت گیرنده کار می‌کنند؟,پیمانکار,"برنامه‌نویس‌های حرفه‌ای به عنوان ""مشاور"" برای شرکت‌های مشاوره‌ای کار می‌کنند.","برنامه‌نویس‌های حرفه‌ای به عنوان ""مشاور"" برای شرکت‌های مشاوره‌ای کار می‌کنند.",False,
واژه اینترنت اولین‌بار توسط چه کسی استفاده شد؟,,واژه اینترنت اولین‌بار توسط وینتون سرف و باب کان در سال 1974 استفاده شد.,واژه اینترنت اولین‌بار توسط وینتون سرف و باب کان در سال 1974 استفاده شد.,False,
به چه علت برابرسازی پرداختی ها توسط دولت فدرال کانادا صورت گرفت؟,تا به مردم اطمینان ببخشد که استانداردهای برابری در مورد ارائهٔ خدمات و اخذ مالیات، در میان استان‌های فقیر و غنی، ارائه می‌شود.,برابرسازی پرداختی‌ها برای کاهش نابرابری‌های اقتصادی و اجتماعی و حمایت از گروه‌های آسیب‌پذیر صورت گرفت.,برابرسازی پرداختی‌ها برای کاهش نابرابری‌های اقتصادی و اجتماعی و حمایت از گروه‌های آسیب‌پذیر صورت گرفت.,False,
موزهٔ ارمیتاژ در کدام کشور است؟,روسیه,موزهٔ ارمیتاژ در کشور روسیه واقع شده است.,موزهٔ ارمیتاژ در کشور روسیه واقع شده است.,True,
به طور کلی با هر حرک دست در شنای پروانه چند بار پای پروانه زده‌ می‌شود؟,دو بار,در هر بار حرکات دست در شنای پروانه، معمولاً دو بار پای پروانه زده می‌شود.,در هر بار حرکات دست در شنای پروانه، معمولاً دو بار پای پروانه زده می‌شود.,True,
چرا جاماسپ مالیات ها را کاهش داد؟,به منظور کمک به کشاورزان و فقرا,جاماسپ مالیات‌ها را برای بهبود وضعیت اقتصادی و افزایش رضایت مردم کاهش داد.,جاماسپ مالیات‌ها را برای بهبود وضعیت اقتصادی و افزایش رضایت مردم کاهش داد.,False,
در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به چند نفر رسید؟,حدود ۲۱۰ هزار نفر,"جمعیت ایرانیان در سرشماری سال ۲۰۱۶ کانادا به حدود ۲۵۰,۰۰۰ نفر رسید.","جمعیت ایرانیان در سرشماری سال ۲۰۱۶ کانادا به حدود ۲۵۰,۰۰۰ نفر رسید.",False,
چه ورزش هایی تبدیل به سرگرمی  شده اند؟,چوگان,فوتبال، بسکتبال، والیبال، دویدن، و ورزش‌های الکترونیکی.,فوتبال، بسکتبال، والیبال، دویدن، و ورزش‌های الکترونیکی.,False,
چه کسانی بر اساس متن و تحقیقات باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است؟,پاتریشیا کرون، مایکل کوک,برخی محققان و باستان‌شناسان بر اساس شواهد تاریخی و متنی، نظریه‌هایی درباره مکان دیگر «مسجدالحرام» مطرح کرده‌اند.,برخی محققان و باستان‌شناسان بر اساس شواهد تاریخی و متنی، نظریه‌هایی درباره مکان دیگر «مسجدالحرام» مطرح کرده‌اند.,False,
چه کسی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است؟,آیرونساید,سید ضیاءالدین طباطبایی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ غیرممکن است.,سید ضیاءالدین طباطبایی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ غیرممکن است.,False,
هاب را تعریف کنید؟,,هاب دستگاهی است که به عنوان نقطه مرکزی برای اتصال چندین دستگاه در شبکه‌های کامپیوتری عمل می‌کند.,هاب دستگاهی است که به عنوان نقطه مرکزی برای اتصال چندین دستگاه در شبکه‌های کامپیوتری عمل می‌کند.,True,
الکسا چه چیز را بعنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده‌است؟,اینترنت وبگاه گوگل در آمریکا,"الکسا ""گوگل"" را به عنوان پربازدیدترین وبگاه اینترنتی در فهرستش قرار داده است.","الکسا ""گوگل"" را به عنوان پربازدیدترین وبگاه اینترنتی در فهرستش قرار داده است.",True,
اولین گروه رپ که یک آلبوم هیپ هاپ رومانیایی عرضه کرد در آن به چه موضوعاتی پرداخت؟,«اجتماعی»,"گروه ""Paraziții"" به موضوعات اجتماعی، اقتصادی و انتقادات سیاسی پرداخت.","گروه ""Paraziții"" به موضوعات اجتماعی، اقتصادی و انتقادات سیاسی پرداخت.",False,
