question,answer,id,context_id
علیمردان خان بختیاری وکیل‌الدوله  که بود؟,نایب‌السلطنه,1602620,101
مهم‌ترین مسائل غیرنظامی رضاخان چه بود؟,رابطه با بریتانیا و شوروی,1637663,123
سبک آوازی یا تولیدی «به خانه برگرد» سئو تایجی شبیه کدام سبک بود؟,سبک سیپرس هیل,1617421,110
پس از کودتای چه سالی رضاشاه را سردار سپه می‌خواندند؟,۱۲۹۹,1637225,123
ابوموسی اشعری اهل کجا بود؟,,1626553,115
شهرهای سنجار و آمیدا به دست چه کسانی افتاده بود؟,ایرانی‌ها,1642358,126
تأثیر تمدن اژه ای بر تئاتر را شرح دهید.,تمدن باستانی اژه‌ای تأثیر مستقیم زیادی در تحول تئاتر نداشت، اما تئاتر غیرمستقیم آن فوق‌العاده زیاد بود، زیرا خدایان، قهرمانان و تاریخ همین مردم بود که مواد اولیهٔ ایلیاد و ادیسهٔ هومر و اکثر درام‌های یونانی را فراهم آورد. از این رو این تمدن‌ها به جهات مختلف زیربنای ادبیات غرب به‌شمار می‌آیند,1647026,129
مساحت کشور کانادا را بگویید.,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,1639066,124
ریشه یونانی اکسیژن چیست؟,اوکسیس,1624516,114
در چه سالی استفاده از واژه اینترنت معمول شد و مجازا برای اشاره به وب هم استفاده شد؟,سال ۱۹۹۶,1619172,111
انجمن حزبی جمهوری‌خواهان آزادی چیست؟,,1635584,122
شاهکار بینش‌پژوه چند آلبوم منتشر کرد؟,,1617597,110
موسیقی هیپ_هاپ در اوایل کدام دهه ایجاد شد؟,دهه ۱۹۷۰,1616905,110
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,1626546,115
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,1646747,129
کار برنامه‌نویس بزرگ رایانه چیست؟,,1634401,121
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,1611599,107
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,1602619,101
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,1617814,110
مسیحی پروتستان چگونه است؟,,1631389,119
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,1644030,127
جین آئو- یونگ در چه سالی متولد شد؟َ,,1617539,110
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),1619054,111
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,1618870,111
طبق مطالعات انجام شده انسان ها از چند سال پیش مراسم آئینی اجرا می کردند؟,انسان از ۳۰۰۰۰ سال پیش مراسم آئینی اجرا می‌کرده‌است,1646967,129
حزب دموکرات ایالات متحده آمریکا توسط چه کسانی تأسیس شد؟,,1635467,122
ماده حاجب پرتونگاری چیست؟,,1640515,125
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟ ,غلامحسین افضل‌الملک,1608254,105
مشیرالدوله در خرداد چه سالی دولت تشکیل داد؟,۱۳۰۲,1637604,123
"پیوندهای هیدروژن بین مولکول‌های آب آنها را چند درصد نزدیکتر از آنچه انتظار می‌رود در یک مایع ساده که فقط دارای نیروی واندروالسی باشد، قرار داده‌است؟
",تقریباً ۱۵٪,1624923,114
هرمز سوم در باختر با چه کسی جنگید؟,هپتالیان,1642693,126
چه کسی پیرو برکناری قباد اول توسط اشراف، به تخت شاهنشاهی ساسانی نشست؟,جاماسپ,1642854,126
واحد های بزرگ سیاسی تمدن یونان چه نام دارد؟,پولیس,1647080,129
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,1632806,120
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,1642525,126
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,1617304,110
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,1614356,108
منظور از آتریاد چیست؟,تیپ,1637361,123
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,1601228,100
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,1611765,107
کشور شیلی در کدام قاره قرار دارد؟,,1606748,104
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,1645692,128
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,1608469,105
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,1637612,123
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,1625265,114
بعد از کودتا اسفند 1299 مسعود خان به چه سمتی رسید؟,وزیر جنگ,1637546,123
در جنگ جهانی اول و جنگ جهانی دوم، ژاپن در کدام جبهه قرار داشت؟,در جنگ جهانی اول، ژاپن از متفقین بود و در جنگ جهانی دوم با متفقین می‌جنگید.,1622330,113
بودجه تئاتر ملی از کجا تأمین می گشت؟,امکانات و بودجهٔ خود را از محل خیریه آموزش و پرورش تأمین می‌کرد,1647251,129
اکسیژن عضوی از خانواده عناصر کدوم گروه است؟,گروه کالکوژن,1624231,114
در دهه‌های ۱۹۶۰ تا ۱۹۸۰ گرایش غالب حزب جمهوری‌خواهان را چه گروهی شکل می‌دادند؟,میانه‌روها,1635520,122
چه کسی کادوسیان را شکست داد؟,نی‌نوس شاه آشوری,1609850,106
کدام‌یک از فرهنگ‌ها در فرهنگ ژاپن تاثیر داشتند؟,فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است.,1623174,113
اینترنت از کدام دههٔ به صورت یک شبکهٔ همگانی و جهان‌شمول درآمد؟,از اواسط دههٔ ۱۹۹۰,1618876,111
اینترنت چیست؟,شبکه‌ای از شبکه‌ها,1618869,111
چرا شوروی نظر مساعدی نسبت به رضاخان داشت؟,رهبر مبارزهٔ ملی علیه نفوذ بریتانیا,1637664,123
کلمه‌ی گوگل برگرفته از چه واژه‌ای است؟,,1611604,107
احزاب عمده ی هلند را نام ببرید؟,دموکرات مسیحی، سوسیال دموکرات (کار)، سوسیالیست، حزب سبزها و لیبرال,1631505,119
برای چه کسانی دشوار است که بتوانند وارد جریان اصلی ایالات متحده آمریکا بشوند؟,هنرمندان هیپ هاپ آسیایی,1617531,110
تا چند سال بعد از هوور، جمهوری‌خواهان از قدرت کنار گذاشته شدند؟,۲۰,1635877,122
تمدن اژه ای پیشاهنگ کدام تمدن بود؟,تمدن یونانی,1647022,129
ایوان ساترلند، درچه سالی، لارنس رابرتس را بر آن گماشت که پروژه‌ای را برای ایجاد یک شبکه آغاز نماید؟,سال ۱۹۶۵,1619107,111
در سال ۱۸۴۶ اولین مسابقه ی شنا در کجا و در چه مسافتی برپا شد؟,در مسافت ۴۴۰ یارد در استرالیا,1645462,128
ریشهٔ شبکهٔ عظیم جهانی اینترنت به کدام دههٔ بازمی‌گردد؟,دههٔ ۱۹۶۰,1618874,111
گالریوس در نبرد های پیاپی برچه کسی پیروز شد؟,نرسه,1642193,126
روش‌های ذخیره سازی اکسیژن را نام ببرید؟,شامل کپسول اکسیژن با فشار بالا، فوق سردسازی و ترکیبات شیمیایی است,1625145,114
نخستین آثار ادبیات ژاپنی به کدام زبان سروده شدند؟,زبان چینی کلاسیک,1623176,113
در ژوئن ۲۰۲۰، دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت چه مبلغی کرد؟,۵ میلیارد دلار,1612339,107
دکترین کلیسای کاتولیک بر چه چیزی استوار است؟,اعتقاد نامه نیقیه,1630215,118
لاوازیه چه کسی بود؟,اولین کسی بود که اکسیژن را به‌عنوان یک عنصر شیمیایی مستقل به‌شمار آورد و به‌درستی به نقش آن در سوختن اشاره کرد,1624295,114
تعداد ضربه‌های پا در طی یک دور در شنای پروانه به طور عمومی نسبت به کرال سینه چگونه است؟,کمتر,1627716,116
پاریس در کدام قاره قرار گرفته‌است؟,اروپا,1605288,103
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» چه تصاویری گردآوری شده‌است؟,تصویرهای گوناگونی از نقوش شیر و خورشید,1608741,105
آبراهام لینکلن در انتخابات ریاست جمهوری در سال ۱۸۶۰ چه کسی را شکست داد و وارد کاخ سفید شد؟,,1635700,122
اولین پادشاه دوران قاجار چه کسی بود؟,,1608256,105
شنا در برنامه های نظامی تمدن های باستانی چه جایگاهی داشت؟,,1645296,128
موسیقی هیپ هاپ، چگونه است؟,به صورت اشعار بسیار ریتمیک پر از تکنیک‌هایی همچون همگونی مصوت‌ها، تجانس آوایی، و قافیه است,1616959,110
در شنای پروانه حرکت پاها مانند حرکت چه چیزی در آب است؟,دلفین,1627662,116
شاهنشاهی ساسانی را چه کسی پایه گذاری کرد؟,اردشیر بابکان,1641784,126
پاتریشیا کرون، مایکل کوک بر اساس متن و تحقیقات باستان‌شناسی معتقدند مسجد الحرام در کجا واقع شده‌است؟,شمال غربی شبه جزیره عربستان,1601119,100
روش پزشکی پرفشار توسط چه کسی ابداع شد؟,,1625209,114
شعار غیررسمی شرکت گوگل توسط چه کسی ابداع شد؟,مهندس گوگل امیت پاتل,1611603,107
شنا در کدام گروه از ورزش ها قرار می گیرد؟,ورزش‌های آبی,1645347,128
چه چیز هایی اثرات اجتماعی بسیاری در طرز رفتار جوان مدرن داشته‌است؟,موفقیت چشمگیر هیپ هاپ --- مخصوصاً سبک رپ گانگستری ---,1617248,110
در چه سالی با تصویب مجلس شورای ملی به رضاشاه لقب رضاشاه کبیر داده شد؟,۱۳۲۸,1637229,123
نام عموی شورشی محمد شاه قاجار که بود؟,حسین‌علی میرزا فرمانفرما,1608417,105
درچه تاریخی بهرام دوم درگذشت؟,۲۹۳,1642134,126
شاپور دوم امپراتوری خود را در کجا برقرارکرد؟,نواحی جنوبی,1642354,126
زیباترین تپه گیلان چه نام دارد؟,,1610147,106
دارالفنون در چه سالی تأسیس شد؟,۱۲۳۰ خورشیدی (۱۸۵۱ میلادی),1603892,102
بسیاری از برنامه‌نویس‌های حرفه‌ای به چه عنوان برای شرکت‌های مشاوره‌ای در محل‌های خدمت گیرنده کار می‌کنند؟,پیمانکار,1634181,121
واژه اینترنت اولین‌بار توسط چه کسی استفاده شد؟,,1619228,111
به چه علت برابرسازی پرداختی ها توسط دولت فدرال کانادا صورت گرفت؟,تا به مردم اطمینان ببخشد که استانداردهای برابری در مورد ارائهٔ خدمات و اخذ مالیات، در میان استان‌های فقیر و غنی، ارائه می‌شود.,1639183,124
موزهٔ ارمیتاژ در کدام کشور است؟,روسیه,1608579,105
به طور کلی با هر حرک دست در شنای پروانه چند بار پای پروانه زده‌ می‌شود؟,دو بار,1627768,116
چرا جاماسپ مالیات ها را کاهش داد؟,به منظور کمک به کشاورزان و فقرا,1642858,126
در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به چند نفر رسید؟,حدود ۲۱۰ هزار نفر,1639296,124
چه ورزش هایی تبدیل به سرگرمی  شده اند؟,چوگان,1642638,126
چه کسانی بر اساس متن و تحقیقات باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است؟,پاتریشیا کرون، مایکل کوک,1601118,100
چه کسی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است؟,آیرونساید,1637483,123
هاب را تعریف کنید؟,,1618938,111
الکسا چه چیز را بعنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده‌است؟,اینترنت وبگاه گوگل در آمریکا,1611712,107
اولین گروه رپ که یک آلبوم هیپ هاپ رومانیایی عرضه کرد در آن به چه موضوعاتی پرداخت؟,«اجتماعی»,1617760,110
شرکت اَپل مجوز استفاده از آی‌اواس برای چه چیزی را نمی‌دهد؟,برای نصب بر روی سخت‌افزارهای شخص ثالث,1621048,112
طوایف عرب خوزستان همگی از چه دسته‌ ای بودند؟,دسته کوچ نشین، غیر ثابت و با اصل و نسب مشخص در شبه جزیره عربستان,1614298,108
چرا ارمنستان همیشه مهم بوده است؟,اهمیت استراتژیک و اقتصادی داشته و به عنوان سرزمین حایل بین ایران و روم بوده.,1642076,126
شنا برای کودکان زیر سه سال به چه صورت می باشد؟,شنا برای کودکان زیر سه سال فقط به صورت به اصطلاح شنای سگی است,1645691,128
استان ها مسئول اکثر چه برنامه هایی هستند؟,برنامه‌های اجتماعی,1639184,124
شگون ها تا چه سده‌ای بر ژاپن حکومت می‌کردند؟,تا نیمه اول سده نوزدهم حکومت مستبدانه خود را بر ژاپن ادامه دادند.,1622839,113
انواع طبل را نام ببرید؟,,1616965,110
آی‌اواس در ابتدا برای کدام دستگاه‌ها توسعه داده می‌شد؟,آیفون و آی‌پاد,1621047,112
به چه علت پیشینه‌ی تاریخی پاسارگاد در طول تاریخ ناشناخته مانده‌است؟,تغییرنام این شهر,1615631,109
ابن بلخی در بیان راه‌های بین شیراز و اصفهان چند راه اصلی نام می‌برد؟,سه راه اصلی,1615739,109
زبان‌های برنامه‌نویسی محبوبی که برای وب و نرم‌افزارهای کاربردی تجاری استفاده می‌شوند را نام ببرید؟,جاوا، سی شارپ، ویژوال بیسیک و پی‌اچ‌پی,1634237,121
در سال ۱۲۸۸ رضاخان برای چه چیزی به زنجان و اردبیل اعزام شد؟,خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,1637356,123
مایکل سندی‌ووجیس در چه سالی متولد شد؟,,1624297,114
چه زمانی جام توماس لیپتون به عنوان نخستین دوره رقابت‌های جام جهانی شناخته می‌شد؟,,1606523,104
شالبافی در کجا و توسط چه کسانی دراستان گیلان رایج است؟,شالبافی در تالش و توسط گالش‌ها,1610202,106
پس از چه رویدادی فعالیت‌های سازمان دارِ تئاتر در اروپای غربی متوقف شد؟,پس از سقوط امپراتوری روم,1647194,129
نام فرد ایرانی که پست‌هایی همچون مشاور ارشد مدیر عامل گوگل و نایب‌رئیس ارشد بخش فروش را در این شرکت داشت چه بود؟,امید کردستانی,1612111,107
دوره‌ی مداری چیست؟,,1632690,120
بزرگترین مشکل استان خوزستان در حال حاضر چیست؟,,1614521,108
کریم‌خان زند خود را چه نامید؟,او خود راوکیل الرعایا نامید,1602561,101
چه چیزی در استان خوزستان قابلیت بالقوهٔ کشاورزی فراوانی ایجاد کرده‌است؟,ساختار جلگه‌ای استان خوزستان,1614462,108
بعد از لیندون بنیز جانسون چه کسی رئیس جمهور شد؟,ریچارد نیکسون,1635932,122
مدار ژئوسنکرون زمین در چه فاصله‌ای از سطح زمین است؟,۳۶۰۰۰ کیلومتری,1633021,120
علی بن موسی الرضا چگونه به شهادت رسید؟ ,,1607979,105
در قرن ۴ام اسلامی برای جمع‌آوری قرائت‌های مختلف قرآنی برای هر قاری چند راوی قرار دادند؟,دو,1601393,100
کادوسیان بنابر استرابو در کجا می‌زیستند؟,در کرانه جنوب غرب دریای خزر و جنوب ارس بین آلبانی در شمال و ماردی در شرق یعنی در بخش کوهستانی مادیه پیرامون پاراچوآتراس,1609849,106
ماهواره‌های مدارات قطبی جهت چه کاری مورد استفاده قرار می‌گیرند؟,مشاهدۀ سطح زمین,1632805,120
در سال 1963، کدام شهرستان کوچک در شمال به گیلان ملحق شد؟,آستارا,1610316,106
نسخه‌های تست بتا به وسیله ی چه گروهی اجرا شد؟,به وسیلهٔ گروهی غیر از تولیدکنندگان,1644189,127
در چه سالی دوپلر مقاله ای راجع به اثر دوپلر بر روی همه ی امواج نوشت؟,۱۸۴۲,1640407,125
آزمایش های سندی‌ووجیس در چه کتابی منتشر شده؟,در مورد احتراق,1624460,114
تعدادی از موضوعات نقاشی انسان های گذشته را نام ببرید.,تصاویری همچون اهلی کردن حیوانات، کشت گندم، اختراع سفالگری و ترک زندگی کوچنشینی یعنی هنگامی که شکارچیان و تهیه‌کنندگان غذا در مکانی مستقر می‌شوند و به کشاورزی و دامداری رو می‌آورند,1646969,129
سنگ نوشته ای که در نزدیکی تخت جمشید است به چه زبانی است؟,فارسی و یونانی,1642019,126
کلیسای کاتولیک اهداف خود را بر چه چیزی تعریف می‌کند؟,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه تاسیس بیمارستان، یتیم خانه و مدرسه,1630273,118
طبق نظر غالب محققان الگوی تکاملی تئاتر در جوامع مختلف به چه صورت می باشد؟,غالب محققان این نظر را که تئاتر در همهٔ جوامع از الگوی تکاملی واحدی پیروی کرده‌است و رد می‌کنند,1646912,129
امپراتوری ایران با کدام منطقه در صلح وآرامش بود؟,دشمنان شرقی,1642413,126
باشگاه شنای متروپولیتین لندن بعدها به چه چیزی تغییر نام پیدا کرد؟,انجمن شنای غیر حرفه‌ای,1645465,128
چه چیزی به آهنگسازان هیپ هاپ اجازه داد تا حدودی پارتیتورهای اولیه را به دست آورند؟,ظهور طبل برقی,1617074,110
فرهنگ میان‌رودان چگونه بوده است؟,,1613848,108
مدار ژیودزیکی چیست؟,,1632687,120
توپولوژی چیست؟,,1619056,111
در کدام دهه در هرسال اینترنت رشدی صد درصدی نسبت به سال قبل خود داشته‌است؟,در دهه ۹۰,1619225,111
کاسپین صفت وصفی یا نسبی در زبان‌های انگلیسی و فرانسوی برای کدام واژه است؟,کاسپی,1629046,117
اکسیژن چگونه اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود؟,با غلظت و تراکم بالا,1625375,114
ابن فقیه همدانی در کتاب «اخبار البلدان» آورده‌است که آتش آذرگشنسب تا چه سالی روشن بوده‌است؟,سال ۲۷۴ خورشیدی,1626552,115
تاریخ ژاپن از کجا آغاز می‌گردد؟,آغاز تاریخ ژاپن، با مردمانی از نژاد آینو و مغول به سده‌های پیش از میلاد مسیح بازمی‌گردد,1622619,113
اروگوئه‌ای‌ها به چه علت مسابقات جام جهانی ایتالیا را تحریم کردند؟,از گسترش فاشیسم در ایتالیا ناراضی بودند,1606634,104
مسابقات جام جهانی سال ۱۹۳۸ با حضور چند تیم برگزار شد؟,۱۵ تیم,1606800,104
نظام آموزشی کانادا را شرح دهید.,,1639240,124
یکی از سرویس‌های ارتباطی مهم در دسترس بر روی اینترنت را نام ببرید؟,پست الکترونیک,1619603,111
مشهورترین خوراکی استان گیلان از نظرجهانگردان چیست؟,,1610205,106
در سال 652 هجری در گیلان شهر چگونه شکل می‌گرفت؟,با جمع شدن مردم به‌طور موقت در یک روز و تشکیل بازار یا «گوراب» که از همان انبوهه و گروه گرفته شده بود شکل می‌گرفت,1610257,106
دلیل تأثیر منفی ارتفاع زیاد چیست؟,رقیق شدن سریع اکسیژن روی انسان,1625317,114
چه کسانی مدت‌ها منبع محبوبی برای بریک بودند؟,جیمز براون، باب جیمز، و پارلیامنت,1617019,110
رضاشاه در جوانی به نام ناحیه‌ای که از آن برخاسته بود نامیده می‌شد، آن نام چیست؟,رضا سوادکوهی,1637219,123
دونالد ترامپ چندمین رئیس جمهور آمریکا بود؟,,1635466,122
شهر رم در کدام کشور است؟,ایتالیا,1630276,118
کدام مورخان نگاه سنتی در برابر روش گردآوری قرآن را رد کرده‌اند؟,مایکل کووک و پاتریکا کرون,1601283,100
نقاشی‌ بازدید ناصرالدین شاه از کشور روسیه در سال ۱۸۷۳ م (۱۲۹۰ ه‍.ق)  که شاه را سوار بر اسب در کنار الکساندر دوم امپراتور وقت روسیه می‌نمایاند در کدام موزه نگهداری می‌شود؟,موزهٔ ارمیتاژ روسیه,1608577,105
کدام‌یک از پادشاهان به آئین بودا معتقد بودند؟,,1622785,113
شنا کردن را تعریف کنید.,شناکردن عبارت است از حرکات منظم دست‌ها و پاها و به‌طور کلی بدن که امکان پیشروی موجودات زنده در آب را ممکن می‌سازد.,1645294,128
چه کسی اولین تئاتر زنان ایرانی را راه اندازی کرد؟,امیر سعادت,1647419,129
مایکل سندی‌ووجیس در سال ۱۶۰۴ چه ماده ای را شرح داد؟,ماده موجود در هوا,1624404,114
مهم‌ترین استان کانادا از لحاظ اقتصادی و سیاسی را نام ببرید.,انتاریو,1639125,124
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟,,1608633,105
چند اماکن عمومی که می‌توان در آن‌ها از اینترنت استفاده نمود نام ببرید؟,کتابخانه‌ها و کافی‌نتها,1619772,111
ارشد‌الدوله که بود؟,,1637365,123
وظیفه پی بندی و استانداردسازی پروتکل‌های هسته‌ای اینترنت، پروتکل اینترنت نسخه ۴ و پروتکل اینترنت نسخه ۶ بر عهده چه گروهی است؟,گروه ویژه مهندسی اینترنت,1618992,111
در کدام سواحل و در چه تاریخی از شنا در آب به عنوان وسیله‌ای برای درمان استفاده می‌شد؟,سواحل بریتانیای کبیر در اواخر قرن ۱۷ میلادی,1645459,128
کدام حزب ایالات متحده آمریکا با نام جی‌او‌پی یا حزب بزرگ قدیمی نیز شناخته می‌شود؟,حزب جمهوری‌خواه,1635457,122
اشتراک نظر لوی استروس با مکتب کارکرد گرایی چیست؟,لِوی استروس همچون پیروان مکتب کارکرد گرایی، داروینیسم فرهنگی را رد می‌کند و معتقد است که هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد,1646856,129
در ابتدای تأسیس گوگل در سال ۱۹۹۸ تا اوت ۲۰۰۱، چه کسی مدیر ارشد اجرایی گوگل بود؟,لری پیج,1611995,107
شبکه استانی صدای مرکز گیلان دارای چند بخش است؟,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,1610540,106
چرا پادشاهان در قرن هشتم دست از زندگی مجلل و اشرافی خود برداشتند؟,برخی از پادشاهان این دوره بعلت گرایش به آئین بودا و تعصب در این دین دست از زندگی مجلل و اشرافی خود برداشتند.,1622784,113
در سال 1909، چه کسی جام توماس لیپتون را در شهر تورین برگزار کرد؟,سر توماس لیپتون,1606520,104
پنتاگون کجاست؟,مقر و فرماندهی وزارت دفاع ایالات متحدهٔ آمریکا,1618875,111
کمدی تا چه سالی به دیونوسیای شهر راه نیافت؟,تا سال‌های ۴۸۷–۴۸۶,1647139,129
بزرگترین و مهم‌ترین زن نمایشگر و خدای‌نامه‌خوان پس از اسلام کیست؟,همسر فردوسی,1647366,129
چه سرویسی با پیدایش اینترنت امکان‌پذیر شد؟,تلفن اینترنتی,1619658,111
یکی از نکات مورد اختلاف بین ساسانی‌ها و رومی‌ها چه بوده‌است؟,ارمنستان,1642075,126
در بمباران اتمی هیروشیما و ناکازاکی، در ژاپن چند نفر جان خود را از دست دادند؟,,1622333,113
عمره ترین شرکای تجاری ژاپن کدام کشور‌ها هستند؟,آمریکا با ۲۲٫۷٪، چین با ۱۳٫۱٪ و کره جنوبی با ۷٫۸٪ عمده‌ترین شرکای تجاری این کشور هستند.,1623121,113
وب توسط چه کسی اختراع شد؟,دانشمندی انگلیسی به نام تیم برنرز لی,1619168,111
نام جمهوری‌خواه از چه چیزی اقتباس گردید؟,از نام حزب جمهوری‌خواهان دموکراتیک که در ابتدای قرن نوزدهم توسط توماس جفرسون بنیان گذاشته شد,1635637,122
ساختمان دارالفنون در کدام قسمت تهران قرار گرفته‌است؟,مرکز شهر تهران,1603949,102
تاریخ بلعمی پرچم امویان را به چه رنگی توصیف کرده‌است؟,سبز,1607967,105
به منظور تمرکززدایی بسیاری از وزارتخانه‌ها و سفارتخانه‌ها هلند در کدام شهر مستقر شده‌اند؟,لاهه,1631394,119
قران توسط زید بن ثابت طی چه مدتی جمع آوری شد؟,۱۴ ماه و تا زمان فوت ابوبکر در سال ۱۳ هجری,1601175,100
در شنای پروانه، پاها حدود چند سانتی‌متر در زیر آب است؟,۳۰ سانتی‌متر,1627717,116
تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ چقدر بود؟,بیش از ۲۵ بیلیون بار,1621051,112
روستای آلاشت از توابع کجاست؟,سوادکوه,1637286,123
چگونه هلند با بریتانیا هم‌جوار است؟,دریا,1631397,119
«آئین‌نامه نظامی قواعد مشق و حرکات پیاده‌نظام دولت علیّه ایران» در چه زمانی به چاپ رسید؟,رمضان ۱۲۶۸ ه‍.ق (اوایل صدارت میرزا آقا خان نوری),1608631,105
فروش ۱٫۶۷ میلیارد دلاری سهام گوگل، سرمایه این شرکت را به چه قیمتی رساند؟,بیش از ۲۳ میلیارد دلار,1611829,107
اولین مردی که شنای 100متر کرال سینه را زیر یک دقیقه شنا کرد کیست؟,,1645523,128
پایه اسیدها را چه چیزی تشکیل می‌دهد؟,هیدروژن,1624518,114
در سال 2006 تعداد روستاهای مسکون گیلان به چقدر کاهش یافت؟,۲۶۸۶,1609907,106
دو فضای نام اصلی اینترنت، نشانی پروتکل اینترنت و سامانه نام دامنه توسط چه سازمانی راهبری می‌شوند؟,آیکان,1618990,111
پاپک درچه تاریخی موفق به سرنگون کردن گوچهر از خاندان بازرنگیان شد؟,در سال ۲۰۰,1641841,126
