question,answer,model_answer,clean_model_answer,is_correct,id
 محصولی که چهارمین محصول کشاورزی کشت شده در جهان بوده و در آن نیکوتین وجود دارد چه نام دارد ؟,سیب زمینی,توتون (تنباکو),توتون (تنباکو),False,
شرکت عرضه کننده بازی های فال اوت و الدر اسکورولز که بازی رستاخیز را هم عرضه کرده است چه نام دارد ؟,بتزدا,بتسدا (Bethesda),بتسدا (Bethesda),True,
شرکت زیر مجموعه ماکروسافت که بازی رستاخیز را برای ویندوز، اکس باکس و پلی استیشن عرضه کرده است چه نام دارد ؟,بتزدا,استودیو 343 اینداستریز,استودیو 343 اینداستریز,False,
آیا ماکروسافت شرکت منتشر کننده بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است ؟,بله,بله، ماکروسافت بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است.,بله، ماکروسافت بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است.,True,
در جنگی که آنه فرانک در آن کشته شد حدود چند نفر کشته شدند ؟,۷۰ تا ۸۵ میلیون,حدود 70 تا 85 میلیون نفر,حدود 70 تا 85 میلیون نفر,True,
چند کشور جهان در جنگی که آنه فرانک در آن کشته شد درگیر شدند ؟,30 کشور,بیش از ۳۰ کشور,بیش از ۳۰ کشور,False,
عنصر اصلی ماده ای که پودر سنگ از آن بر اثر نیروی سایش یخچال ها بر کف یخچال به وجود می‌آید چیست ؟,سلیس,کلسیم,کلسیم,False,
کدام یک از فیلم هایی که موسیقی آن در استودیو بل ضبط شده است در روزهای دوشنبه پخش می شد ؟,سربداران,شهرزاد,شهرزاد,False,
نوسینده کدام یک از فیلم هایی که در استودیو  بل ضبط شده است کیهان رهگذار بوده است ؟,بله,"فیلم ""شب یلدا""","فیلم ""شب یلدا""",False,
پادشاه افغانی که سد سرده در زمان آن ساخته شد به مدت چند سال بر افغانستان حمک فرمایی کرد ؟,چهل سال,۱۰ سال,۱۰ سال,False,
آیا پادشاه افغانی که سد سرده در زمان آن ساخته شد توانست دوره‌ای از صلح پایدار را در افغانستان برقرار کند ؟,بله,خیر، او نتوانست دوره‌ای از صلح پایدار را برقرار کند.,خیر، او نتوانست دوره‌ای از صلح پایدار را برقرار کند.,False,
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد چه کسی رئیس هیئت داوران بود ؟,جرج میلر,ابراهیم حاتمی‌کیا,ابراهیم حاتمی‌کیا,False,
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد شهاب حسینی جایزه بهترین بازیگر نقش اول مرد را دریافت کرد ؟,بله,جشنواره فیلم فجر,جشنواره فیلم فجر,False,
بازیگر نقش اصلی فیلم تنر هال در کدام فیلم به همراه کیت بلانشت نقش آفرینی کرده است ؟,کوچه کابوس,"فیلم ""آسمان‌خراش"" (The Aviator)","فیلم ""آسمان‌خراش"" (The Aviator)",False,
کدام بازیگر فیلم تریپل اکس موسیقی‌دان اهل ایالات متحده آمریما است ؟,ایو,وین دیزل,وین دیزل,False,
آیا کارگردان دو فیلم استخراج و ماشین پلیس جان واتس می باشد ؟,خیر,خیر، کارگردان دو فیلم استخراج و ماشین پلیس متفاوت است.,خیر، کارگردان دو فیلم استخراج و ماشین پلیس متفاوت است.,True,
کارگردان فیلم استخراج از چه سالی مشغول به فعالیت است ؟,2005,از سال 2000,از سال 2000,False,
آیا ایو و استیون سی میلر هر دو آمریکایی هستند ؟,بله,بله، هر دو آمریکایی هستند.,بله، هر دو آمریکایی هستند.,True,
کارگردان دو فیلم پرومتئوس و مجموعه فیلم بیگانه چه کسی می باشد ؟,ریدلی اسکات,ریدلی اسکات,ریدلی اسکات,True,
آیا قورباغه ها و مارمولک‌ها هر دو از راسته بی‌دمان هستند ؟,خیر,خیر، قورباغه‌ها و مارمولک‌ها هر دو از راسته بی‌دمان نیستند.,خیر، قورباغه‌ها و مارمولک‌ها هر دو از راسته بی‌دمان نیستند.,True,
کدام زبان برنامه نویسی که توسط بلوفیش پشتیبانی می شود از لحاظ نحو شبیه به سی‌شارپ است ؟,والا,جاوا,جاوا,False,
در کدام کتاب از سردبیر مجله کارنامه از حسین پاینده به عنوان منتقدی که به پیش برد نقد ادبی یاری رسانده یاد شده است ؟,باغ در باغ,"کتاب ""نقد ادبی در ایران""","کتاب ""نقد ادبی در ایران""",False,
آیا نویسنده کتاب باغ در باغ از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی بوده است ؟,بله,بله، نویسنده کتاب باغ در باغ از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی است.,بله، نویسنده کتاب باغ در باغ از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی است.,True,
مجله ای که پل جرج کلبنیکوف به مدت ده سال برای آن کار می کرد توسط چه کسی تاسیس شد ؟,بیسی فوربز,ولادیمیر گولنیشچف-کوتوزوف,ولادیمیر گولنیشچف-کوتوزوف,False,
از بین نگاناسان‌ها و مردم انتس جمعیت کدام کمتر است ؟,انتس,جمعیت نگاناسان‌ها کمتر است.,جمعیت نگاناسان‌ها کمتر است.,False,
آیا شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد ؟,بله,بله، شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد.,بله، شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد.,True,
آیا نگاناسان‌ها و مردم انتس هر دو به زبان نگاناسانی تکلم می کنند ؟,خیر,بله، هر دو به زبان نگاناسانی تکلم می‌کنند.,بله، هر دو به زبان نگاناسانی تکلم می‌کنند.,False,
آیا نگاناسان‌ها و مردم انتس هر دو نزدیک به مدار قطب شمال به‌سر می‌برند ؟,خیر,بله، هر دو نزدیک به مدار قطب شمال به‌سر می‌برند.,بله، هر دو نزدیک به مدار قطب شمال به‌سر می‌برند.,False,
کدام یک از بازیگران فیلم آخرین شکارچی جادوگر برنده اسکار و گلدن گلوب شده است ؟,مایکل کین,میشل ویلیامز,میشل ویلیامز,False,
آیا شرکت تکمو در همان سالی که بازی نینجا گایدن اولین بار در آمریکای شمالی عرضه شد تاسیس گردید ؟,خیر,خیر، شرکت تکمو در سال عرضه نینجا گایدن تأسیس نشده بود.,خیر، شرکت تکمو در سال عرضه نینجا گایدن تأسیس نشده بود.,True,
تصویرگر مجموعه شکار جانور شگفت‌انگیز از اعضای کدام گروه نقاشان بود ؟,پیشارافائلی,گروه نقاشان رئالیست,گروه نقاشان رئالیست,False,
 کدام یک از نشانه های آبله‌میمون باعث می شود بسیاری از میکروب ها توانایی رشد نداشته باشند ؟,تب,بثورات پوستی,بثورات پوستی,False,
آیا موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر کرده است  ؟,خیر,بله، موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر کرده است.,بله، موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر کرده است.,False,
شرکت منتشر کننده آهنگ بیلی جین در چه سالی بنیان‌گذاشته شد ؟,سال 1953,سال 1953,سال 1953,True,
کسی که شخصیت های مجموعه تجربیات سریالی لین را طراحی کرده عمدتا در کدام حوزه کار می کند ؟,انیمه و مانگا,حوزه انیمیشن و طراحی کاراکتر,حوزه انیمیشن و طراحی کاراکتر,True,
کدام یک از مردمانی که از تکنیک تیراندازی با کمان استفاده می کردند قومی از نژاد زرد هستند ؟,مغول‌ها,چینی‌ها و ژاپنی‌ها,چینی‌ها و ژاپنی‌ها,False,
کدام یک از فلزات نجیب به معنی زنده می باشد ؟,جیوه,طلا,طلا,False,
آیا نقره زنده به عنوان فلزات نجیب شناخته می شود ؟,بله,خیر، نقره زنده به عنوان فلزات نجیب شناخته نمی‌شود.,خیر، نقره زنده به عنوان فلزات نجیب شناخته نمی‌شود.,False,
کنسول بازی که ایس کمبت ۷: آسمان‌های ناشناخته در ژانویه 2019 برای آن منتشر شد توسط کدام شرکت معرفی شده است ؟,مایکروسافت,شرکت سونی,شرکت سونی,False,
آیا شرکت نینتندو زودتر از شرکت تکمو تاسیس شد ؟,خیر,بله، شرکت نینتندو زودتر از شرکت تکمو تأسیس شد.,بله، شرکت نینتندو زودتر از شرکت تکمو تأسیس شد.,False,
آیا جایزه ادبی من بوکر و جوایز گلدن گلوب هر دو به بهترین تولیدات سینمایی و تلویزیونی، هم داخلی و هم خارجی اهدا می‌گردد ؟,خیر,خیر، جایزه من بوکر به آثار ادبی و جایزه گلدن گلوب به تولیدات سینمایی و تلویزیونی اهدا می‌شود.,خیر، جایزه من بوکر به آثار ادبی و جایزه گلدن گلوب به تولیدات سینمایی و تلویزیونی اهدا می‌شود.,False,
آیا نخستین جوایز گلدن گلوب زودتر از جایزه شیر طلایی اهدا گردید ؟,بله,بله، نخستین جوایز گلدن گلوب زودتر از جایزه شیر طلایی اهدا گردید.,بله، نخستین جوایز گلدن گلوب زودتر از جایزه شیر طلایی اهدا گردید.,True,
آیا نینجا گایدن و ندای وظیفه هر دو توسط یک شرکت منتشر شده اند ؟,خیر,خیر، نینجا گایدن و ندای وظیفه توسط یک شرکت منتشر نشده‌اند.,خیر، نینجا گایدن و ندای وظیفه توسط یک شرکت منتشر نشده‌اند.,True,
آیا شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر کرده است ؟,خیر,خیر، شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر نکرده است.,خیر، شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر نکرده است.,True,
آیا کسی که بازی سوپرتاکس را توسعه داده بازی ندای وظیفه را منتشر کرده است ؟,خیر,خیر، کسی که سوپرتاکس را توسعه داده، بازی ندای وظیفه را منتشر نکرده است.,خیر، کسی که سوپرتاکس را توسعه داده، بازی ندای وظیفه را منتشر نکرده است.,True,
آیا بازی ندای وظیفه و بازی ایس کمبت ۷: آسمان‌های هر دو توسط یک فرد منتشر شده اند ؟,خیر,خیر، توسط یک فرد منتشر نشده‌اند.,خیر، توسط یک فرد منتشر نشده‌اند.,True,
آیا کارگردان فیلم آلیس در شهرها نوسینده فیلم پرومتئوس بوده است ؟,خیر,"خیر، کارگردان ""آلیس در شهرها"" نویسنده ""پرومتئوس"" نیست.","خیر، کارگردان ""آلیس در شهرها"" نویسنده ""پرومتئوس"" نیست.",True,
آیا فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال می باشند ؟,خیر,خیر، فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال نمی باشند.,خیر، فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال نمی باشند.,True,
آیا فیلمبرداری فیلم آلیس در شهرها توسط  نویسندگان فیلم پرومتئوس انجام شده است ؟,خیر,خیر، فیلمبرداری فیلم آلیس در شهرها توسط نویسندگان فیلم پرومتئوس انجام نشده است.,خیر، فیلمبرداری فیلم آلیس در شهرها توسط نویسندگان فیلم پرومتئوس انجام نشده است.,True,
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس درام می باشند ؟,بله,بله، هر دو فیلم درام هستند.,بله، هر دو فیلم درام هستند.,True,
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس توسط ویم وندرس کارگردانی شده اند ؟,خیر,"فقط فیلم ""آلیس در شهرها"" توسط ویم وندرس کارگردانی شده است.","فقط فیلم ""آلیس در شهرها"" توسط ویم وندرس کارگردانی شده است.",False,
خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی از چه سالی بر کشور قطر حکمرانی می‌کنند ؟,سال 1850,از سال ۱۸۲۵ میلادی,از سال ۱۸۲۵ میلادی,False,
آیا از خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی تاکنون 9 نفر به‌عنوان امیر قطر منصوب شده‌اند ؟,بله,خیر، 9 نفر از خانواده سلطنتی آل ثانی به‌عنوان امیر قطر منصوب نشده‌اند.,خیر، 9 نفر از خانواده سلطنتی آل ثانی به‌عنوان امیر قطر منصوب نشده‌اند.,False,
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته نخستین بار در بخش رقابتی جشنواره فیلم کن ۲۰۱۱ اکران شد ؟,خانه بردباری,جدایی نادر از سیمین,جدایی نادر از سیمین,False,
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سبک درام است ؟,خانه بردباری,آشغال‌های دوست‌داشتنی,آشغال‌های دوست‌داشتنی,False,
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سال ۲۰۱۱ منتشر شد ؟,خانه بردباری,"فیلم ""آرایش غلیظ""","فیلم ""آرایش غلیظ""",False,
کارگردان کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته برتران بونلو بوده است ؟,خانه بردباری,"فیلم ""آدم""","فیلم ""آدم""",False,
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است تا چه سالی رئیس کمپانی لوکاس فیلم بود ؟,2012 سال,تا سال ۲۰۱۲,تا سال ۲۰۱۲,True,
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است کمپانی لوکاس فیلم را به کدام شرکت فروخت ؟,شرکت والت دیزنی,شرکت دیزنی,شرکت دیزنی,True,
آیا فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است از مهم‌ترین چهره‌های جنبش هالیوود نو بود ؟,بله,بله، جورج لوکاس از مهم‌ترین چهره‌های جنبش هالیوود نو است.,بله، جورج لوکاس از مهم‌ترین چهره‌های جنبش هالیوود نو است.,False,
کدام یک از خطرناکترین انواع بیماری‌هایی که توسط برخی انواع پشه منتقل می‌شوند از فیلاریا منشا می‌ گیرد ؟,فیلاریازیس,بیماری لنفاتیک فیلاریازیس,بیماری لنفاتیک فیلاریازیس,True,
کدام یک از رهبران سیاسی روسیه و متحدانش در ده سالگی به حکومت رسید ؟,پطر کبیر,پیتر بزرگ,پیتر بزرگ,True,
آیا روزنامه ای که جاستین چنگ برای آن می‌نویسد دومین روزنامه بزرگ مناطق شهری در ایالات متحده می‌باشد ؟,بله,بله، روزنامه‌ای که جاستین چنگ برای آن می‌نویسد دومین روزنامه بزرگ مناطق شهری در ایالات متحده است.,بله، روزنامه‌ای که جاستین چنگ برای آن می‌نویسد دومین روزنامه بزرگ مناطق شهری در ایالات متحده است.,True,
کدام یک از روزنامه هایی که جاستین چنگ برای آن می‌نویسد در قسمت غربی ایالات متحده آمریکا توزیع می‌شود ؟,لس آنجلس تایمز,لس آنجلس تایمز,لس آنجلس تایمز,True,
لقب نویسنده رمان خورشید همچنان می‌دمد چه بود ؟,پدر ادبیات مدرن,ارنست همینگوی,ارنست همینگوی,False,
آیا نویسنده رمان خورشید همچنان می‌دمد از پایه‌گذاران وقایع‌نگاری ادبی شناخته می شود ؟,بله,بله، او از پایه‌گذاران وقایع‌نگاری ادبی شناخته می‌شود.,بله، او از پایه‌گذاران وقایع‌نگاری ادبی شناخته می‌شود.,True,
از بین مجموعه تلوزیونی اداره و فصل سوم مجموعه کمدی موقعیت اداره کدام یک زودتر پخش شده است ؟,مجموعه تلوزیونی اداره,مجموعه تلویزیونی اداره,مجموعه تلویزیونی اداره,True,
کدام یک از شرکت‌های هواپیمایی که در فرودگاه بین‌المللی سپهبد شهید قاسم سلیمانی فعال هستند در سال 1351 راه‌اندازی  شده اند ؟,ایران ایرتور,شرکت هواپیمایی ایران ایر,شرکت هواپیمایی ایران ایر,False,
آیا دو فیلم فردایی بهتر و قهرمانان گریه نمی‌کنند را جان وو کارگردانی کرده است ؟,بله,خیر، جان وو این دو فیلم را کارگردانی نکرده است.,خیر، جان وو این دو فیلم را کارگردانی نکرده است.,False,
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا هر دو در یک سال منتشر شده اند ؟,بله,خیر، این دو فیلم در یک سال منتشر نشده‌اند.,خیر، این دو فیلم در یک سال منتشر نشده‌اند.,False,
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا برنده جایزه اسکار بهترین فیلم مستند شده اند ؟,بله,"خیر، فقط ""بی‌خانمانی در آمریکا"" برنده جایزه اسکار بهترین فیلم مستند شده است.","خیر، فقط ""بی‌خانمانی در آمریکا"" برنده جایزه اسکار بهترین فیلم مستند شده است.",False,
از بین نیما عالمیان و نوشاد عالمیان کدام یک فعالیت خود را از سال 2000 شروع کرده‌اند ؟,نیما عالمیان,نیما عالمیان,نیما عالمیان,True,
آیا نیما عالمیان و نوشاد عالمیان هر دو فعالیت خود را از سال 1998 شروع کرده‌اند؟,خیر,خیر، نیما از 1998 شروع کرده و نوشاد از 2000.,خیر، نیما از 1998 شروع کرده و نوشاد از 2000.,False,
آیا نیما عالمیان و نوشاد عالمیان هر دو اکنون عضو باشگاه توقینیه فویلارد هستند؟,خیر,بله، هر دو اکنون عضو باشگاه توقینیه فویلارد هستند.,بله، هر دو اکنون عضو باشگاه توقینیه فویلارد هستند.,False,
آیا نیما عالمیان و نوشاد عالمیان هر دو بازیکن تنیس روی میز و ملی‌پوش اهل ایران هستند؟,بله,بله، هر دو بازیکن تنیس روی میز و ملی‌پوش اهل ایران هستند.,بله، هر دو بازیکن تنیس روی میز و ملی‌پوش اهل ایران هستند.,True,
کارگردان مستند تقاطع تحصیلاتش را در چه رشته ای به پایان برده است ؟,مهندسی کشاورزی,رشته سینما,رشته سینما,False,
آیا کارگردان مستند تقاطع برنده سیمرغ بلورین برای بهترین فیلم مستند شده است ؟,بله,"بله، کارگردان مستند ""تقاطع"" برنده سیمرغ بلورین برای بهترین فیلم مستند شده است.","بله، کارگردان مستند ""تقاطع"" برنده سیمرغ بلورین برای بهترین فیلم مستند شده است.",True,
کارگردان مستند تقاطع سیمرغ بلورین بهترین فیلم مستند را برای کدام فیلم برنده شده است ؟,فیلم نیمه بلند اتاق صعود,"برای فیلم مستند ""تقاطع""","برای فیلم مستند ""تقاطع""",False,
کدام یک از فیلم‌های کیم یونگ-کوانگ بیش از 8 جایزه را از آن خود کرده است ؟,پینوکیو,مردی با عینک دودی,مردی با عینک دودی,False,
کدام یک از فیلم‌های کیم یونگ-کوانگ در چین و تایلند و ژاپن پخش شده است؟,پینوکیو,"فیلم ""مردی با عینک"" (The Man with the Glasses)","فیلم ""مردی با عینک"" (The Man with the Glasses)",False,
برشی که روش اکسایش حرارتی تولید یک لایه نازک اکسید بر روی سطح آن می‌کند توسط کدام فرایند برش می‌خورد ؟,برش ویفر یا ویفر دایسینگ,برش اکسیداسیون,برش اکسیداسیون,False,
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده در جنوب ایران فیلمبرداری شده است ؟,عروس آتش,چند متر مکعب عشق,چند متر مکعب عشق,False,
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده را خسرو سینایی کارگردانی کرده است ؟,عروس آتش,"فیلم ""آدم""","فیلم ""آدم""",False,
آیا جوکیو و گن‌روکو هر دو نام عصر ژاپنی در دوره ادو بودند ؟,بله,بله، جوکیو و گن‌روکو هر دو نام عصرهای ژاپنی در دوره ادو هستند.,بله، جوکیو و گن‌روکو هر دو نام عصرهای ژاپنی در دوره ادو هستند.,True,
تیمی که میشائیل شوماخر  بیشتر دوران ورزشی خود را در آن سپری کرده در چه سالی تاسیس شده است ؟,۱۹۲۹,تیم فراری در سال 1929 تأسیس شده است.,تیم فراری در سال 1929 تأسیس شده است.,True,
آیا عکاس دو فیلم پنج عصر و تخته‌سیاه میثم مخملباف می‌باشد ؟,بله,"بله، میثم مخملباف عکاس دو فیلم ""پنج عصر"" و ""تخته‌سیاه"" می‌باشد.","بله، میثم مخملباف عکاس دو فیلم ""پنج عصر"" و ""تخته‌سیاه"" می‌باشد.",True,
کدام یک از مهم‌ترین موجودات منقرض شده در انقراض هولوسین در جنگل گیر واقع در گجرات هند یافت می‌شود ؟,شیر ایرانی,گراز هندی,گراز هندی,False,
کدام یک از ستارگان فیلم عصرجدید در دوره فیلم صامت به شهرت رسید ؟,چارلی چاپلین,چارلی چاپلین,چارلی چاپلین,True,
کدام یک از بازیگران فیلم مارلو وکیل می باشد ؟,آدواله آکینویه آگباجه,لیام نیسون,لیام نیسون,False,
آیا بازیگری که در فیلم شهر گمشده زی در نقش پسر پرسی به ایفای نقش پرداخته انگلیسی است ؟,بله,بله، او انگلیسی است.,بله، او انگلیسی است.,True,
شرکتی که فیلم منتهای حد کمال از سوی آن منتشر شد توسط چه کسانی تاسیس شد ؟,هاوارد کوهن و اریک دی آربلوف,شرکت فیلمیران، تأسیس شده توسط محمدرضا شفیعی و همکارانش.,شرکت فیلمیران، تأسیس شده توسط محمدرضا شفیعی و همکارانش.,False,
