question,answer,model_answer,id
آیا نویسنده‌ی هری پاتر و تالار اسرار چند داستان جنایی نوشته است ؟,بله,بلی,2282
آیا مجموعه فانتزی هری پاتر و ترانه بیلی جین از پرفروش ترین آثار می باشند ؟,بله,بلی,2284
کدام بازیگر آمریکایی که در فیلم نیمه ماه مارس ایفای نقش کرده نامزد دریافت یک جایزهٔ فیلم بفتا و یک جایزهٔ گلدن گلوب بوده‌است ؟,مریسا تومی,رایان گاسلینگ,1138
استودیویی که فیلم کایوت در برابر اکمی در آینده به وسیله آن توزیع خواهد شد متعلق به کدام رسانه است ؟,رسانه وارنر,برادران وارنر,2286
کدام تیم ژاپنی سابقه ۲ قهرمانی در رقابت سالانهٔ فوتبال باشگاهی قاره‌ای که توسط کنفدراسیون فوتبال آسیا اداره می‌شود را دارد ؟,اوراوا رد دایمندز,کاشیما آنتلرز,47
نام رسمی لیگی که تیم اوراوا رد دایمندز سابقه قهرمانی در فصل‌های ۲۰۰۷ و ۲۰۱۷ را در آن دارد چیست ؟,لیگ قهرمانان ای‌اف‌سی,لیگ قهرمانان آسیا,48
سرمربی فعلی تیم ملی فوتبالی که فرانسیسکو خنتو در دورانی ۱۴ ساله از سال ۱۹۵۵ تا ۱۹۶۹ عضو آن بوده چه کسی است ؟,لوییس انریکه,لوئیس انریکه,51
کدام بازیگر فیلم حیات در سال ۲۰۱۰ در فیلم شاهزاده ایران شن های زمان شخصیت اصلی را بر عهده داشت است ؟,جیک جیلنهال,جیک جیلنهال,1157
یکی از بازیگران فیلم حیات که بازیگری را در ده سالگی شروع کرد، در سال ۲۰۰۴ چه فیلمی بازی کرده است ؟,روز پس از فردا,مرد عنکبوتی ۲,58
نام یکی از بازیگران فیلم حیات که در فیلمی در سال 2005 در نقش یک تکاور بازی می کرد چیست ؟,جیک جیلنهال,هیو جکمن,62
دفتر اصلی شرکت چینی که تلفن هوشمند هواوی آنر ۴سی را تحت برند آنر عرضه کرده در کدام شهر است ؟,شنژن,شنژن,64
آیا فیلیپ تورتون در شهر تاریخی ای که مرکز نورماندی بود متولد شده است ؟,بله,بلی,72
سابقه ی یک سوغات اصفهان که از صنایع دستی محسوب میشود حدود چند سال است ؟,پنج هزار سال,حدود ۴۰۰ سال,74
 محصولی که چهارمین محصول کشاورزی کشت شده در جهان بوده و در آن نیکوتین وجود دارد چه نام دارد ؟,سیب زمینی,تنباکو,75
شرکت عرضه کننده بازی های فال اوت و الدر اسکورولز که بازی رستاخیز را هم عرضه کرده است چه نام دارد ؟,بتزدا,بتزدا,86
شرکت زیر مجموعه ماکروسافت که بازی رستاخیز را برای ویندوز، اکس باکس و پلی استیشن عرضه کرده است چه نام دارد ؟,بتزدا,بتسدا گیم استودیوز,88
آیا ماکروسافت شرکت منتشر کننده بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است ؟,بله,بلی,90
در جنگی که آنه فرانک در آن کشته شد حدود چند نفر کشته شدند ؟,۷۰ تا ۸۵ میلیون,حدود ۱۱ میلیون نفر,113
چند کشور جهان در جنگی که آنه فرانک در آن کشته شد درگیر شدند ؟,30 کشور,حدود ۶۰ کشور,114
عنصر اصلی ماده ای که پودر سنگ از آن بر اثر نیروی سایش یخچال ها بر کف یخچال به وجود می‌آید چیست ؟,سلیس,سیلیس,118
کدام یک از فیلم هایی که موسیقی آن در استودیو بل ضبط شده است در روزهای دوشنبه پخش می شد ؟,سربداران,سریال گل‌های داودی,134
نوسینده کدام یک از فیلم هایی که در استودیو  بل ضبط شده است کیهان رهگذار بوده است ؟,بله,کیهان رهگذار,133
پادشاه افغانی که سد سرده در زمان آن ساخته شد به مدت چند سال بر افغانستان حمک فرمایی کرد ؟,چهل سال,۳۹ سال,144
آیا پادشاه افغانی که سد سرده در زمان آن ساخته شد توانست دوره‌ای از صلح پایدار را در افغانستان برقرار کند ؟,بله,خیر,1128
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد چه کسی رئیس هیئت داوران بود ؟,جرج میلر,عباس کیارستمی,147
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد شهاب حسینی جایزه بهترین بازیگر نقش اول مرد را دریافت کرد ؟,بله,جشنواره فیلم فجر,11148
بازیگر نقش اصلی فیلم تنر هال در کدام فیلم به همراه کیت بلانشت نقش آفرینی کرده است ؟,کوچه کابوس,کارول,151
کدام بازیگر فیلم تریپل اکس موسیقی‌دان اهل ایالات متحده آمریما است ؟,ایو,وین دیزل,161
آیا کارگردان دو فیلم استخراج و ماشین پلیس جان واتس می باشد ؟,خیر,خیر,166
کارگردان فیلم استخراج از چه سالی مشغول به فعالیت است ؟,2005,سال ۲۰۰۰,167
آیا ایو و استیون سی میلر هر دو آمریکایی هستند ؟,بله,بلی,1158
کارگردان دو فیلم پرومتئوس و مجموعه فیلم بیگانه چه کسی می باشد ؟,ریدلی اسکات,Ridley Scott,241
آیا قورباغه ها و مارمولک‌ها هر دو از راسته بی‌دمان هستند ؟,خیر,بلی,238
کدام زبان برنامه نویسی که توسط بلوفیش پشتیبانی می شود از لحاظ نحو شبیه به سی‌شارپ است ؟,والا,فلوتر,233
در کدام کتاب از سردبیر مجله کارنامه از حسین پاینده به عنوان منتقدی که به پیش برد نقد ادبی یاری رسانده یاد شده است ؟,باغ در باغ,کتاب «نقد ادبی در ایران»,239
آیا نویسنده کتاب باغ در باغ از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی بوده است ؟,بله,بلی,2333
مجله ای که پل جرج کلبنیکوف به مدت ده سال برای آن کار می کرد توسط چه کسی تاسیس شد ؟,بیسی فوربز,آلکساندر بلوک,203
از بین نگاناسان‌ها و مردم انتس جمعیت کدام کمتر است ؟,انتس,مردم انتس,199
آیا شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد ؟,بله,بلی,1999
آیا نگاناسان‌ها و مردم انتس هر دو به زبان نگاناسانی تکلم می کنند ؟,خیر,خیر,1199
آیا نگاناسان‌ها و مردم انتس هر دو نزدیک به مدار قطب شمال به‌سر می‌برند ؟,خیر,بلی,11099
کدام یک از بازیگران فیلم آخرین شکارچی جادوگر برنده اسکار و گلدن گلوب شده است ؟,مایکل کین,وین دیزل,186
آیا شرکت تکمو در همان سالی که بازی نینجا گایدن اولین بار در آمریکای شمالی عرضه شد تاسیس گردید ؟,خیر,بلی,190
تصویرگر مجموعه شکار جانور شگفت‌انگیز از اعضای کدام گروه نقاشان بود ؟,پیشارافائلی,گروه نقاشان رمانتیک,220
 کدام یک از نشانه های آبله‌میمون باعث می شود بسیاری از میکروب ها توانایی رشد نداشته باشند ؟,تب,پروتئین‌های ضد میکروبی,206
آیا موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر کرده است  ؟,خیر,بلی,172
شرکت منتشر کننده آهنگ بیلی جین در چه سالی بنیان‌گذاشته شد ؟,سال 1953,سال ۱۹۵۸,170
کسی که شخصیت های مجموعه تجربیات سریالی لین را طراحی کرده عمدتا در کدام حوزه کار می کند ؟,انیمه و مانگا,هنرهای تجسمی,182
کدام یک از مردمانی که از تکنیک تیراندازی با کمان استفاده می کردند قومی از نژاد زرد هستند ؟,مغول‌ها,مغول‌ها,215
کدام یک از فلزات نجیب به معنی زنده می باشد ؟,جیوه,طلا,191
آیا نقره زنده به عنوان فلزات نجیب شناخته می شود ؟,بله,خیر,192
کنسول بازی که ایس کمبت ۷: آسمان‌های ناشناخته در ژانویه 2019 برای آن منتشر شد توسط کدام شرکت معرفی شده است ؟,مایکروسافت,سونی,207
آیا شرکت نینتندو زودتر از شرکت تکمو تاسیس شد ؟,خیر,بلی,208
آیا جایزه ادبی من بوکر و جوایز گلدن گلوب هر دو به بهترین تولیدات سینمایی و تلویزیونی، هم داخلی و هم خارجی اهدا می‌گردد ؟,خیر,خیر,196
آیا نخستین جوایز گلدن گلوب زودتر از جایزه شیر طلایی اهدا گردید ؟,بله,بلی,174
آیا نینجا گایدن و ندای وظیفه هر دو توسط یک شرکت منتشر شده اند ؟,خیر,خیر,227
آیا شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر کرده است ؟,خیر,خیر,193
آیا کسی که بازی سوپرتاکس را توسعه داده بازی ندای وظیفه را منتشر کرده است ؟,خیر,بلی,96
آیا بازی ندای وظیفه و بازی ایس کمبت ۷: آسمان‌های هر دو توسط یک فرد منتشر شده اند ؟,خیر,خیر,1198
آیا کارگردان فیلم آلیس در شهرها نوسینده فیلم پرومتئوس بوده است ؟,خیر,بلی,1199
آیا فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال می باشند ؟,خیر,خیر,1299
آیا فیلمبرداری فیلم آلیس در شهرها توسط  نویسندگان فیلم پرومتئوس انجام شده است ؟,خیر,خیر,1399
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس درام می باشند ؟,بله,بلی,1499
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس توسط ویم وندرس کارگردانی شده اند ؟,خیر,خیر,1699
خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی از چه سالی بر کشور قطر حکمرانی می‌کنند ؟,سال 1850,سال ۱۹۷۲,2006
آیا از خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی تاکنون 9 نفر به‌عنوان امیر قطر منصوب شده‌اند ؟,بله,بلی,2007
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته نخستین بار در بخش رقابتی جشنواره فیلم کن ۲۰۱۱ اکران شد ؟,خانه بردباری,نیمه شب در پاریس,2010
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سبک درام است ؟,خانه بردباری,مردی به نام اوه,2011
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سال ۲۰۱۱ منتشر شد ؟,خانه بردباری,آرایش غلیظ,2012
کارگردان کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته برتران بونلو بوده است ؟,خانه بردباری,فیلم «آب و خاک»,2013
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است تا چه سالی رئیس کمپانی لوکاس فیلم بود ؟,2012 سال,سال ۲۰۱۲,2016
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است کمپانی لوکاس فیلم را به کدام شرکت فروخت ؟,شرکت والت دیزنی,والت دیزنی,2018
آیا فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است از مهم‌ترین چهره‌های جنبش هالیوود نو بود ؟,بله,بلی,2020
کدام یک از خطرناکترین انواع بیماری‌هایی که توسط برخی انواع پشه منتقل می‌شوند از فیلاریا منشا می‌ گیرد ؟,فیلاریازیس,بیماری لیشمانیوز,2022
کدام یک از رهبران سیاسی روسیه و متحدانش در ده سالگی به حکومت رسید ؟,پطر کبیر,پیتر بزرگ,2034
آیا روزنامه ای که جاستین چنگ برای آن می‌نویسد دومین روزنامه بزرگ مناطق شهری در ایالات متحده می‌باشد ؟,بله,بلی,2045
کدام یک از روزنامه هایی که جاستین چنگ برای آن می‌نویسد در قسمت غربی ایالات متحده آمریکا توزیع می‌شود ؟,لس آنجلس تایمز,لس آنجلس تایمز,2047
لقب نویسنده رمان خورشید همچنان می‌دمد چه بود ؟,پدر ادبیات مدرن,نیما یوشیج,2049
آیا نویسنده رمان خورشید همچنان می‌دمد از پایه‌گذاران وقایع‌نگاری ادبی شناخته می شود ؟,بله,بلی,2052
از بین مجموعه تلوزیونی اداره و فصل سوم مجموعه کمدی موقعیت اداره کدام یک زودتر پخش شده است ؟,مجموعه تلوزیونی اداره,مجموعه تلوزیونی اداره,2058
کدام یک از شرکت‌های هواپیمایی که در فرودگاه بین‌المللی سپهبد شهید قاسم سلیمانی فعال هستند در سال 1351 راه‌اندازی  شده اند ؟,ایران ایرتور,ایران ایر,2063
آیا دو فیلم فردایی بهتر و قهرمانان گریه نمی‌کنند را جان وو کارگردانی کرده است ؟,بله,خیر,2067
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا هر دو در یک سال منتشر شده اند ؟,بله,بلی,2069
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا برنده جایزه اسکار بهترین فیلم مستند شده اند ؟,بله,خیر,2070
از بین نیما عالمیان و نوشاد عالمیان کدام یک فعالیت خود را از سال 2000 شروع کرده‌اند ؟,نیما عالمیان,نیما عالمیان,2076
آیا نیما عالمیان و نوشاد عالمیان هر دو فعالیت خود را از سال 1998 شروع کرده‌اند؟,خیر,بلی,2077
آیا نیما عالمیان و نوشاد عالمیان هر دو اکنون عضو باشگاه توقینیه فویلارد هستند؟,خیر,بلی,2079
آیا نیما عالمیان و نوشاد عالمیان هر دو بازیکن تنیس روی میز و ملی‌پوش اهل ایران هستند؟,بله,بلی,2082
کارگردان مستند تقاطع تحصیلاتش را در چه رشته ای به پایان برده است ؟,مهندسی کشاورزی,رشته سینما,2090
آیا کارگردان مستند تقاطع برنده سیمرغ بلورین برای بهترین فیلم مستند شده است ؟,بله,بلی,2092
کارگردان مستند تقاطع سیمرغ بلورین بهترین فیلم مستند را برای کدام فیلم برنده شده است ؟,فیلم نیمه بلند اتاق صعود,مستند «آبی»,2094
کدام یک از فیلم‌های کیم یونگ-کوانگ بیش از 8 جایزه را از آن خود کرده است ؟,پینوکیو,مردی با نام او,2100
کدام یک از فیلم‌های کیم یونگ-کوانگ در چین و تایلند و ژاپن پخش شده است؟,پینوکیو,مردی با نام اژدها,2102
برشی که روش اکسایش حرارتی تولید یک لایه نازک اکسید بر روی سطح آن می‌کند توسط کدام فرایند برش می‌خورد ؟,برش ویفر یا ویفر دایسینگ,فرایند اکسیداسیون,2104
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده در جنوب ایران فیلمبرداری شده است ؟,عروس آتش,زیر درختان زیتون,2107
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده را خسرو سینایی کارگردانی کرده است ؟,عروس آتش,مردی از جنس bl,2110
آیا جوکیو و گن‌روکو هر دو نام عصر ژاپنی در دوره ادو بودند ؟,بله,بلی,2117
تیمی که میشائیل شوماخر  بیشتر دوران ورزشی خود را در آن سپری کرده در چه سالی تاسیس شده است ؟,۱۹۲۹,۱۹۲۶,2120
آیا عکاس دو فیلم پنج عصر و تخته‌سیاه میثم مخملباف می‌باشد ؟,بله,بلی,2127
کدام یک از مهم‌ترین موجودات منقرض شده در انقراض هولوسین در جنگل گیر واقع در گجرات هند یافت می‌شود ؟,شیر ایرانی,ماموت,2129
کدام یک از ستارگان فیلم عصرجدید در دوره فیلم صامت به شهرت رسید ؟,چارلی چاپلین,چارلی چاپلین,2132
کدام یک از بازیگران فیلم مارلو وکیل می باشد ؟,آدواله آکینویه آگباجه,لیام نیسون,2134
آیا بازیگری که در فیلم شهر گمشده زی در نقش پسر پرسی به ایفای نقش پرداخته انگلیسی است ؟,بله,بلی,2136
شرکتی که فیلم منتهای حد کمال از سوی آن منتشر شد توسط چه کسانی تاسیس شد ؟,هاوارد کوهن و اریک دی آربلوف,مهدی صباغ‌زاده و محمدرضا شفیعی,2145
رمانی که فیلم برای اینکه از آن الهام گرفته شده به چه چیز می‌پردازد ؟,نقد مکتب روان‌شناسی رفتارگرایی,مسائل اجتماعی و انسانی,2148
رمانی که فیلم برای اینکه از آن الهام گرفته شده ابتدا در چه سالی به صورت نمایشنامه درآمد؟,۱۹۶۳ سال,سال ۱۹۲۸,2150
کدام یک از سبک‌هایی که فرانک وینسنت زاپا در آن آهنگسازی کرده در دهه ۵۰ میلادی تحت عنوان راک اند رول شکل گرفت؟,راک,راک اند رول,2153
از فردی که آغاز فانک راک را به لیتل ریچارد و گروه جاده‌ای‌اش نسبت می‌دهد از پیشگامان چه موسیقی بود ؟,موسیقی فانک,راک اند رول,2165
آیا تیمی که هیوستون راکتس در بازی‌های حذفی به مصاف آن رفت دو بار در سالهای ١٩٧٠ و ١٩٧٣ قهرمان لیگ سراسری NBA شده است؟,بله,بلی,2163
آیا شرکت ماهان تعداد فروند هواپیمای مسافربری بیشتری از شرکت هواپیمایی ایران ایرتور دارد ؟,بله,بلی,2170
آیا پیروز یکم و محمد ظاهرشاه از پادشاهان ایرانی بودند ؟,خیر,بلی,2175
آیا بازی سایلنت هیل ۲ و بازی ریمن ریوینگ رابیدها در یک سال منتشر شدند ؟,خیر,خیر,2178
آیا فیلم دیوانه از قفس پرید و بی‌خانمانی در آمریکا برنده جایزه اسکار شده اند ؟,بله,بلی,2181
نخستین تزار روسیه از چند سالگی به حکومت رسید ؟,ده‌سالگی,سوم,2186
آیا عنصر شیمیایی با عدد اتمی ۲۶ در فهرست فلزات نجیب قرار دارد شد ؟,خیر,خیر,2188
کدام یک از بازیگران فیلم سینمایی گرند ماستی در فیلم آقا تقلب نقش آفرینی کرده است ؟,مانجاری فاندیس,پژمان جمشیدی,2192
آیا عدد اتمی آهن از عدد اتمی مس بیشتر است ؟,خیر,خیر,2194
کدام یک از فلزات نجیب عدد اتمی 29 را دارد ؟,مس,مس,2197
آیا کسی که شخصیت لرد ولدمورت را خلق کرد عمده شهرتش را به دلیل نوشتن مجموعه فانتزی هری پاتر کسب کرده است ؟,بله,بلی,2202
کسی که قوای قزاق به درخواست او تشکیل شد چندمین پادشاه ایرانی بود که خاطرات خود را نوشت ؟,نخستین,پنجمین پادشاه ایرانی,2205
آیا کسی که قوای قزاق به درخواست او تشکیل شد نخستین پادشاه ایرانی بود که خاطرات خود را نوشت ؟,بله,بلی,2206
آیا کسی که قوای قزاق به درخواست او تشکیل شد معروف به قبله عالم بود ؟,بله,بلی,2207
کسی که قوای قزاق به درخواست او تشکیل شد چه کسی را کشت ؟,امیرکبیر,محمود افشار,2208
کسی که قوای قزاق به درخواست او تشکیل شد در چند سالگی ترور شد ؟,65,۴۲ سالگی,2209
کسی که قوای قزاق به درخواست او تشکیل شد نزدیک به چند سال پادشاهی کرد ؟,50 سال,حدود ۲۵ سال,2211
کسی که قوای قزاق به درخواست او تشکیل شد خود را چه نامید ؟,صاحبقران,سردار سپه,2212
آیا پوغوس پتروسی آفیان و جوزپه فورتونینو فرانچسکو وردی هر دو ایتالیایی بودند ؟,خیر,بلی,2217
آیا بازی اتومبیل‌دزدی بزرگ نیز مانند بازی سرکش از طراحی جهان باز برخوردار است ؟,بله,بلی,2218
کدام یک از علائم و نشانه‌های بیماری سپتیسمی حالتی است که در آن دمای بدن جانوران خون‌گرم از مقدار طبیعی آن بیشتر می شود ؟,تب,هیپرتریمی,2220
تشنج از نتایج کدام یک از علائم و نشانه‌های بیماری سپتیسمی است ؟,تب,بیماری عفونی,2221
آیا دیوید والاس و لوک اسکای‌واکر هر دو یک شخصیت تخیلی هستند ؟,بله,بلی,2223
دیوید والاس و لوک اسکای‌واکر چه نوع شخصیتی هستند ؟,تخیلی,شخصیت‌های خیالی,2227
آیا دو شخصیت دیوید والاس و لوک اسکای‌واکر توسط مارک همیل به تصویر کشیده‌است ؟,خیر,خیر,2225
کدام یک از نرم افزارهایی که جنکینز از آن ها پشتیبانی می کند به صورت یک نرم‌افزار آزاد عرضه می‌شود ؟,آپاچی سابورژن,گیت,2237
دو بازی فار کرای پرایمال و فار کرای در چه سبکی قرار دارند ؟,اکشن و ماجراجویی,اکشن-ماجراجویی,2249
