question,answer,model_answer,id,context_id,clean_model_answer,is_correct
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,نوری,1601228,100,نوری,False
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,پروانه,1611765,107,پروانه,False
کشور شیلی در کدام قاره قرار دارد؟,,آمریکا جنوبی,1606748,104,آمریکا جنوبی,True
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,نوعی شنا که در آن شناگر به صورت غیر طبیعی و با حرکات دست و پا شبیه به سگ شنا می‌کند.,1645692,128,نوعی شنا که در آن شناگر به صورت غیر طبیعی و با حرکات دست و پا شبیه به سگ شنا می‌کند.,False
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,میرزا حسین خان سپهسالار,1608469,105,میرزا حسین خان سپهسالار,False
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,افغانستان,1637612,123,افغانستان,True
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,برای جلوگیری از مسمومیت با اکسیژن و کاهش اثرات نیتروژن در عمق‌های زیاد.,1625265,114,برای جلوگیری از مسمومیت با اکسیژن و کاهش اثرات نیتروژن در عمق‌های زیاد.,False
بعد از کودتا اسفند 1299 مسعود خان به چه سمتی رسید؟,وزیر جنگ,وزارت جنگ,1637546,123,وزارت جنگ,True
در جنگ جهانی اول و جنگ جهانی دوم، ژاپن در کدام جبهه قرار داشت؟,در جنگ جهانی اول، ژاپن از متفقین بود و در جنگ جهانی دوم با متفقین می‌جنگید.,جبهه متفقین,1622330,113,جبهه متفقین,False
بودجه تئاتر ملی از کجا تأمین می گشت؟,امکانات و بودجهٔ خود را از محل خیریه آموزش و پرورش تأمین می‌کرد,دولت,1647251,129,دولت,False
اکسیژن عضوی از خانواده عناصر کدوم گروه است؟,گروه کالکوژن,گروه ۱۶,1624231,114,گروه ۱۶,True
در دهه‌های ۱۹۶۰ تا ۱۹۸۰ گرایش غالب حزب جمهوری‌خواهان را چه گروهی شکل می‌دادند؟,میانه‌روها,محافظه‌کاران,1635520,122,محافظه‌کاران,False
چه کسی کادوسیان را شکست داد؟,نی‌نوس شاه آشوری,پیروز یکم,1609850,106,پیروز یکم,False
کدام‌یک از فرهنگ‌ها در فرهنگ ژاپن تاثیر داشتند؟,فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است.,فرهنگ چینی,1623174,113,فرهنگ چینی,False
اینترنت از کدام دههٔ به صورت یک شبکهٔ همگانی و جهان‌شمول درآمد؟,از اواسط دههٔ ۱۹۹۰,دههٔ ۱۹۹۰,1618876,111,دههٔ ۱۹۹۰,False
اینترنت چیست؟,شبکه‌ای از شبکه‌ها,یک شبکه جهانی از کامپیوترها,1618869,111,یک شبکه جهانی از کامپیوترها,False
چرا شوروی نظر مساعدی نسبت به رضاخان داشت؟,رهبر مبارزهٔ ملی علیه نفوذ بریتانیا,به دلیل مقابله با نفوذ بریتانیا و حمایت از یک حکومت قوی در ایران,1637664,123,به دلیل مقابله با نفوذ بریتانیا و حمایت از یک حکومت قوی در ایران,True
کلمه‌ی گوگل برگرفته از چه واژه‌ای است؟,,گوگول,1611604,107,گوگول,False
احزاب عمده ی هلند را نام ببرید؟,دموکرات مسیحی، سوسیال دموکرات (کار)، سوسیالیست، حزب سبزها و لیبرال,حزب مردم برای آزادی و دموکراسی، حزب کار، حزب سبز چپ، حزب دموکرات‌های 66، حزب آزادی,1631505,119,حزب مردم برای آزادی و دموکراسی، حزب کار، حزب سبز چپ، حزب دموکرات‌های 66، حزب آزادی,False
برای چه کسانی دشوار است که بتوانند وارد جریان اصلی ایالات متحده آمریکا بشوند؟,هنرمندان هیپ هاپ آسیایی,اقلیت‌ها و مهاجران,1617531,110,اقلیت‌ها و مهاجران,False
تا چند سال بعد از هوور، جمهوری‌خواهان از قدرت کنار گذاشته شدند؟,۲۰,۱۲ سال,1635877,122,۱۲ سال,False
تمدن اژه ای پیشاهنگ کدام تمدن بود؟,تمدن یونانی,تمدن یونان باستان,1647022,129,تمدن یونان باستان,True
ایوان ساترلند، درچه سالی، لارنس رابرتس را بر آن گماشت که پروژه‌ای را برای ایجاد یک شبکه آغاز نماید؟,سال ۱۹۶۵,سال ۱۹۹۲,1619107,111,سال ۱۹۹۲,False
در سال ۱۸۴۶ اولین مسابقه ی شنا در کجا و در چه مسافتی برپا شد؟,در مسافت ۴۴۰ یارد در استرالیا,در انگلستان و در مسافت ۴۰۰ متر,1645462,128,در انگلستان و در مسافت ۴۰۰ متر,False
ریشهٔ شبکهٔ عظیم جهانی اینترنت به کدام دههٔ بازمی‌گردد؟,دههٔ ۱۹۶۰,دههٔ ۱۹۶۰,1618874,111,دههٔ ۱۹۶۰,True
گالریوس در نبرد های پیاپی برچه کسی پیروز شد؟,نرسه,ماکسیمین,1642193,126,ماکسیمین,False
روش‌های ذخیره سازی اکسیژن را نام ببرید؟,شامل کپسول اکسیژن با فشار بالا، فوق سردسازی و ترکیبات شیمیایی است,فشرده‌سازی، مایع‌سازی، جذب سطحی، ذخیره‌سازی در ترکیبات شیمیایی,1625145,114,فشرده‌سازی، مایع‌سازی، جذب سطحی، ذخیره‌سازی در ترکیبات شیمیایی,False
نخستین آثار ادبیات ژاپنی به کدام زبان سروده شدند؟,زبان چینی کلاسیک,زبان ژاپنی,1623176,113,زبان ژاپنی,False
در ژوئن ۲۰۲۰، دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت چه مبلغی کرد؟,۵ میلیارد دلار,۵ میلیارد دلار,1612339,107,۵ میلیارد دلار,True
دکترین کلیسای کاتولیک بر چه چیزی استوار است؟,اعتقاد نامه نیقیه,مسیحیت و آموزه‌های کتاب مقدس,1630215,118,مسیحیت و آموزه‌های کتاب مقدس,False
لاوازیه چه کسی بود؟,اولین کسی بود که اکسیژن را به‌عنوان یک عنصر شیمیایی مستقل به‌شمار آورد و به‌درستی به نقش آن در سوختن اشاره کرد,شیمیدان فرانسوی,1624295,114,شیمیدان فرانسوی,False
تعداد ضربه‌های پا در طی یک دور در شنای پروانه به طور عمومی نسبت به کرال سینه چگونه است؟,کمتر,کمتر است,1627716,116,کمتر است,True
پاریس در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,1605288,103,اروپا,True
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» چه تصاویری گردآوری شده‌است؟,تصویرهای گوناگونی از نقوش شیر و خورشید,تصاویر شیر و خورشید,1608741,105,تصاویر شیر و خورشید,False
آبراهام لینکلن در انتخابات ریاست جمهوری در سال ۱۸۶۰ چه کسی را شکست داد و وارد کاخ سفید شد؟,,استیفن داگلاس,1635700,122,استیفن داگلاس,False
اولین پادشاه دوران قاجار چه کسی بود؟,,فتحعلی شاه قاجار,1608256,105,فتحعلی شاه قاجار,False
شنا در برنامه های نظامی تمدن های باستانی چه جایگاهی داشت؟,,جایگاه مهمی داشت,1645296,128,جایگاه مهمی داشت,False
موسیقی هیپ هاپ، چگونه است؟,به صورت اشعار بسیار ریتمیک پر از تکنیک‌هایی همچون همگونی مصوت‌ها، تجانس آوایی، و قافیه است,موسیقی رپ و ریتمیک با مضامین اجتماعی و فرهنگی,1616959,110,موسیقی رپ و ریتمیک با مضامین اجتماعی و فرهنگی,False
در شنای پروانه حرکت پاها مانند حرکت چه چیزی در آب است؟,دلفین,حرکت پروانه,1627662,116,حرکت پروانه,False
شاهنشاهی ساسانی را چه کسی پایه گذاری کرد؟,اردشیر بابکان,اردشیر بابکان,1641784,126,اردشیر بابکان,True
پاتریشیا کرون، مایکل کوک بر اساس متن و تحقیقات باستان‌شناسی معتقدند مسجد الحرام در کجا واقع شده‌است؟,شمال غربی شبه جزیره عربستان,مکه,1601119,100,مکه,False
روش پزشکی پرفشار توسط چه کسی ابداع شد؟,,هارولد گیلز,1625209,114,هارولد گیلز,False
شعار غیررسمی شرکت گوگل توسط چه کسی ابداع شد؟,مهندس گوگل امیت پاتل,سرگئی برین,1611603,107,سرگئی برین,False
شنا در کدام گروه از ورزش ها قرار می گیرد؟,ورزش‌های آبی,ورزش های آبی,1645347,128,ورزش های آبی,True
چه چیز هایی اثرات اجتماعی بسیاری در طرز رفتار جوان مدرن داشته‌است؟,موفقیت چشمگیر هیپ هاپ --- مخصوصاً سبک رپ گانگستری ---,رسانه‌های اجتماعی و فناوری‌های نوین,1617248,110,رسانه‌های اجتماعی و فناوری‌های نوین,False
در چه سالی با تصویب مجلس شورای ملی به رضاشاه لقب رضاشاه کبیر داده شد؟,۱۳۲۸,سال ۱۳۰۴,1637229,123,سال ۱۳۰۴,False
نام عموی شورشی محمد شاه قاجار که بود؟,حسین‌علی میرزا فرمانفرما,عموی شورشی محمد شاه قاجار، میرزا آقاخان نوری,1608417,105,عموی شورشی محمد شاه قاجار، میرزا آقاخان نوری,False
درچه تاریخی بهرام دوم درگذشت؟,۲۹۳,سال ۳۹۳ میلادی,1642134,126,سال ۳۹۳ میلادی,False
شاپور دوم امپراتوری خود را در کجا برقرارکرد؟,نواحی جنوبی,ایران,1642354,126,ایران,False
زیباترین تپه گیلان چه نام دارد؟,,تپه‌ های باستانی گیلان,1610147,106,تپه‌ های باستانی گیلان,False
دارالفنون در چه سالی تأسیس شد؟,۱۲۳۰ خورشیدی (۱۸۵۱ میلادی),سال ۱۲۶۸ هجری شمسی,1603892,102,سال ۱۲۶۸ هجری شمسی,False
بسیاری از برنامه‌نویس‌های حرفه‌ای به چه عنوان برای شرکت‌های مشاوره‌ای در محل‌های خدمت گیرنده کار می‌کنند؟,پیمانکار,مشاور فناوری اطلاعات,1634181,121,مشاور فناوری اطلاعات,False
واژه اینترنت اولین‌بار توسط چه کسی استفاده شد؟,,وینتون سرف,1619228,111,وینتون سرف,False
به چه علت برابرسازی پرداختی ها توسط دولت فدرال کانادا صورت گرفت؟,تا به مردم اطمینان ببخشد که استانداردهای برابری در مورد ارائهٔ خدمات و اخذ مالیات، در میان استان‌های فقیر و غنی، ارائه می‌شود.,کاهش نابرابری و افزایش عدالت اجتماعی,1639183,124,کاهش نابرابری و افزایش عدالت اجتماعی,False
موزهٔ ارمیتاژ در کدام کشور است؟,روسیه,روسیه,1608579,105,روسیه,True
به طور کلی با هر حرک دست در شنای پروانه چند بار پای پروانه زده‌ می‌شود؟,دو بار,دو بار,1627768,116,دو بار,True
چرا جاماسپ مالیات ها را کاهش داد؟,به منظور کمک به کشاورزان و فقرا,به منظور افزایش رفاه عمومی و تحریک اقتصاد,1642858,126,به منظور افزایش رفاه عمومی و تحریک اقتصاد,False
در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به چند نفر رسید؟,حدود ۲۱۰ هزار نفر,۱۶۰٬۰۰۰ نفر,1639296,124,۱۶۰٬۰۰۰ نفر,False
چه ورزش هایی تبدیل به سرگرمی  شده اند؟,چوگان,ورزش های آبی، دوچرخه سواری، یوگا، پیاده روی,1642638,126,ورزش های آبی، دوچرخه سواری، یوگا، پیاده روی,False
چه کسانی بر اساس متن و تحقیقات باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است؟,پاتریشیا کرون، مایکل کوک,برخی محققان و باستان‌شناسان,1601118,100,برخی محققان و باستان‌شناسان,False
چه کسی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است؟,آیرونساید,سید ضیاءالدین طباطبایی,1637483,123,سید ضیاءالدین طباطبایی,False
هاب را تعریف کنید؟,,هاب دستگاهی است که برای اتصال چندین دستگاه به یک شبکه استفاده می‌شود.,1618938,111,هاب دستگاهی است که برای اتصال چندین دستگاه به یک شبکه استفاده می‌شود.,False
الکسا چه چیز را بعنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده‌است؟,اینترنت وبگاه گوگل در آمریکا,گوگل,1611712,107,گوگل,False
اولین گروه رپ که یک آلبوم هیپ هاپ رومانیایی عرضه کرد در آن به چه موضوعاتی پرداخت؟,«اجتماعی»,مسائل اجتماعی و سیاسی,1617760,110,مسائل اجتماعی و سیاسی,True
شرکت اَپل مجوز استفاده از آی‌اواس برای چه چیزی را نمی‌دهد؟,برای نصب بر روی سخت‌افزارهای شخص ثالث,دستگاه‌های غیر اپل,1621048,112,دستگاه‌های غیر اپل,True
طوایف عرب خوزستان همگی از چه دسته‌ ای بودند؟,دسته کوچ نشین، غیر ثابت و با اصل و نسب مشخص در شبه جزیره عربستان,عرب‌های بادیه‌نشین,1614298,108,عرب‌های بادیه‌نشین,False
چرا ارمنستان همیشه مهم بوده است؟,اهمیت استراتژیک و اقتصادی داشته و به عنوان سرزمین حایل بین ایران و روم بوده.,موقعیت جغرافیایی و تاریخی,1642076,126,موقعیت جغرافیایی و تاریخی,False
شنا برای کودکان زیر سه سال به چه صورت می باشد؟,شنا برای کودکان زیر سه سال فقط به صورت به اصطلاح شنای سگی است,غیرمجاز,1645691,128,غیرمجاز,False
استان ها مسئول اکثر چه برنامه هایی هستند؟,برنامه‌های اجتماعی,برنامه های توسعه و مدیریت محلی,1639184,124,برنامه های توسعه و مدیریت محلی,False
شگون ها تا چه سده‌ای بر ژاپن حکومت می‌کردند؟,تا نیمه اول سده نوزدهم حکومت مستبدانه خود را بر ژاپن ادامه دادند.,سدهٔ نوزدهم,1622839,113,سدهٔ نوزدهم,False
انواع طبل را نام ببرید؟,,طبل بزرگ، طبل کوچک، طبل تنبک، طبل دایره‌ای، طبل کاسه‌ای,1616965,110,طبل بزرگ، طبل کوچک، طبل تنبک، طبل دایره‌ای، طبل کاسه‌ای,False
آی‌اواس در ابتدا برای کدام دستگاه‌ها توسعه داده می‌شد؟,آیفون و آی‌پاد,آی‌فون,1621047,112,آی‌فون,False
به چه علت پیشینه‌ی تاریخی پاسارگاد در طول تاریخ ناشناخته مانده‌است؟,تغییرنام این شهر,نبود منابع کافی و کاوش‌های باستان‌شناسی محدود,1615631,109,نبود منابع کافی و کاوش‌های باستان‌شناسی محدود,False
ابن بلخی در بیان راه‌های بین شیراز و اصفهان چند راه اصلی نام می‌برد؟,سه راه اصلی,دو راه اصلی,1615739,109,دو راه اصلی,False
زبان‌های برنامه‌نویسی محبوبی که برای وب و نرم‌افزارهای کاربردی تجاری استفاده می‌شوند را نام ببرید؟,جاوا، سی شارپ، ویژوال بیسیک و پی‌اچ‌پی,جاوا، پایتون، جاوااسکریپت، سی‌شارپ، PHP,1634237,121,جاوا، پایتون، جاوااسکریپت، سی‌شارپ، PHP,False
در سال ۱۲۸۸ رضاخان برای چه چیزی به زنجان و اردبیل اعزام شد؟,خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,سرکوب شورش ها,1637356,123,سرکوب شورش ها,False
مایکل سندی‌ووجیس در چه سالی متولد شد؟,,۱۹۷۱,1624297,114,۱۹۷۱,False
چه زمانی جام توماس لیپتون به عنوان نخستین دوره رقابت‌های جام جهانی شناخته می‌شد؟,,سال ۱۹۳۰,1606523,104,سال ۱۹۳۰,False
شالبافی در کجا و توسط چه کسانی دراستان گیلان رایج است؟,شالبافی در تالش و توسط گالش‌ها,در استان گیلان توسط زنان محلی,1610202,106,در استان گیلان توسط زنان محلی,False
پس از چه رویدادی فعالیت‌های سازمان دارِ تئاتر در اروپای غربی متوقف شد؟,پس از سقوط امپراتوری روم,جنگ جهانی دوم,1647194,129,جنگ جهانی دوم,False
نام فرد ایرانی که پست‌هایی همچون مشاور ارشد مدیر عامل گوگل و نایب‌رئیس ارشد بخش فروش را در این شرکت داشت چه بود؟,امید کردستانی,فریدون عباسی,1612111,107,فریدون عباسی,False
دوره‌ی مداری چیست؟,,مدت زمانی که یک جرم آسمانی برای یک دور کامل به دور یک جرم دیگر می‌چرخد.,1632690,120,مدت زمانی که یک جرم آسمانی برای یک دور کامل به دور یک جرم دیگر می‌چرخد.,False
بزرگترین مشکل استان خوزستان در حال حاضر چیست؟,,کمبود آب,1614521,108,کمبود آب,False
کریم‌خان زند خود را چه نامید؟,او خود راوکیل الرعایا نامید,سلطان,1602561,101,سلطان,False
