question,answer,model_answer,id
آیا مجموعه فانتزی هری پاتر و ترانه بیلی جین از پرفروش ترین آثار می باشند ؟,بله,<ANSWER>بلی</ANSWER>,2284
کدام بازیگر آمریکایی که در فیلم نیمه ماه مارس ایفای نقش کرده نامزد دریافت یک جایزهٔ فیلم بفتا و یک جایزهٔ گلدن گلوب بوده‌است ؟,مریسا تومی,<ANSWER>فیلیپ سیمور هافمن</ANSWER>,1138
استودیویی که فیلم کایوت در برابر اکمی در آینده به وسیله آن توزیع خواهد شد متعلق به کدام رسانه است ؟,رسانه وارنر,<ANSWER>برادران وارنر دیسکاوری</ANSWER>,2286
کدام تیم ژاپنی سابقه ۲ قهرمانی در رقابت سالانهٔ فوتبال باشگاهی قاره‌ای که توسط کنفدراسیون فوتبال آسیا اداره می‌شود را دارد ؟,اوراوا رد دایمندز,<ANSWER>اوراوا رد دایموندز</ANSWER>,47
نام رسمی لیگی که تیم اوراوا رد دایمندز سابقه قهرمانی در فصل‌های ۲۰۰۷ و ۲۰۱۷ را در آن دارد چیست ؟,لیگ قهرمانان ای‌اف‌سی,<ANSWER>لیگ قهرمانان آسیا</ANSWER>,48
سرمربی فعلی تیم ملی فوتبالی که فرانسیسکو خنتو در دورانی ۱۴ ساله از سال ۱۹۵۵ تا ۱۹۶۹ عضو آن بوده چه کسی است ؟,لوییس انریکه,<ANSWER>لوئیس د لا فوئنته</ANSWER>,51
کدام بازیگر فیلم حیات در سال ۲۰۱۰ در فیلم شاهزاده ایران شن های زمان شخصیت اصلی را بر عهده داشت است ؟,جیک جیلنهال,<ANSWER>جیک جیلنهال</ANSWER>,1157
یکی از بازیگران فیلم حیات که بازیگری را در ده سالگی شروع کرد، در سال ۲۰۰۴ چه فیلمی بازی کرده است ؟,روز پس از فردا,<ANSWER>فیلم کاپوتی</ANSWER>,58
نام یکی از بازیگران فیلم حیات که در فیلمی در سال 2005 در نقش یک تکاور بازی می کرد چیست ؟,جیک جیلنهال,<ANSWER>جیک جیلنهال</ANSWER>,62
دفتر اصلی شرکت چینی که تلفن هوشمند هواوی آنر ۴سی را تحت برند آنر عرضه کرده در کدام شهر است ؟,شنژن,<ANSWER>شنژن</ANSWER>,64
آیا فیلیپ تورتون در شهر تاریخی ای که مرکز نورماندی بود متولد شده است ؟,بله,<ANSWER>بلی</ANSWER>,72
سابقه ی یک سوغات اصفهان که از صنایع دستی محسوب میشود حدود چند سال است ؟,پنج هزار سال,<ANSWER>۷۰۰ سال</ANSWER>,74
 محصولی که چهارمین محصول کشاورزی کشت شده در جهان بوده و در آن نیکوتین وجود دارد چه نام دارد ؟,سیب زمینی,<ANSWER>تنباکو</ANSWER>,75
شرکت عرضه کننده بازی های فال اوت و الدر اسکورولز که بازی رستاخیز را هم عرضه کرده است چه نام دارد ؟,بتزدا,<ANSWER>بتسدا سافت‌ورکس</ANSWER>,86
شرکت زیر مجموعه ماکروسافت که بازی رستاخیز را برای ویندوز، اکس باکس و پلی استیشن عرضه کرده است چه نام دارد ؟,بتزدا,<ANSWER>زنی‌مکس مدیا</ANSWER>,88
آیا ماکروسافت شرکت منتشر کننده بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است ؟,بله,<ANSWER>خیر</ANSWER>,90
در جنگی که آنه فرانک در آن کشته شد حدود چند نفر کشته شدند ؟,۷۰ تا ۸۵ میلیون,<ANSWER>۷۰ تا ۸۵ میلیون نفر</ANSWER>,113
چند کشور جهان در جنگی که آنه فرانک در آن کشته شد درگیر شدند ؟,30 کشور,<ANSWER>۶۱</ANSWER>,114
عنصر اصلی ماده ای که پودر سنگ از آن بر اثر نیروی سایش یخچال ها بر کف یخچال به وجود می‌آید چیست ؟,سلیس,<ANSWER>سیلیکون</ANSWER>,118
کدام یک از فیلم هایی که موسیقی آن در استودیو بل ضبط شده است در روزهای دوشنبه پخش می شد ؟,سربداران,<ANSWER>فیلم شهر مرزی</ANSWER>,134
نوسینده کدام یک از فیلم هایی که در استودیو  بل ضبط شده است کیهان رهگذار بوده است ؟,بله,<ANSWER>نفس</ANSWER>,133
پادشاه افغانی که سد سرده در زمان آن ساخته شد به مدت چند سال بر افغانستان حمک فرمایی کرد ؟,چهل سال,<ANSWER>3</ANSWER>,144
آیا پادشاه افغانی که سد سرده در زمان آن ساخته شد توانست دوره‌ای از صلح پایدار را در افغانستان برقرار کند ؟,بله,<ANSWER>بلی</ANSWER>,1128
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد چه کسی رئیس هیئت داوران بود ؟,جرج میلر,<ANSWER>هیچ کس</ANSWER>,147
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد شهاب حسینی جایزه بهترین بازیگر نقش اول مرد را دریافت کرد ؟,بله,<ANSWER>بلی</ANSWER>,11148
بازیگر نقش اصلی فیلم تنر هال در کدام فیلم به همراه کیت بلانشت نقش آفرینی کرده است ؟,کوچه کابوس,<ANSWER>کارول</ANSWER>,151
کدام بازیگر فیلم تریپل اکس موسیقی‌دان اهل ایالات متحده آمریما است ؟,ایو,<ANSWER>آیس کیوب</ANSWER>,161
آیا کارگردان دو فیلم استخراج و ماشین پلیس جان واتس می باشد ؟,خیر,<ANSWER>خیر</ANSWER>,166
کارگردان فیلم استخراج از چه سالی مشغول به فعالیت است ؟,2005,<ANSWER>سال ۲۰۰۳</ANSWER>,167
آیا ایو و استیون سی میلر هر دو آمریکایی هستند ؟,بله,<ANSWER>بلی</ANSWER>,1158
کارگردان دو فیلم پرومتئوس و مجموعه فیلم بیگانه چه کسی می باشد ؟,ریدلی اسکات,<ANSWER>ریدلی اسکات</ANSWER>,241
آیا قورباغه ها و مارمولک‌ها هر دو از راسته بی‌دمان هستند ؟,خیر,<ANSWER>خیر</ANSWER>,238
کدام زبان برنامه نویسی که توسط بلوفیش پشتیبانی می شود از لحاظ نحو شبیه به سی‌شارپ است ؟,والا,<ANSWER>جاوا</ANSWER>,233
در کدام کتاب از سردبیر مجله کارنامه از حسین پاینده به عنوان منتقدی که به پیش برد نقد ادبی یاری رسانده یاد شده است ؟,باغ در باغ,<ANSWER>کتاب گلستان گلشیری</ANSWER>,239
آیا نویسنده کتاب باغ در باغ از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی بوده است ؟,بله,<ANSWER>بلی</ANSWER>,2333
مجله ای که پل جرج کلبنیکوف به مدت ده سال برای آن کار می کرد توسط چه کسی تاسیس شد ؟,بیسی فوربز,<ANSWER>بی سی فوربز</ANSWER>,203
از بین نگاناسان‌ها و مردم انتس جمعیت کدام کمتر است ؟,انتس,<ANSWER>مردم انتس</ANSWER>,199
آیا شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد ؟,بله,<ANSWER>بلی</ANSWER>,1999
آیا نگاناسان‌ها و مردم انتس هر دو به زبان نگاناسانی تکلم می کنند ؟,خیر,<ANSWER>خیر</ANSWER>,1199
آیا نگاناسان‌ها و مردم انتس هر دو نزدیک به مدار قطب شمال به‌سر می‌برند ؟,خیر,<ANSWER>خیر</ANSWER>,11099
کدام یک از بازیگران فیلم آخرین شکارچی جادوگر برنده اسکار و گلدن گلوب شده است ؟,مایکل کین,<ANSWER>مایکل کین</ANSWER>,186
آیا شرکت تکمو در همان سالی که بازی نینجا گایدن اولین بار در آمریکای شمالی عرضه شد تاسیس گردید ؟,خیر,<ANSWER>خیر</ANSWER>,190
تصویرگر مجموعه شکار جانور شگفت‌انگیز از اعضای کدام گروه نقاشان بود ؟,پیشارافائلی,<ANSWER>جنبش رومانتیسیسم</ANSWER>,220
 کدام یک از نشانه های آبله‌میمون باعث می شود بسیاری از میکروب ها توانایی رشد نداشته باشند ؟,تب,<ANSWER>مایع آبله</ANSWER>,206
آیا موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر کرده است  ؟,خیر,<ANSWER>بلی</ANSWER>,172
شرکت منتشر کننده آهنگ بیلی جین در چه سالی بنیان‌گذاشته شد ؟,سال 1953,<ANSWER>سال ۱۹۵۳</ANSWER>,170
کسی که شخصیت های مجموعه تجربیات سریالی لین را طراحی کرده عمدتا در کدام حوزه کار می کند ؟,انیمه و مانگا,<ANSWER>تصویرسازی</ANSWER>,182
کدام یک از مردمانی که از تکنیک تیراندازی با کمان استفاده می کردند قومی از نژاد زرد هستند ؟,مغول‌ها,<ANSWER>مغول‌ها</ANSWER>,215
کدام یک از فلزات نجیب به معنی زنده می باشد ؟,جیوه,<ANSWER>جیوه</ANSWER>,191
آیا نقره زنده به عنوان فلزات نجیب شناخته می شود ؟,بله,<ANSWER>بلی</ANSWER>,192
کنسول بازی که ایس کمبت ۷: آسمان‌های ناشناخته در ژانویه 2019 برای آن منتشر شد توسط کدام شرکت معرفی شده است ؟,مایکروسافت,<ANSWER>سونی</ANSWER>,207
آیا شرکت نینتندو زودتر از شرکت تکمو تاسیس شد ؟,خیر,<ANSWER>بلی</ANSWER>,208
آیا جایزه ادبی من بوکر و جوایز گلدن گلوب هر دو به بهترین تولیدات سینمایی و تلویزیونی، هم داخلی و هم خارجی اهدا می‌گردد ؟,خیر,<ANSWER>خیر</ANSWER>,196
آیا نخستین جوایز گلدن گلوب زودتر از جایزه شیر طلایی اهدا گردید ؟,بله,<ANSWER>بلی</ANSWER>,174
آیا نینجا گایدن و ندای وظیفه هر دو توسط یک شرکت منتشر شده اند ؟,خیر,<ANSWER>خیر</ANSWER>,227
آیا شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر کرده است ؟,خیر,<ANSWER>خیر</ANSWER>,193
آیا کسی که بازی سوپرتاکس را توسعه داده بازی ندای وظیفه را منتشر کرده است ؟,خیر,<ANSWER>خیر</ANSWER>,96
آیا بازی ندای وظیفه و بازی ایس کمبت ۷: آسمان‌های هر دو توسط یک فرد منتشر شده اند ؟,خیر,<ANSWER>خیر</ANSWER>,1198
آیا کارگردان فیلم آلیس در شهرها نوسینده فیلم پرومتئوس بوده است ؟,خیر,<ANSWER>خیر</ANSWER>,1199
آیا فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال می باشند ؟,خیر,<ANSWER>خیر</ANSWER>,1299
آیا فیلمبرداری فیلم آلیس در شهرها توسط  نویسندگان فیلم پرومتئوس انجام شده است ؟,خیر,<ANSWER>خیر</ANSWER>,1399
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس درام می باشند ؟,بله,<ANSWER>بلی</ANSWER>,1499
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس توسط ویم وندرس کارگردانی شده اند ؟,خیر,<ANSWER>خیر</ANSWER>,1699
خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی از چه سالی بر کشور قطر حکمرانی می‌کنند ؟,سال 1850,<ANSWER>سال ۱۹۷۲</ANSWER>,2006
آیا از خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی تاکنون 9 نفر به‌عنوان امیر قطر منصوب شده‌اند ؟,بله,<ANSWER>خیر</ANSWER>,2007
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته نخستین بار در بخش رقابتی جشنواره فیلم کن ۲۰۱۱ اکران شد ؟,خانه بردباری,<ANSWER>فیلم چشمه‌های زن</ANSWER>,2010
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سبک درام است ؟,خانه بردباری,<ANSWER>فیلم زندگی آدل</ANSWER>,2011
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سال ۲۰۱۱ منتشر شد ؟,خانه بردباری,<ANSWER>خانه بردباری</ANSWER>,2012
کارگردان کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته برتران بونلو بوده است ؟,خانه بردباری,<ANSWER>خانه بردباری</ANSWER>,2013
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است تا چه سالی رئیس کمپانی لوکاس فیلم بود ؟,2012 سال,<ANSWER>سال ۲۰۱۲</ANSWER>,2016
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است کمپانی لوکاس فیلم را به کدام شرکت فروخت ؟,شرکت والت دیزنی,<ANSWER>شرکت والت دیزنی</ANSWER>,2018
آیا فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است از مهم‌ترین چهره‌های جنبش هالیوود نو بود ؟,بله,<ANSWER>بلی</ANSWER>,2020
کدام یک از خطرناکترین انواع بیماری‌هایی که توسط برخی انواع پشه منتقل می‌شوند از فیلاریا منشا می‌ گیرد ؟,فیلاریازیس,<ANSWER>فیلاریازیس</ANSWER>,2022
کدام یک از رهبران سیاسی روسیه و متحدانش در ده سالگی به حکومت رسید ؟,پطر کبیر,<ANSWER>رضا پهلوی</ANSWER>,2034
آیا روزنامه ای که جاستین چنگ برای آن می‌نویسد دومین روزنامه بزرگ مناطق شهری در ایالات متحده می‌باشد ؟,بله,<ANSWER>بلی</ANSWER>,2045
کدام یک از روزنامه هایی که جاستین چنگ برای آن می‌نویسد در قسمت غربی ایالات متحده آمریکا توزیع می‌شود ؟,لس آنجلس تایمز,<ANSWER>لس آنجلس تایمز</ANSWER>,2047
لقب نویسنده رمان خورشید همچنان می‌دمد چه بود ؟,پدر ادبیات مدرن,<ANSWER>پاپا</ANSWER>,2049
آیا نویسنده رمان خورشید همچنان می‌دمد از پایه‌گذاران وقایع‌نگاری ادبی شناخته می شود ؟,بله,<ANSWER>خیر</ANSWER>,2052
از بین مجموعه تلوزیونی اداره و فصل سوم مجموعه کمدی موقعیت اداره کدام یک زودتر پخش شده است ؟,مجموعه تلوزیونی اداره,<ANSWER>مجموعه تلوزیونی اداره</ANSWER>,2058
کدام یک از شرکت‌های هواپیمایی که در فرودگاه بین‌المللی سپهبد شهید قاسم سلیمانی فعال هستند در سال 1351 راه‌اندازی  شده اند ؟,ایران ایرتور,<ANSWER>_</ANSWER>,2063
آیا دو فیلم فردایی بهتر و قهرمانان گریه نمی‌کنند را جان وو کارگردانی کرده است ؟,بله,<ANSWER>بلی</ANSWER>,2067
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا هر دو در یک سال منتشر شده اند ؟,بله,<ANSWER>بلی</ANSWER>,2069
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا برنده جایزه اسکار بهترین فیلم مستند شده اند ؟,بله,<ANSWER>خیر</ANSWER>,2070
از بین نیما عالمیان و نوشاد عالمیان کدام یک فعالیت خود را از سال 2000 شروع کرده‌اند ؟,نیما عالمیان,<ANSWER>شخص</ANSWER>,2076
آیا نیما عالمیان و نوشاد عالمیان هر دو فعالیت خود را از سال 1998 شروع کرده‌اند؟,خیر,<ANSWER>بلی</ANSWER>,2077
آیا نیما عالمیان و نوشاد عالمیان هر دو اکنون عضو باشگاه توقینیه فویلارد هستند؟,خیر,<ANSWER>بلی</ANSWER>,2079
آیا نیما عالمیان و نوشاد عالمیان هر دو بازیکن تنیس روی میز و ملی‌پوش اهل ایران هستند؟,بله,<ANSWER>بلی</ANSWER>,2082
کارگردان مستند تقاطع تحصیلاتش را در چه رشته ای به پایان برده است ؟,مهندسی کشاورزی,<ANSWER>علوم سیاسی</ANSWER>,2090
آیا کارگردان مستند تقاطع برنده سیمرغ بلورین برای بهترین فیلم مستند شده است ؟,بله,<ANSWER>خیر</ANSWER>,2092
کارگردان مستند تقاطع سیمرغ بلورین بهترین فیلم مستند را برای کدام فیلم برنده شده است ؟,فیلم نیمه بلند اتاق صعود,<ANSWER>فیلم آن دو</ANSWER>,2094
کدام یک از فیلم‌های کیم یونگ-کوانگ بیش از 8 جایزه را از آن خود کرده است ؟,پینوکیو,<ANSWER>فیلم قهرمان</ANSWER>,2100
کدام یک از فیلم‌های کیم یونگ-کوانگ در چین و تایلند و ژاپن پخش شده است؟,پینوکیو,<ANSWER>روزی روزگاری یک پسر</ANSWER>,2102
برشی که روش اکسایش حرارتی تولید یک لایه نازک اکسید بر روی سطح آن می‌کند توسط کدام فرایند برش می‌خورد ؟,برش ویفر یا ویفر دایسینگ,<ANSWER>دایسینگ</ANSWER>,2104
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده در جنوب ایران فیلمبرداری شده است ؟,عروس آتش,<ANSWER>باد ما را خواهد برد</ANSWER>,2107
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده را خسرو سینایی کارگردانی کرده است ؟,عروس آتش,<ANSWER>عروس آتش</ANSWER>,2110
آیا جوکیو و گن‌روکو هر دو نام عصر ژاپنی در دوره ادو بودند ؟,بله,<ANSWER>بلی</ANSWER>,2117
تیمی که میشائیل شوماخر  بیشتر دوران ورزشی خود را در آن سپری کرده در چه سالی تاسیس شده است ؟,۱۹۲۹,<ANSWER>سال ۱۹۲۹</ANSWER>,2120
آیا عکاس دو فیلم پنج عصر و تخته‌سیاه میثم مخملباف می‌باشد ؟,بله,<ANSWER>خیر</ANSWER>,2127
کدام یک از مهم‌ترین موجودات منقرض شده در انقراض هولوسین در جنگل گیر واقع در گجرات هند یافت می‌شود ؟,شیر ایرانی,<ANSWER>یوزپلنگ آسیایی</ANSWER>,2129
کدام یک از ستارگان فیلم عصرجدید در دوره فیلم صامت به شهرت رسید ؟,چارلی چاپلین,<ANSWER>چارلی چاپلین</ANSWER>,2132
کدام یک از بازیگران فیلم مارلو وکیل می باشد ؟,آدواله آکینویه آگباجه,<ANSWER></ANSWER>,2134
آیا بازیگری که در فیلم شهر گمشده زی در نقش پسر پرسی به ایفای نقش پرداخته انگلیسی است ؟,بله,<ANSWER>بلی</ANSWER>,2136
شرکتی که فیلم منتهای حد کمال از سوی آن منتشر شد توسط چه کسانی تاسیس شد ؟,هاوارد کوهن و اریک دی آربلوف,<ANSWER>رایان کریوشای</ANSWER>,2145
رمانی که فیلم برای اینکه از آن الهام گرفته شده به چه چیز می‌پردازد ؟,نقد مکتب روان‌شناسی رفتارگرایی,<ANSWER>فلسفهٔ روانشناختی</ANSWER>,2148
رمانی که فیلم برای اینکه از آن الهام گرفته شده ابتدا در چه سالی به صورت نمایشنامه درآمد؟,۱۹۶۳ سال,<ANSWER>سال ۱۸۲۳</ANSWER>,2150
کدام یک از سبک‌هایی که فرانک وینسنت زاپا در آن آهنگسازی کرده در دهه ۵۰ میلادی تحت عنوان راک اند رول شکل گرفت؟,راک,<ANSWER>راک</ANSWER>,2153
از فردی که آغاز فانک راک را به لیتل ریچارد و گروه جاده‌ای‌اش نسبت می‌دهد از پیشگامان چه موسیقی بود ؟,موسیقی فانک,<ANSWER>موسیقی فانک</ANSWER>,2165
آیا تیمی که هیوستون راکتس در بازی‌های حذفی به مصاف آن رفت دو بار در سالهای ١٩٧٠ و ١٩٧٣ قهرمان لیگ سراسری NBA شده است؟,بله,<ANSWER>خیر</ANSWER>,2163
آیا شرکت ماهان تعداد فروند هواپیمای مسافربری بیشتری از شرکت هواپیمایی ایران ایرتور دارد ؟,بله,<ANSWER>بلی</ANSWER>,2170
آیا پیروز یکم و محمد ظاهرشاه از پادشاهان ایرانی بودند ؟,خیر,<ANSWER>خیر</ANSWER>,2175
آیا بازی سایلنت هیل ۲ و بازی ریمن ریوینگ رابیدها در یک سال منتشر شدند ؟,خیر,<ANSWER>خیر</ANSWER>,2178
آیا فیلم دیوانه از قفس پرید و بی‌خانمانی در آمریکا برنده جایزه اسکار شده اند ؟,بله,<ANSWER>خیر</ANSWER>,2181
نخستین تزار روسیه از چند سالگی به حکومت رسید ؟,ده‌سالگی,<ANSWER>۱۷</ANSWER>,2186
آیا عنصر شیمیایی با عدد اتمی ۲۶ در فهرست فلزات نجیب قرار دارد شد ؟,خیر,<ANSWER>خیر</ANSWER>,2188
کدام یک از بازیگران فیلم سینمایی گرند ماستی در فیلم آقا تقلب نقش آفرینی کرده است ؟,مانجاری فاندیس,<ANSWER>ریتیش دشموک</ANSWER>,2192
آیا عدد اتمی آهن از عدد اتمی مس بیشتر است ؟,خیر,<ANSWER>خیر</ANSWER>,2194
کدام یک از فلزات نجیب عدد اتمی 29 را دارد ؟,مس,<ANSWER>هیچ کدام</ANSWER>,2197
آیا کسی که شخصیت لرد ولدمورت را خلق کرد عمده شهرتش را به دلیل نوشتن مجموعه فانتزی هری پاتر کسب کرده است ؟,بله,<ANSWER>بلی</ANSWER>,2202
کسی که قوای قزاق به درخواست او تشکیل شد چندمین پادشاه ایرانی بود که خاطرات خود را نوشت ؟,نخستین,<ANSWER>دومین</ANSWER>,2205
آیا کسی که قوای قزاق به درخواست او تشکیل شد نخستین پادشاه ایرانی بود که خاطرات خود را نوشت ؟,بله,<ANSWER>بلی</ANSWER>,2206
آیا کسی که قوای قزاق به درخواست او تشکیل شد معروف به قبله عالم بود ؟,بله,<ANSWER>بلی</ANSWER>,2207
کسی که قوای قزاق به درخواست او تشکیل شد چه کسی را کشت ؟,امیرکبیر,<ANSWER>امیرکبیر</ANSWER>,2208
کسی که قوای قزاق به درخواست او تشکیل شد در چند سالگی ترور شد ؟,65,<ANSWER>۶۴</ANSWER>,2209
کسی که قوای قزاق به درخواست او تشکیل شد نزدیک به چند سال پادشاهی کرد ؟,50 سال,<ANSWER>۴۸</ANSWER>,2211
کسی که قوای قزاق به درخواست او تشکیل شد خود را چه نامید ؟,صاحبقران,<ANSWER>شاه</ANSWER>,2212
آیا پوغوس پتروسی آفیان و جوزپه فورتونینو فرانچسکو وردی هر دو ایتالیایی بودند ؟,خیر,<ANSWER>خیر</ANSWER>,2217
آیا بازی اتومبیل‌دزدی بزرگ نیز مانند بازی سرکش از طراحی جهان باز برخوردار است ؟,بله,<ANSWER>خیر</ANSWER>,2218
کدام یک از علائم و نشانه‌های بیماری سپتیسمی حالتی است که در آن دمای بدن جانوران خون‌گرم از مقدار طبیعی آن بیشتر می شود ؟,تب,<ANSWER>تب</ANSWER>,2220
تشنج از نتایج کدام یک از علائم و نشانه‌های بیماری سپتیسمی است ؟,تب,<ANSWER>کاهش دمای بدن</ANSWER>,2221
آیا دیوید والاس و لوک اسکای‌واکر هر دو یک شخصیت تخیلی هستند ؟,بله,<ANSWER>خیر</ANSWER>,2223
دیوید والاس و لوک اسکای‌واکر چه نوع شخصیتی هستند ؟,تخیلی,<ANSWER>شخصیت داستانی</ANSWER>,2227
آیا دو شخصیت دیوید والاس و لوک اسکای‌واکر توسط مارک همیل به تصویر کشیده‌است ؟,خیر,<ANSWER>خیر</ANSWER>,2225
کدام یک از نرم افزارهایی که جنکینز از آن ها پشتیبانی می کند به صورت یک نرم‌افزار آزاد عرضه می‌شود ؟,آپاچی سابورژن,<ANSWER>گیت</ANSWER>,2237
دو بازی فار کرای پرایمال و فار کرای در چه سبکی قرار دارند ؟,اکشن و ماجراجویی,<ANSWER>اکشن-ماجراجویی</ANSWER>,2249
