question,answer,model_answer,id,clean_model_answer,is_correct
لاوازیه در چه سالی متولد شد؟,,<ANSWER>سال ۱۷۴۳</ANSWER>,1624298,سال ۱۷۴۳,False
موقعیت جغرافیایی کلیسای کاتولیک رم چگونه است؟,,"<Think>کلیسای کاتولیک رم، که به نام کلیسای کاتولیک نیز شناخته می‌شود، مرکزیت آن در شهر واتیکان قرار دارد. واتیکان نیز یک کشور مستقل است که درون شهر رم، پایتخت ایتالیا، واقع شده است.</Think>
<ANSWER>در شهر واتیکان، که خود یک کشور مستقل در درون شهر رم، ایتالیا است.</ANSWER>",1630220,در شهر واتیکان، که خود یک کشور مستقل در درون شهر رم، ایتالیا است.,True
رم در کدام قاره قرار گرفته‌است؟,اروپا,<ANSWER>اروپا</ANSWER>,1605283,اروپا,True
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,"<Think>تابع عملکرد جستجوی نورافکن (Spotlight Search) به کاربران اجازه می‌دهد تا به سرعت برنامه‌ها، اسناد، ایمیل‌ها، مخاطبین و سایر فایل‌ها را در دستگاه خود پیدا کنند. همچنین می‌توانند برای اطلاعات از اینترنت، تعریف کلمات، انجام محاسبات، تبدیل واحدها و جستجو در App Store یا iTunes Store استفاده کنند.</Think>
<ANSWER>جستجو و یافتن سریع برنامه‌ها، اسناد، ایمیل‌ها، مخاطبین و سایر فایل‌های موجود در دستگاه، و همچنین جستجوی اطلاعات در اینترنت، دیکشنری، انجام محاسبات و تبدیل واحدها.</ANSWER>",1621111,جستجو و یافتن سریع برنامه‌ها، اسناد، ایمیل‌ها، مخاطبین و سایر فایل‌های موجود در دستگاه، و همچنین جستجوی اطلاعات در اینترنت، دیکشنری، انجام محاسبات و تبدیل واحدها.,False
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,سالانه حدود ۱۵۰۰ زمین لرزه در ژاپن رخ می‌دهد.,1622278,سالانه حدود ۱۵۰۰ زمین لرزه در ژاپن رخ می‌دهد.,True
گیلکی از نظر زبان شناسی به کجا تعلق دارد؟,به شاخه شمال غربی زبان‌های ایرانی,"<Think>گیلکی یکی از زبان‌های ایرانی شمال غربی است و به خانواده بزرگ‌تر زبان‌های هندواروپایی تعلق دارد.</Think>
<ANSWER>شاخه زبان‌های ایرانی</ANSWER>",1609968,شاخه زبان‌های ایرانی,False
جان کالوین کولیج معاون کدام رئیس جمهور بود؟,هاردینگ,وارن جی. هاردینگ,1635871,وارن جی. هاردینگ,True
علیمردان خان بختیاری وکیل‌الدوله  که بود؟,نایب‌السلطنه,وکیل‌الدوله عنوانی بود که به افراد صاحب نفوذ و مقامات عالی‌رتبه دولتی، معمولاً کسانی که نماینده یا نایب حکومت بودند، اعطا می‌شد. علیمردان خان بختیاری نیز یکی از این مقامات برجسته بود.,1602620,وکیل‌الدوله عنوانی بود که به افراد صاحب نفوذ و مقامات عالی‌رتبه دولتی، معمولاً کسانی که نماینده یا نایب حکومت بودند، اعطا می‌شد. علیمردان خان بختیاری نیز یکی از این مقامات برجسته بود.,False
مهم‌ترین مسائل غیرنظامی رضاخان چه بود؟,رابطه با بریتانیا و شوروی,مدرن‌سازی و نوسازی کشور و ایجاد یک دولت مرکزی قوی.,1637663,مدرن‌سازی و نوسازی کشور و ایجاد یک دولت مرکزی قوی.,False
سبک آوازی یا تولیدی «به خانه برگرد» سئو تایجی شبیه کدام سبک بود؟,سبک سیپرس هیل,گانگستا رپ,1617421,گانگستا رپ,False
پس از کودتای چه سالی رضاشاه را سردار سپه می‌خواندند؟,۱۲۹۹,"<Think>رضاخان پس از کودتای ۱۲۹۹ (۱۹۲۱ میلادی) به تدریج قدرت را در دست گرفت و در این دوره بود که به ""سردار سپه"" معروف شد.</Think>
<ANSWER>سال ۱۲۹۹</ANSWER>",1637225,سال ۱۲۹۹,True
ابوموسی اشعری اهل کجا بود؟,,"<Think>ابوموسی اشعری یکی از صحابه پیامبر اسلام بود. نام کامل او عبدالله بن قیس اشعری است که نشان‌دهنده نسبت او به قبیله اشعر است. این قبیله از منطقه یمن برخاسته است.</Think>
<ANSWER>یمن</ANSWER>",1626553,یمن,False
شهرهای سنجار و آمیدا به دست چه کسانی افتاده بود؟,ایرانی‌ها,"<Think>شهرهای سنجار و آمیدا (دیاربکر کنونی) در منطقه بین‌النهرین واقع شده‌اند و در طول تاریخ توسط امپراتوری‌ها و گروه‌های مختلفی فتح شده‌اند. از جمله فاتحان مهم این مناطق می‌توان به رومیان، ساسانیان، اعراب مسلمان، و در دوره‌های بعدی به مغولان (برای سنجار) و عثمانیان (برای آمیدا) اشاره کرد. همچنین، در دوران معاصر نیز سنجار توسط گروه داعش سقوط کرد.</Think>
<ANSWER>اعراب، رومیان، ساسانیان، مغولان و عثمانیان</ANSWER>",1642358,اعراب، رومیان، ساسانیان، مغولان و عثمانیان,False
تأثیر تمدن اژه ای بر تئاتر را شرح دهید.,تمدن باستانی اژه‌ای تأثیر مستقیم زیادی در تحول تئاتر نداشت، اما تئاتر غیرمستقیم آن فوق‌العاده زیاد بود، زیرا خدایان، قهرمانان و تاریخ همین مردم بود که مواد اولیهٔ ایلیاد و ادیسهٔ هومر و اکثر درام‌های یونانی را فراهم آورد. از این رو این تمدن‌ها به جهات مختلف زیربنای ادبیات غرب به‌شمار می‌آیند,"<Think>تمدن اژه‌ای شامل تمدن‌های مینوسی و میسنی می‌شود که پیش از پیدایش تئاتر یونان باستان وجود داشتند. تئاتر یونان باستان در حدود قرن ششم پیش از میلاد شکل گرفت و ریشه‌های آن به مناسک مذهبی و جشن‌های دیونیسوس بازمی‌گردد. هیچ مدرک مستقیمی دال بر تأثیر مستقیم و مشخص تمدن اژه‌ای بر تئاتر وجود ندارد، بلکه تئاتر در تمدن‌های بعدی و به تدریج تکامل یافته است. بنابراین، نمی‌توان تأثیر مستقیمی را برای تمدن اژه‌ای بر تئاتر شرح داد.</Think>
<ANSWER>شواهد مستقیمی مبنی بر تأثیر تمدن اژه‌ای (مینوسی و میسنی) بر شکل‌گیری تئاتر به مفهوم امروزی یا حتی تئاتر یونان باستان وجود ندارد. تئاتر یونان باستان در دوره‌ای متاخرتر و با ریشه‌های خاص خود (مانند مراسم دینی دیونیسوس) توسعه یافت.</ANSWER>",1647026,شواهد مستقیمی مبنی بر تأثیر تمدن اژه‌ای (مینوسی و میسنی) بر شکل‌گیری تئاتر به مفهوم امروزی یا حتی تئاتر یونان باستان وجود ندارد. تئاتر یونان باستان در دوره‌ای متاخرتر و با ریشه‌های خاص خود (مانند مراسم دینی دیونیسوس) توسعه یافت.,False
مساحت کشور کانادا را بگویید.,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,"حدود ۹.۹۸ میلیون کیلومتر مربع (تقریباً ۹,۹۸۴,۶۷۰ کیلومتر مربع).",1639066,"حدود ۹.۹۸ میلیون کیلومتر مربع (تقریباً ۹,۹۸۴,۶۷۰ کیلومتر مربع).",True
ریشه یونانی اکسیژن چیست؟,اوکسیس,"<Think>کلمه اکسیژن (Oxygen) از دو واژه یونانی ""oxys"" به معنای ""تیز، اسیدی"" و ""genes"" به معنای ""تولیدکننده"" یا ""زاینده"" تشکیل شده است.</Think>
<ANSWER>oxys (تیز، اسیدی) و genes (تولیدکننده)</ANSWER>",1624516,oxys (تیز، اسیدی) و genes (تولیدکننده),False
در چه سالی استفاده از واژه اینترنت معمول شد و مجازا برای اشاره به وب هم استفاده شد؟,سال ۱۹۹۶,"<Think>وب در اوایل دهه 1990 توسعه یافت و در اواسط دهه 1990 (حدود 1995) بود که اینترنت به طور گسترده برای عموم مردم شناخته شد و استفاده از آن معمول گشت. در این زمان، مردم اغلب از کلمه ""اینترنت"" برای اشاره به ""وب"" که بخش اصلی تعامل آنها با اینترنت بود، استفاده می‌کردند.</Think>
<ANSWER>۱۹۹۵</ANSWER>",1619172,۱۹۹۵,False
انجمن حزبی جمهوری‌خواهان آزادی چیست؟,,"<Think>انجمن حزبی جمهوری‌خواهان آزادی (Republican Liberty Caucus) یک سازمان سیاسی در ایالات متحده است که هدف آن ترویج اصول آزادیخواهانه (لیبرترین) در درون حزب جمهوری‌خواه است.</Think>
<ANSWER>یک گروه سیاسی است که هدف آن ترویج آزادی فردی، دولت محدود و بازار آزاد در داخل حزب جمهوری‌خواه آمریکا است.</ANSWER>",1635584,یک گروه سیاسی است که هدف آن ترویج آزادی فردی، دولت محدود و بازار آزاد در داخل حزب جمهوری‌خواه آمریکا است.,False
شاهکار بینش‌پژوه چند آلبوم منتشر کرد؟,,<ANSWER>۴ آلبوم</ANSWER>,1617597,۴ آلبوم,False
موسیقی هیپ_هاپ در اوایل کدام دهه ایجاد شد؟,دهه ۱۹۷۰,"<Think>موسیقی هیپ هاپ در دهه ۱۹۷۰ و به‌طور مشخص در اواخر این دهه در برانکس نیویورک شکل گرفت.</Think>
<ANSWER>دهه ۱۹۷۰</ANSWER>",1616905,دهه ۱۹۷۰,True
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,در شرق فلات ایران,1626546,در شرق فلات ایران,False
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,<ANSWER>درام، کمدی، تراژدی، موزیکال، اپرا، تئاتر فیزیکی، تئاتر مستند، آوانگارد، تئاتر عروسکی، نمایش تک‌نفره (مونولوگ)، تئاتر خیابانی، تئاتر تجربی، تئاتر کودک و نوجوان و پانتومیم.</ANSWER>,1646747,درام، کمدی، تراژدی، موزیکال، اپرا، تئاتر فیزیکی، تئاتر مستند، آوانگارد، تئاتر عروسکی، نمایش تک‌نفره (مونولوگ)، تئاتر خیابانی، تئاتر تجربی، تئاتر کودک و نوجوان و پانتومیم.,False
کار برنامه‌نویس بزرگ رایانه چیست؟,,طراحی، کدنویسی، آزمایش و عیب‌یابی نرم‌افزار.,1634401,طراحی، کدنویسی، آزمایش و عیب‌یابی نرم‌افزار.,False
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,<ANSWER>ده سال</ANSWER>,1611599,ده سال,False
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,"<Think>در زمان مرگ نادرشاه در سال ۱۷۴۷ میلادی، ایران درگیر هرج و مرج و آشفتگی بود. اصفهان نیز در این دوره، به دلیل فروپاشی قدرت مرکزی، فاقد یک حاکم مشخص و مقتدر بود و در وضعیت بی‌ثباتی قرار داشت.</Think>
<ANSWER>هیچ حاکم مشخص و مقتدری بر اصفهان حکم‌فرما نبود.</ANSWER>",1602619,هیچ حاکم مشخص و مقتدری بر اصفهان حکم‌فرما نبود.,False
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,"<Think>بر اساس اطلاعات موجود، صربستان به طور کلی به عنوان یکی از مشهورترین کشورها در زمینه رپ در اروپا شناخته نمی‌شود. کشورهایی مانند فرانسه، آلمان، و بریتانیا معمولاً دارای صحنه‌های رپ برجسته‌تری در اروپا هستند.</Think>
<ANSWER>صربستان معمولاً به عنوان یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب نمی‌شود.</ANSWER>",1617814,صربستان معمولاً به عنوان یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب نمی‌شود.,False
مسیحی پروتستان چگونه است؟,,"مسیحیت پروتستان یکی از شاخه‌های اصلی مسیحیت است که در قرن ۱۶ میلادی از جنبش اصلاحات پروتستانی سرچشمه گرفت. ویژگی‌های اصلی آن عبارتند از:

*   **تأکید بر کتاب مقدس:** باور به اینکه کتاب مقدس تنها منبع موثق وحی الهی است (Sola Scriptura).
*   **نجات از طریق ایمان:** اعتقاد به اینکه نجات تنها از طریق فیض خدا و ایمان به عیسی مسیح حاصل می‌شود، نه از طریق اعمال (Sola Fide).
*   **کشیشی همگانی ایمانداران:** این باور که هر فرد مؤمن می‌تواند مستقیماً با خدا ارتباط برقرار کند و واسطه‌گری کشیش یا روحانیون ضروری نیست.
*   **رد اقتدار پاپ:** عدم پذیرش پاپ به عنوان رئیس کلیسا و نماینده مسیح بر روی زمین.
*   **اهمیت موعظه:** تمرکز بیشتر بر موعظه و تبیین کتاب مقدس در مراسم عبادی.

مسیحیت پروتستان شامل طیف وسیعی از فرقه‌ها و کلیساها مانند لوترانیسم، کالوینیسم، باپتیست، متدیست، پنطیکاستی و غیره می‌شود که هر کدام ویژگی‌ها و تأکیدات خاص خود را دارند.",1631389,"مسیحیت پروتستان یکی از شاخه‌های اصلی مسیحیت است که در قرن ۱۶ میلادی از جنبش اصلاحات پروتستانی سرچشمه گرفت. ویژگی‌های اصلی آن عبارتند از:

*   **تأکید بر کتاب مقدس:** باور به اینکه کتاب مقدس تنها منبع موثق وحی الهی است (Sola Scriptura).
*   **نجات از طریق ایمان:** اعتقاد به اینکه نجات تنها از طریق فیض خدا و ایمان به عیسی مسیح حاصل می‌شود، نه از طریق اعمال (Sola Fide).
*   **کشیشی همگانی ایمانداران:** این باور که هر فرد مؤمن می‌تواند مستقیماً با خدا ارتباط برقرار کند و واسطه‌گری کشیش یا روحانیون ضروری نیست.
*   **رد اقتدار پاپ:** عدم پذیرش پاپ به عنوان رئیس کلیسا و نماینده مسیح بر روی زمین.
*   **اهمیت موعظه:** تمرکز بیشتر بر موعظه و تبیین کتاب مقدس در مراسم عبادی.

مسیحیت پروتستان شامل طیف وسیعی از فرقه‌ها و کلیساها مانند لوترانیسم، کالوینیسم، باپتیست، متدیست، پنطیکاستی و غیره می‌شود که هر کدام ویژگی‌ها و تأکیدات خاص خود را دارند.",False
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,"<Think>مرحله بتا در توسعه نرم‌افزار، مرحله‌ای است که در آن یک نسخه تقریباً نهایی از نرم‌افزار برای آزمایش به گروهی از کاربران واقعی (تست‌کننده‌های بتا) ارائه می‌شود. هدف این مرحله، یافتن باگ‌ها، مشکلات عملکردی و جمع‌آوری بازخورد از کاربران در یک محیط واقعی، قبل از انتشار نهایی محصول است.</Think>
<ANSWER>مرحله بتا، مرحله‌ای در توسعه نرم‌افزار است که در آن یک نسخه تقریباً کامل از محصول برای آزمایش و جمع‌آوری بازخورد به گروهی از کاربران بیرونی (تست‌کنندگان بتا) ارائه می‌شود. هدف اصلی این مرحله، شناسایی باگ‌ها، مشکلات عملکردی و نواقص احتمالی در محیط واقعی، پیش از انتشار نهایی محصول است.</ANSWER>",1644030,مرحله بتا، مرحله‌ای در توسعه نرم‌افزار است که در آن یک نسخه تقریباً کامل از محصول برای آزمایش و جمع‌آوری بازخورد به گروهی از کاربران بیرونی (تست‌کنندگان بتا) ارائه می‌شود. هدف اصلی این مرحله، شناسایی باگ‌ها، مشکلات عملکردی و نواقص احتمالی در محیط واقعی، پیش از انتشار نهایی محصول است.,False
جین آئو- یونگ در چه سالی متولد شد؟َ,,<ANSWER>۱۹۹۴</ANSWER>,1617539,۱۹۹۴,False
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),<ANSWER>۲۴ اکتبر ۲۰۰۶</ANSWER>,1619054,۲۴ اکتبر ۲۰۰۶,False
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,اینترنت شامل شبکه‌های عمومی، خصوصی، دانشگاهی، تجاری و دولتی است.,1618870,اینترنت شامل شبکه‌های عمومی، خصوصی، دانشگاهی، تجاری و دولتی است.,True
طبق مطالعات انجام شده انسان ها از چند سال پیش مراسم آئینی اجرا می کردند؟,انسان از ۳۰۰۰۰ سال پیش مراسم آئینی اجرا می‌کرده‌است,"<Think>مطالعات باستان‌شناسی و انسان‌شناسی نشان می‌دهد که انسان‌ها از دوران پارینه‌سنگی میانه و به طور مشخص از حدود ۱۰۰ هزار سال پیش، شروع به انجام مراسم آئینی کردند. شواهدی مانند تدفین هدفمند و استفاده از رنگدانه در این دوران، این موضوع را تأیید می‌کند.</Think>
<ANSWER>حدود ۱۰۰ هزار سال پیش</ANSWER>",1646967,حدود ۱۰۰ هزار سال پیش,False
حزب دموکرات ایالات متحده آمریکا توسط چه کسانی تأسیس شد؟,,"<Think>حزب دموکرات ایالات متحده آمریکا ریشه‌های خود را در حزب دموکرات-جمهوری‌خواه دارد. این حزب در ابتدا توسط توماس جفرسون و جیمز مدیسون تأسیس شد.</Think>
<ANSWER>توماس جفرسون و جیمز مدیسون</ANSWER>",1635467,توماس جفرسون و جیمز مدیسون,False
ماده حاجب پرتونگاری چیست؟,,"<Think>ماده حاجب پرتونگاری ماده‌ای است که برای افزایش کنتراست و وضوح تصاویر در روش‌های تصویربرداری پزشکی مانند اشعه ایکس، سی‌تی‌اسکن یا ام‌آر‌آی استفاده می‌شود. این ماده به بافت‌ها یا اندام‌های خاصی جذب شده یا آنها را پر می‌کند تا در تصویربرداری بیشتر به چشم بیایند.</Think>
<ANSWER>ماده‌ای است که برای افزایش کنتراست بین ساختارهای بدن در تصویربرداری پزشکی، مانند اشعه ایکس یا سی‌تی‌اسکن، استفاده می‌شود تا آنها واضح‌تر دیده شوند.</ANSWER>",1640515,ماده‌ای است که برای افزایش کنتراست بین ساختارهای بدن در تصویربرداری پزشکی، مانند اشعه ایکس یا سی‌تی‌اسکن، استفاده می‌شود تا آنها واضح‌تر دیده شوند.,False
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟ ,غلامحسین افضل‌الملک,"<Think>کتاب ""کُرّاسهٔ اَلمَعی"" توسط شیخ بهایی تألیف شده است.</Think>
<ANSWER>شیخ بهایی</ANSWER>",1608254,شیخ بهایی,False
مشیرالدوله در خرداد چه سالی دولت تشکیل داد؟,۱۳۰۲,سال ۱۳۰۲,1637604,سال ۱۳۰۲,True
"پیوندهای هیدروژن بین مولکول‌های آب آنها را چند درصد نزدیکتر از آنچه انتظار می‌رود در یک مایع ساده که فقط دارای نیروی واندروالسی باشد، قرار داده‌است؟
",تقریباً ۱۵٪,"<Think>پیوندهای هیدروژن بین مولکول‌های آب، نیروهای جاذبه قوی‌تری نسبت به نیروهای واندروالسی هستند. این نیروهای جاذبه قوی‌تر باعث می‌شوند که مولکول‌های آب در فاز مایع به میزان قابل توجهی به یکدیگر نزدیک‌تر شوند. در مقایسه با یک مایع فرضی که فقط دارای نیروهای واندروالسی باشد، پیوندهای هیدروژن مولکول‌ها را فشرده‌تر نگه می‌دارند. این موضوع با وجود ساختار نسبتاً باز آب (که منجر به کمتر بودن چگالی یخ از آب مایع می‌شود) متفاوت است و به قدرت کلی نیروهای جاذبه‌ای اشاره دارد که مولکول‌ها را در فاز مایع نگه می‌دارد. طبق برخی منابع، این پیوندها مولکول‌ها را حدود ۱۵ درصد به هم نزدیک‌تر می‌کنند.</Think>
<ANSWER>حدود ۱۵ درصد</ANSWER>",1624923,حدود ۱۵ درصد,True
هرمز سوم در باختر با چه کسی جنگید؟,هپتالیان,پیروز یکم,1642693,پیروز یکم,False
چه کسی پیرو برکناری قباد اول توسط اشراف، به تخت شاهنشاهی ساسانی نشست؟,جاماسپ,جاماسب,1642854,جاماسب,True
واحد های بزرگ سیاسی تمدن یونان چه نام دارد؟,پولیس,"<Think>تمدن یونان باستان شامل واحدهای سیاسی مستقل و خودگردان بود که معمولاً به آنها شهر-کشور گفته می‌شود. نام این واحدها در یونانی ""پولیس"" (polis) است.</Think>
<ANSWER>پولیس (یا شهر-کشورها)</ANSWER>",1647080,پولیس (یا شهر-کشورها),True
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,ماهواره‌های مدارات پایین زمین (LEO),1632806,ماهواره‌های مدارات پایین زمین (LEO),False
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,شوشانیک,1642525,شوشانیک,False
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,<ANSWER>آوازخوانی ریتمیک و قافیه</ANSWER>ارشرح: موسیقی رپ به طور کلی شامل آوازخوانی ریتمیک و قافیه است.,1617304,آوازخوانی ریتمیک و قافیه,False
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,امتیاز انحصاری دارسی,1614356,امتیاز انحصاری دارسی,False
منظور از آتریاد چیست؟,تیپ,"<Think>کلمه ""آتریاد"" به معنای یک گروه سه تایی یا مجموعه‌ای از سه عنصر مرتبط است. این اصطلاح در برخی زمینه‌ها برای اشاره به هر چیزی که از سه بخش تشکیل شده باشد استفاده می‌شود.</Think>
<ANSWER>یک گروه سه‌تایی یا مجموعه‌ای از سه عنصر مرتبط</ANSWER>",1637361,یک گروه سه‌تایی یا مجموعه‌ای از سه عنصر مرتبط,False
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,محدث نوری,1601228,محدث نوری,False
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,یک عدد یک و صد صفر جلوی آن.,1611765,یک عدد یک و صد صفر جلوی آن.,True
کشور شیلی در کدام قاره قرار دارد؟,,آمریکای جنوبی,1606748,آمریکای جنوبی,False
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,"<Think>شنای سگی یک نوع سبک شنا است که در آن فرد دست‌ها و پاها را به صورت متناوب حرکت می‌دهد، شبیه به حرکات سگ‌ها در آب. این سبک معمولاً برای یادگیری اولیه شنا یا برای حرکت در آب‌های کم‌عمق استفاده می‌شود و کمتر به عنوان یک سبک شنای رقابتی شناخته می‌شود.</Think>
<ANSWER>یک سبک شنا که در آن شناگر با حرکات ساده و متناوب دست و پا، شبیه به شنا کردن سگ، در آب حرکت می‌کند.</ANSWER>",1645692,یک سبک شنا که در آن شناگر با حرکات ساده و متناوب دست و پا، شبیه به شنا کردن سگ، در آب حرکت می‌کند.,False
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,<ANSWER>میرزا حسین‌خان سپهسالار</ANSWER>,1608469,میرزا حسین‌خان سپهسالار,False
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,فرانسه,1637612,فرانسه,False
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,برای جلوگیری از سمیت اکسیژن، زیرا در فشارهای بالا، اکسیژن به میزان سمی در بدن حل می‌شود. همچنین برای کاهش اثرات مخدر نیتروژن (بیهوشی نیتروژنی) که در عمق‌های زیاد رخ می‌دهد. هلیوم نیز به دلیل چگالی کمتر و حلالیت کمتر در خون برای غواصی عمیق‌تر به اکسیژن اضافه می‌شود تا بیماری رفع فشار را کاهش دهد.,1625265,برای جلوگیری از سمیت اکسیژن، زیرا در فشارهای بالا، اکسیژن به میزان سمی در بدن حل می‌شود. همچنین برای کاهش اثرات مخدر نیتروژن (بیهوشی نیتروژنی) که در عمق‌های زیاد رخ می‌دهد. هلیوم نیز به دلیل چگالی کمتر و حلالیت کمتر در خون برای غواصی عمیق‌تر به اکسیژن اضافه می‌شود تا بیماری رفع فشار را کاهش دهد.,False
