context,context_id
در عرصه‌ی سیاست خارجی، جمهوری‌خواهان طرفدار افزایش بودجه نظامی کشور و طرفدار اقداماتی هستند که به بزرگ‌تر و قدرتمندتر شدن ارتش بیفزاید. جمهوری‌خواهان، بخصوص آن‌هایی که جزء نومحافظه‌کاران هستند، معتقد هستند که ایالات متّحده باید در عرصه‌ی خارجی سیاست‌هایی تهاجمی را دنبال کند و با کشورهایی که مزاحم منافع این کشورند، به شدّت برخورد کنند. سه رئیس‌جمهور جمهوری‌خواه ایالات متّحده امریکا در سه دهه‌ی اخیر، رونالد ریگان، جورج بوش (پدر) ، [[جورج دبلیو بوش|جورج بوش (پسر) به روشنی نشان دادند که ایده جمهوری‌خواهان در سیاست خارجی، تهاجمی و جنگ طلبانه است.,122
صربیا به لطف وجود گروه رپ سندیکای بلگراد یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود. آن‌ها در وهله اول نماینده منطقه دورکول خود (گورنجی، دونجی دورکول، سیپکا، (uCAzaKInje)، ماج) و بلگراد، به عنوان یکی از بزرگ‌ترین شهرهای اروپایی هستند. گروه :۹ تا ۹۹ عضو «دارد، اما تنها تعداد اندکی از آن‌ها در صحنه حضور پیدا می‌کنند (فدجا، اسکابو، اوگی، دارکو، دیجولو، دیجولو...). آخرین آلبوم آنهاًSVI ZAJEDNO»، یکی از پرفروش‌ترین آلبوم‌های سال ۲۰۰۵ بوده‌است. پوزدراو زا سیندیکیلس!!! دیگر رپرها مانند ام سی جرتیک (جرا) و دی جولی (آن‌ها گروه فول تریپ هستند) و گرواجس نیگروتین (بد کپی) مارچلو، (گروه رپ) وی آی پی و دیگر گروه‌ها نیز مؤثر هستند.,110
کلیه روستاهای دهستان رودبار در منطقه‌ای کاملاً کوهستانی قرار گرفته و از گذشته دور این محدوده بنام دهستان رودبار معروف بوده‌است ارتفاعات رفیع و صعب العبور کلیه مناطق این دهستان را دربرگرفته که به همین دلیل روستاها دارای زمین کشاورزی کافی نبوده و روستائیان سرد و طولانی حاکم بر روستاهاست فعالیت‌های چشمگیر اهالی موجب گردیده‌است که اهالی خود تولیدات مورد نیاز کشاورزی خود را تهیه کنند  ̧فراورده‌های خشکبار را به شهرهای همجوار صادر نمایند راه‌های ارتباطی شوسه است که در تعدادی از آن‌ها رفت‌وآمد در زمستان به سختی صورت می‌پذیرد.,115
دوره دوم شکوفایی عصر ساسانی پس از دومین تاجگذاری قباد اول شروع می‌شود. قباد اول با پشتیبانی هپتالیان، یک لشگرکشی علیه رومی‌ها آغاز کرد. در سال ۵۰۲، او ارزروم در ارمنستان را گرفت، اما خیلی زود آن را از دست داد. در سال ۵۰۳، آمِد در دجله را گرفت. در سال ۵۰۴، هون‌های غربی از طرف قفقاز به طرف ارمنستان هجوم بردند که نتیجه آن یک آتش‌بس موقت شد، آمیدا مجدداً تحت کنترل روم درآمد و معاهده صلح هم در سال ۵۰۶ درگرفت. قباد در سال ۵۲۱/۵۲ کنترل لازستان را از دست داد، که حکمرانان آن از آن پس به رومی‌ها وفادار بودند؛ در سال ۵۲۴/۵۲۵ تلاش مشابهی هم از طرف ایبریایی‌ها درگرفت که باعث درگرفتن جنگی بین ایران و روم شد.,126
فرانسه در قرن ۱۷ متلاطم‌ترین دوره نمایشی و سیاسی را داشت. از ناآرامی تا ثبات کامل. این دوره را به دلیل احیای قوانین هنری یونان و روم، دوره «نئو کلاسیک» می‌نامند. فرانسوی‌ها در این دوره قواعد ارسطویی را استخراج و ترجمه کردند، و به اجرا درآوردند. مهم‌ترین گونه یا ژانر نمایش این دوره «تراژدی‌کمدی» بود. نمایشی ترکیبی از تراژدی و کمدی که در آن نمایش به شکل جدی و مصیبت بار آغاز می‌شود اما شادمانه و با پایان خوش به اتمام می‌رسد، یا دسته کم می‌توان گفت با مرگ و مصیبت به پایان نمی‌رسد. تراژدی کمدی‌های این دوره را بیشتر با عنوان «عشق در برابر شرف» یا «شنل و شمشیر» یا «عشق و وظیفه» نام می‌برند. چهره‌های برجسته نئو کلاسیک فرانسه عبارتند از:,129
فرهنگ کانادا از طیف گسترده‌ای از ملیت‌های تشکیل‌دهنده تأثیر پذیرفته‌است و سیاست‌هایی که باعث ارتقا به یک «جامعه عادلانه» می‌شوند توسط قانون اساسی این کشور محافظت شده‌اند. کانادا تأکید خاصی بر ایجاد برابری و فرا گیرندگی برای همه مردمش دارد. از چندگانگی فرهنگی معمولاً به عنوان یکی از دستاوردهای چشمگیر کانادا و یک عنصر تمایز آفرین کلیدی از هویت کانادایی، یاد می‌شود. هویت فرهنگی در کبک قدرتمند است و یک فرهنگ فرانسوی کانادایی متمایز از جامعه انگلیسی‌زبان کانادا وجود دارد. هرچند، کانادا درکل یک موزائیک فرهنگی و به عبارت دیگر مجموعه‌ای از خرده‌فرهنگ‌های قومی منطقه‌محور است.,124
بسیاری از مردم از اینترنت برای دسترسی به اخبار، پیش‌بینی آب وهوا، گزارش‌های ورزشی و جستجوی مطالب دربارهٔ علاقه‌مندی‌های خود استفاده می‌کنند. آن‌ها از گپ برخط، پیام‌رسان فوری و پست الکترونیک برای در تماس بودن با دوستان خود در سراسر دنیا و به شیوه‌ای شبیه به دوست مکاتبه‌ای که در قدیم رواج داشت، استفاده می‌کنند. اینترنت شاهد شمار رو به افزایش میزکارهای وب که در آن کاربران به فایل‌ها و تنظیمات خود دسترسی پیدا می‌کنند، بوده‌است. «کم‌کاری سایبری» (Cyberslacking) محل اتلاف جدی منابع سازمان‌هاست. کارمندان انگلیسی به‌طور میانگین ۵۷٪ از وقت خود را به وب گردی در حین کار می‌پردازند.,111
برنامه‌نویس‌های رایانه اغلب به دو گروه گسترده تقسیم می‌شوند: برنامه‌نویس‌های نرم‌افزار کاربردی و برنامه‌نویس‌های سیستم. برنامه‌نویس‌های نرم‌افزار کاربردی برنامه‌هایی می‌نویسند تا به وظیفه مشخصی رسیدگی کنند، مانند برنامه‌ای برای پی‌گیری سیاهه در یک سازمان. این گروه از برنامه‌نویس‌ها همچنین می‌توانند نرم‌افزار بسته‌بندی‌شده را اصلاح کنند یا نرم‌افزارهای کاربردی عمومی را که مکرراً از فروشنده‌های نرم‌افزار مستقل خریداری می‌شوند سفارشی کنند. در حالی که، برنامه‌نویس‌های سیستم، برنامه‌هایی برای نگهداری و بررسی نرم‌افزار سیستم‌های رایانه‌ای می‌نویسند، مانند سیستم‌های عامل و سامانه‌های مدیریت پایگاه داده‌ها. این گروه از برنامه‌نویس‌ها در دستورالعمل‌هایی که مشخص می‌کنند چگونه شبکه، پایانه‌های رایانه رومیزی (معمولاً شبکه شده و قدرتمندتر از رایانه شخصی هستند) (به انگلیسی: Workstations) و واحد پردازش مرکزی سیستم وظیفه‌های گوناگونی که به آن‌ها داده شده‌اند را رسیدگی می‌کنند و چگونه با تجهیزات جانبی مانند چاپگرها و دیسک‌گردان ارتباط برقرار می‌کنند تغییر ایجاد می‌کنند.,121
در ۳۱ اوت ۲۰۱۱، گوگل اعلام کرد کاربران ایرانی، هدف اصلی یک حمله به سرویس ایمیل این شرکت، یعنی جی‌میل بوده‌اند و برخی افراد تلاش کرده‌اند به ایمیل‌های کاربران دست پیدا کنند. این در حالی بود که چند ماه پیش از آن هم روش مشابهی برای دزدی اطلاعات کاربران جی‌میل، یاهو و اسکایپ به کار رفته بود. تعدادی از کاربران اینترنتی در ایران در زمان ورود به جی‌میل در مرورگر خود با اخطار امنیتی روبه‌رو می‌شدند که بدین معنی بود که کسی در تلاش برای دسترسی به ایمیل آن‌ها است. این هکرها به وبگاه کمپانی هلندی «دیجی نوتار» که یکی از چندین محلی که صلاحیت صدور تاییدیه‌های دیجیتال را دارد نفوذ کرده و از آن برای جعل هویت در گوگل استفاده کرده‌اند و زمانی که کاربران ایرانی به گوگل مراجعه کرده و از طریق آن به «جی میل» یا «گوگل داکیومنت» مراجعه می‌کنند مورد سوءاستفاده این هکرها قرار می‌گیرند. کمپانی هلندی به محض اطلاع از این موضوع به سرعت تاییدیه‌های هکرها را لغو کرد.,107
زبان رسمی هلند، هلندی است (به هلندی:Nederlands). این زبان شاخه‌ای از زبان‌های ژرمنی است و به آلمانی شباهت‌هایی دارد. برخی واژگان فرانسوی نیز از دوره‌های تسلط فرانسویان بر این منطقه، در زبان هلندی جذب شده‌اند. گسترهٔ جغرافیایی زبان هلندی به جز کشور هلند، استان‌های شمالی بلژیک را نیز دربر می‌گیرد. در مستعمرات هلند از جمله در سورینام لهجه‌های بومی‌شدهٔ هلندی کاربرد داشته‌است. همچنین هلندیان علاقه‌مند به یادگیری زبان‌های خارجی هستند به گونه‌ای که بین ۹۱ تا ۹۳ درصد آن‌ها به انگلیسی، ۷۱ درصد به آلمانی، ۲۹ درصد به فرانسوی و ۵ درصد به اسپانیایی می‌توانند محاوره کنند.,119
تولیدکنندگان مشتریان خود را برای تست نرم‌افزار به کار می‌گیرند، درحالی‌که هنوز برای ارائهٔ عمومی آماده نیستند. غالباً به آزمایش‌کننده‌های بتا که اختصاصاً انتخاب شده‌اند برای استفاده از نسخهٔ کاندید (نامزد) مبلغی پرداخت می‌گردد. وقتی که تیم موافقند کد منبع جدیدی به نسخه اضافه نخواهد شد آن نسخه (ارائه) Code Complete نامیده می‌شود. ممکن است هنوز Source Code برای برطرف کردن ایراد تغییر داده شود؛ و هنوز ممکن است برای مستندسازی، و فایل‌های اطلاعاتی و کد برای حالت آزمایشی یا موارد مفید، نیاز به تغییرات باشد. ممکن است به نسخه‌های آینده کدهای جدید اضافه شود.,127
اکوکاردیوگرام می‌تواند، در حدود معینی، ارزیابی دقیق جهت جریان خون و سرعت خون و بافت قلب را در هر نقطه دلخواه با استفاده از اثر داپلر تولید کند. یکی از محدودیت‌ها این است که پرتو اولتراسوند باید تا حد ممکن با جریان خون موازی باشد. اندازه‌گیری سرعت امکان ارزیابی مناطق و عملکرد دریچه قلب، ارتباطات غیرطبیعی بین سمت چپ و راست قلب، نشت خون از طریق دریچه‌ها (نارسایی دریچه) و محاسبه برون ده قلب را فراهم می‌کند. سونوگرافی تقویت شده با کنتراست با استفاده از ماده حاجب میکرو حباب پر از گاز می‌تواند برای بهبود سرعت یا سایر اندازه‌گیری‌های پزشکی مرتبط با جریان استفاده شود.,125
ماهواره‌ای که در مدار ژئوسنکرون زمین و در بالای خط استوا و هماهنگ با سرعت زمین و با زاویه‌ای ثابت، حرکت می‌کند، قسمت مشخصی از سطح زمین را به‌طور ثابت پوشش می‌دهد. از یک ایستگاه زمینی نیز به صورت یک نقطه ثابت، قابل رویت است. ماه، خورشید، و دیگر ستارگان و سیارات منظومه شمسی باعث تا ثیرگذاری بروی ماهواره در مدار خود می‌شود که احتمال جابجایی از مکان خود را دارد. برای جلوگیری از این مسیله، موتورهای مخصوصی که به وسیلهٔ ایستگاه‌های زمینی کنترل می‌شوند، کمک می‌کنند که ماهواره‌ها در مکان خود ثابت باقی بمانند.,120
بحران آب روستاهای خوزستان در طول سال ۱۳۹۸ بارها مطرح شد و برخی نمایندگان مجلس از وجود بحران آب در ۸۰۰ روستای این استان خبر داده بودند. در خردادماه ۱۳۹۸، ساکنان بخش غیزانیه در ۴۵ کیلومتری اهواز در اعتراض به این وضعیت تجمع کردند که با برخورد نیروی انتظامی مواجه شدند. محمد مولوی، نماینده آبادان گفت که شرایط نامناسب زندگی در این استان باعث شده که ۲۰۰ هزار نفر از استان خوزستان به سایر مناطق کوچ کنند. در شهریور سال ۱۳۹۷ پروانه سلحشوری، نماینده تهران خبر داد که در «چند سال اخیر»، حدود ۴۰۰ هزار نفر از این استان به شهرهای شمالی ایران مهاجرت کرده‌اند. ابراهیم متینیان، نماینده رامهرمز و رامشیر در مجلس نیز در این نشست گفت که طرح ۵۵۰ هزار هکتاری به «موضوع سیاسی» تبدیل شده و «عمداً اجرایی نمی‌شود».,108
موضوع آیات نخستین قرآن وظیفه انسان در برابر آفریننده خویش، رستاخیز مردگان، داوری پایانی خدا به همراه توصیف روشن عذاب‌های دوزخ و لذات و نعمات بهشت، و نشانه‌های خدا در همگی عرصه‌های زندگی انسان می‌باشد. تکالیف مذهبی که در این زمان از باورمندان خواسته شده بود اندک بودند: باور به خدا، درخواست برای بخشش گناهان، خواندن نمازهای مکرر، کمک به دیگران به‌ویژه نیازمندان، رد کردن تقلب و دوستی مال جهان (که در زندگی بازرگانی مکه، امری پراهمیت به‌شمار می‌رفت)، عفت و پاکدامنی و زنده به گور نکردن فرزندان دختر. آیات نخستین قرآن با پافشاری روی جنبه‌های اخلاقی آغاز و سپس به گونه فزآینده‌ای به انتقاد از خدایان مکه و بت‌پرستی پرداخت.,100
در بین سال های ۱۹۳۷ تا ۱۹۷۸، مسابقات با حضور ۱۶ تیم برگزار می‌شد. البته در مسابقات سال ۱۹۳۸ کشور اتریش جزوی از آلمان شده بود و به همین دلیل بود که مسابقات با حضور ۱۵ تیم برگزار شد. همچنین در مسابقات سال ۱۹۵۰ بود که به علت انصراف تیم های هند، اسکاتلند و ترکیه، مسابقات با شرکت ۱۳ تیم برگزار شد. در آن سال ها اکثر تیم های شرکت کننده، از اروپا و آمریکای جنوبی بودند و تیم‌های کمی از قاره های آمریکای شمالی، آسیا، آفریقا و اقیانوسیه در این رقابت ها بودند و اکثر آن ها نیز به راحتی از تیم های اروپایی و آمریکایی جنوبی، شکست می خوردند. در واقع تا سال ۱۹۸۶، تنها آمریکا بود که جزو قاره اروپا و آمریکای جنوبی نبود اما توانسته بود از دور نخست رقابت ها صعود کند و در رقابت های سال ۱۹۳۰، به دور نیمه نهایی رسیده بود. همچنین تیم‌های ملی کوبا در سال ۱۹۳۸، کره شمالی در سال ۱۹۶۶ و مکزیک در سال ۱۹۷۰ بود که توانسته بودند به مرحله یک چهارم نهایی برسند.,104
همیشه این سؤال از طرف والدینی که علاقه‌مند هستند فرزندشان شنا یاد بگیرد عنوان می‌شود، که چه موقع باید آموزش شنا را شروع کرد. زمان مناسب برای آموزش شنا، سن ۷ یا ۸ سالگی می‌باشد. علمای تربیت بدنی و متخصصین آموزش شنا، شش سالگی را برای آموزش انتخاب کرده‌اند. وضع مطلوب اینست که از سنین پایین بچه آموزش را شروع نماید ولی در سنین پایین شنا را به صورت فنی یادنمی‌گیرد. زیرا قدرت درک بعضی از حرکات را ندارد و هماهنگی لازم جهت یک مهارت به سختی (هماهنگی دست و پای کرال سینه) انجام می‌پذیرد. شنا برای کودکان زیر سه سال فقط به صورت به اصطلاح شنای سگی است که کودک سر را بیرون از آب نگه داشته و شنا می‌کند.,128
به‌طور کلی با هر حرکت دست در شنای پروانه دو بار پای پروانه زده می‌شود. اولین حرکت پا به سمت پایین و عقب موقعی انجام می‌شود که کف دست‌ها از روی آب به داخل آب فرورفته و آب را به طرفین می‌کشد و دومین حرکت پا نیز هنگامی صورت می‌گیرد که دست‌ها در مرحله فشار قرار داشته و به طرف یکدیگر نزدیک می‌شوند و در واقع حرکت هنگامی شروع می‌شود که مرحله فشار رو به اتمام بوده و کف دست‌ها از ناحیه کمر به سمت عقب بدن در حال حرکت می‌باشند. توجه داشته باشید پای اول در شنای پروانه برای راندن بدن به جلو و پای دوم صرفاً جهت نگهداری و تکیه بدن روی آب نقش مهمی را ایفا می‌نمایند. به محض ورود دست‌ها در آب، عمل بازدم شروع می‌شود و هنگامی که دست‌ها مجدداً از نزدیک باسن آب را ترک می‌کنند سر به عقب کشیده شده و در این مرحله که دم صورت می‌گیرد.,116
یکی دیگر ار عوامل مخالفت با دارالفنون رواج آموزش پزشکی اروپایی بود. طرفداران نظام پزشکی سنتی، تشکیلات جدید را خطری جدی برای موقعیت شغلی خود احساس می‌کردند. در کلاس‌های طب تا مدت‌ها فقط به تدریس نظری بسنده می‌شد و، از ترس تکفیر، تشریح میسر نبود. اما در ۱۲۳۲ که یکی از بیگانگان به طرز مشکوکی درگذشت به درخواست بازماندگان، یاکوب ادوارد پولاک برای کشف علت مرگ او را با حضور شاگردان کالبدشکافی کرد. سال‌ها بعد یک معلم زبان فرانسه به نام بارنه‌یود پیش از مرگ، جسد خود را به مدرسه فروخت تا با مرگ وی شاگردان به تشریح بدن او بپردازند.,102
این شهرستان از نظر جاذبه‌های طبیعی یکی از زیباترین شهرهای شمالی استان فارس است. وجود تفریگاهی از جمله چشمه شهید بابایی، تنگه پیرچوپان، بلاغی، نهالستان منابع طبیعی، جنگل سرپنیران، باغ قوام، پایانه مسافربری و بخش هخامنش (شامل آرامگاه کورش بزرگ و مجموعه باستانی پاسارگاد) جاذبه‌های متعددی را فراهم کرده و موجب جلب توریست در منطقه شده‌است. وجود بقاع متبرکه و مقدس از جمله امامزاده حسین، امامزاده سلطان سید حمید، امامزاده عقیل و زیارتگاه شاه مردان باعث گردیده که سالانه از دیگر مناطق جهت زیارت و تفریح در این شهرستان حضور یابند. در سال‌های اخیر احداث پروژه‌های اساسی و زیر بنایی اثرات مفیدی برای شهرستان و روستاهای آن داشته‌است.,109
دریای خزر دارای ذخایر عظیمی از سوخت‌های هیدروکربنی می‌باشد. کشور جمهوری آذربایجان، عمده برداشت‌کننده منابع انرژی این دریا می‌باشد. در سال۲۰۱۲، جمهوری آذربایجان روزانه ۸۹۰ هزار بشکه نفت از حوزه جغرافیایی خود در دریای خزر استخراج می‌کرد. رتبه‌های بعدی را ترکمنستان با ۴۶ هزار بشکه، روسیه با ۶ هزار بشکه و قزاقستان با ۳ هزار بشکه نفت، به خود اختصاص می‌دهند. این در حالی است که کشور ایران، در این منطقه هیچگونه برنامه عملی در خصوص برداشت نفت و گاز تدوین نکرده‌است و تنها به مطالعه و نقشه‌برداری اکتفا کرده‌است که دلیل آن را می‌توان در اتکای ایران به منابع عظیم و قابل اتکای نفت و گاز موجود در خلیج فارس عنوان کرد.,117
