question,answer,model_answer,id,context_id
هرمز سوم در باختر با چه کسی جنگید؟,هپتالیان,بلاشک ساسانیان و هپتالیان بر سر منطقهٔ باختر با هم درگیر شدند.,1642693,126
چه کسی پیرو برکناری قباد اول توسط اشراف، به تخت شاهنشاهی ساسانی نشست؟,جاماسپ,<ANSWER>جاماسپ</ANSWER>,1642854,126
واحد های بزرگ سیاسی تمدن یونان چه نام دارد؟,پولیس,<ANSWER>پولیس</ANSWER>,1647080,129
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,<ANSWER>مدارهای نزدیک به زمین</ANSWER>,1632806,120
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,<ANSWER>شوشاندخت</ANSWER>,1642525,126
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,<ANSWER>فرهنگ هیپ هاپ</ANSWER>,1617304,110
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,<ANSWER>اعطای امتیازنامه دارسی</ANSWER>,1614356,108
منظور از آتریاد چیست؟,تیپ,<ANSWER>به ترکیبی شیمیایی که دارای سه عنصر باشد</ANSWER>,1637361,123
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,<ANSWER>محدث نوری</ANSWER>,1601228,100
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,<ANSWER>به معنای یک به توان صد</ANSWER>,1611765,107
کشور شیلی در کدام قاره قرار دارد؟,,<ANSWER>آمریکای جنوبی</ANSWER>,1606748,104
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,<ANSWER>روشی برای شناکردن</ANSWER>,1645692,128
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,<ANSWER>میرزا حسین‌خان سپه‌سالار</ANSWER>,1608469,105
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,<ANSWER>فرانسه</ANSWER>,1637612,123
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,<ANSWER>برای جلوگیری از مسمومیت اکسیژن و نارسیس نیتروژن در عمق بالا</ANSWER>,1625265,114
بعد از کودتا اسفند 1299 مسعود خان به چه سمتی رسید؟,وزیر جنگ,وزیر جنگ</ANSWER>,1637546,123
در جنگ جهانی اول و جنگ جهانی دوم، ژاپن در کدام جبهه قرار داشت؟,در جنگ جهانی اول، ژاپن از متفقین بود و در جنگ جهانی دوم با متفقین می‌جنگید.,<ANSWER>ژاپن در جنگ جهانی اول در جبهه متفقین و در جنگ جهانی دوم در جبهه متحدین قرار داشت.</ANSWER>,1622330,113
بودجه تئاتر ملی از کجا تأمین می گشت؟,امکانات و بودجهٔ خود را از محل خیریه آموزش و پرورش تأمین می‌کرد,<ANSWER>بودجهٔ تئاتر ملی از طریق قرعه‌کشی سالانهٔ بخت‌آزمایی در سال ۱۹۴۴ تامین می‌گشت</ANSWER>,1647251,129
اکسیژن عضوی از خانواده عناصر کدوم گروه است؟,گروه کالکوژن,<ANSWER>کالکوژن‌ها</ANSWER>,1624231,114
در دهه‌های ۱۹۶۰ تا ۱۹۸۰ گرایش غالب حزب جمهوری‌خواهان را چه گروهی شکل می‌دادند؟,میانه‌روها,<ANSWER>محافظه‌کاران</ANSWER>,1635520,122
چه کسی کادوسیان را شکست داد؟,نی‌نوس شاه آشوری,<ANSWER>پیروز یکم</ANSWER>,1609850,106
کدام‌یک از فرهنگ‌ها در فرهنگ ژاپن تاثیر داشتند؟,فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است.,<ANSWER>فرهنگ چین و فرهنگ کره</ANSWER>,1623174,113
اینترنت از کدام دههٔ به صورت یک شبکهٔ همگانی و جهان‌شمول درآمد؟,از اواسط دههٔ ۱۹۹۰,<ANSWER>دهه ۱۹۹۰</ANSWER>,1618876,111
اینترنت چیست؟,شبکه‌ای از شبکه‌ها,<ANSWER>اینترنت (به انگلیسی: Internet) سامانه‌ای جهانی از شبکه‌های رایانه‌ای به هم پیوسته‌است که از پروتکل TCP/IP برای ارتباط با میلیاردها کاربر در سراسر جهان استفاده می‌کند.</ANSWER>,1618869,111
چرا شوروی نظر مساعدی نسبت به رضاخان داشت؟,رهبر مبارزهٔ ملی علیه نفوذ بریتانیا,<ANSWER>به دلیل سیاست بی‌طرفانه او</ANSWER>,1637664,123
کلمه‌ی گوگل برگرفته از چه واژه‌ای است؟,,<ANSWER>گوگول</ANSWER>,1611604,107
احزاب عمده ی هلند را نام ببرید؟,دموکرات مسیحی، سوسیال دموکرات (کار)، سوسیالیست، حزب سبزها و لیبرال,<ANSWER>لیبرال، سوسیال دموکرات، دموکرات مسیحی</ANSWER>,1631505,119
برای چه کسانی دشوار است که بتوانند وارد جریان اصلی ایالات متحده آمریکا بشوند؟,هنرمندان هیپ هاپ آسیایی,<ANSWER>مسلمانان</ANSWER>,1617531,110
تا چند سال بعد از هوور، جمهوری‌خواهان از قدرت کنار گذاشته شدند؟,۲۰,<ANSWER>۲۰ سال</ANSWER>,1635877,122
تمدن اژه ای پیشاهنگ کدام تمدن بود؟,تمدن یونانی,<ANSWER>تمدن یونان باستان</ANSWER>,1647022,129
ایوان ساترلند، درچه سالی، لارنس رابرتس را بر آن گماشت که پروژه‌ای را برای ایجاد یک شبکه آغاز نماید؟,سال ۱۹۶۵,سال ۱۹۶۶</ANSWER>,1619107,111
در سال ۱۸۴۶ اولین مسابقه ی شنا در کجا و در چه مسافتی برپا شد؟,در مسافت ۴۴۰ یارد در استرالیا,<ANSWER>استرالیا، ۴۰۰ یارد</ANSWER>,1645462,128
ریشهٔ شبکهٔ عظیم جهانی اینترنت به کدام دههٔ بازمی‌گردد؟,دههٔ ۱۹۶۰,<ANSWER>دهه ۱۹۶۰</ANSWER>,1618874,111
گالریوس در نبرد های پیاپی برچه کسی پیروز شد؟,نرسه,<ANSWER>نرسیس</ANSWER>,1642193,126
روش‌های ذخیره سازی اکسیژن را نام ببرید؟,شامل کپسول اکسیژن با فشار بالا، فوق سردسازی و ترکیبات شیمیایی است,<ANSWER>گاز فشرده و اکسیژن مایع</ANSWER>,1625145,114
نخستین آثار ادبیات ژاپنی به کدام زبان سروده شدند؟,زبان چینی کلاسیک,<ANSWER>زبان چینی</ANSWER>,1623176,113
در ژوئن ۲۰۲۰، دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت چه مبلغی کرد؟,۵ میلیارد دلار,<ANSWER>۵ میلیارد دلار</ANSWER>,1612339,107
دکترین کلیسای کاتولیک بر چه چیزی استوار است؟,اعتقاد نامه نیقیه,<ANSWER>کتاب مقدس و سنت مقدس</ANSWER>,1630215,118
لاوازیه چه کسی بود؟,اولین کسی بود که اکسیژن را به‌عنوان یک عنصر شیمیایی مستقل به‌شمار آورد و به‌درستی به نقش آن در سوختن اشاره کرد,<ANSWER>یک شیمی‌دان فرانسوی</ANSWER>,1624295,114
تعداد ضربه‌های پا در طی یک دور در شنای پروانه به طور عمومی نسبت به کرال سینه چگونه است؟,کمتر,<ANSWER>کمتر</ANSWER>,1627716,116
پاریس در کدام قاره قرار گرفته‌است؟,اروپا,<ANSWER>اروپا</ANSWER>,1605288,103
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» چه تصاویری گردآوری شده‌است؟,تصویرهای گوناگونی از نقوش شیر و خورشید,<ANSWER>تصاویر مربوط به شیر و خورشید</ANSWER>,1608741,105
آبراهام لینکلن در انتخابات ریاست جمهوری در سال ۱۸۶۰ چه کسی را شکست داد و وارد کاخ سفید شد؟,,<ANSWER>استیون داگلاس، جان سی. برکینریج و جان بل</ANSWER>,1635700,122
اولین پادشاه دوران قاجار چه کسی بود؟,,<ANSWER>آغامحمدخان قاجار</ANSWER>,1608256,105
شنا در برنامه های نظامی تمدن های باستانی چه جایگاهی داشت؟,,<ANSWER>به عنوان یک مهارت مهم در برنامه های نظامی آن ها</ANSWER>,1645296,128
موسیقی هیپ هاپ، چگونه است؟,به صورت اشعار بسیار ریتمیک پر از تکنیک‌هایی همچون همگونی مصوت‌ها، تجانس آوایی، و قافیه است,<ANSWER>شامل رپ‌خوانی و ضرب‌آهنگ‌های ریتمیک است</ANSWER>,1616959,110
در شنای پروانه حرکت پاها مانند حرکت چه چیزی در آب است؟,دلفین,<ANSWER>دلفین</ANSWER>,1627662,116
شاهنشاهی ساسانی را چه کسی پایه گذاری کرد؟,اردشیر بابکان,<ANSWER>اردشیر بابکان</ANSWER>,1641784,126
پاتریشیا کرون، مایکل کوک بر اساس متن و تحقیقات باستان‌شناسی معتقدند مسجد الحرام در کجا واقع شده‌است؟,شمال غربی شبه جزیره عربستان,<ANSWER>شمال غربی عربستان</ANSWER>,1601119,100
روش پزشکی پرفشار توسط چه کسی ابداع شد؟,,<ANSWER>هنری وایت‌هد</ANSWER>,1625209,114
شعار غیررسمی شرکت گوگل توسط چه کسی ابداع شد؟,مهندس گوگل امیت پاتل,<ANSWER>پل بوشایت</ANSWER>,1611603,107
شنا در کدام گروه از ورزش ها قرار می گیرد؟,ورزش‌های آبی,<ANSWER>ورزش‌های انفرادی</ANSWER>,1645347,128
چه چیز هایی اثرات اجتماعی بسیاری در طرز رفتار جوان مدرن داشته‌است؟,موفقیت چشمگیر هیپ هاپ --- مخصوصاً سبک رپ گانگستری ---,Error: list index out of range,1617248,110
در چه سالی با تصویب مجلس شورای ملی به رضاشاه لقب رضاشاه کبیر داده شد؟,۱۳۲۸,<ANSWER>سال ۱۳۱۴</ANSWER>,1637229,123
نام عموی شورشی محمد شاه قاجار که بود؟,حسین‌علی میرزا فرمانفرما,<ANSWER>حسینعلی‌میرزا فرمانفرما</ANSWER>,1608417,105
درچه تاریخی بهرام دوم درگذشت؟,۲۹۳,<ANSWER>سال ۲۹۳ میلادی</ANSWER>,1642134,126
شاپور دوم امپراتوری خود را در کجا برقرارکرد؟,نواحی جنوبی,<ANSWER>مشرق</ANSWER>,1642354,126
زیباترین تپه گیلان چه نام دارد؟,,اولسبلنگاه,1610147,106
دارالفنون در چه سالی تأسیس شد؟,۱۲۳۰ خورشیدی (۱۸۵۱ میلادی),<ANSWER>سال ۱۲۳۰</ANSWER>,1603892,102
بسیاری از برنامه‌نویس‌های حرفه‌ای به چه عنوان برای شرکت‌های مشاوره‌ای در محل‌های خدمت گیرنده کار می‌کنند؟,پیمانکار,<ANSWER>مشاور</ANSWER>,1634181,121
واژه اینترنت اولین‌بار توسط چه کسی استفاده شد؟,,<ANSWER>وینتون سرف</ANSWER>,1619228,111
به چه علت برابرسازی پرداختی ها توسط دولت فدرال کانادا صورت گرفت؟,تا به مردم اطمینان ببخشد که استانداردهای برابری در مورد ارائهٔ خدمات و اخذ مالیات، در میان استان‌های فقیر و غنی، ارائه می‌شود.,برای حفظ یک استاندارد زندگی قابل مقایسه و خدمات عمومی قابل مقایسه با نرخ مالیات قابل مقایسه,1639183,124
موزهٔ ارمیتاژ در کدام کشور است؟,روسیه,<ANSWER>روسیه</ANSWER>,1608579,105
به طور کلی با هر حرک دست در شنای پروانه چند بار پای پروانه زده‌ می‌شود؟,دو بار,<ANSWER>دو بار</ANSWER>,1627768,116
چرا جاماسپ مالیات ها را کاهش داد؟,به منظور کمک به کشاورزان و فقرا,<ANSWER>برای کاهش بار مالی بر مردم</ANSWER>,1642858,126
در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به چند نفر رسید؟,حدود ۲۱۰ هزار نفر,<ANSWER>۴۶٬۳۱۰</ANSWER>,1639296,124
چه ورزش هایی تبدیل به سرگرمی  شده اند؟,چوگان,<ANSWER>ورزش‌های رزمی، ورزش‌های تیمی و دو و میدانی</ANSWER>,1642638,126
چه کسانی بر اساس متن و تحقیقات باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است؟,پاتریشیا کرون، مایکل کوک,<ANSWER>پاتریشیا کرون و مایکل کوک</ANSWER>,1601118,100
چه کسی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است؟,آیرونساید,<ANSWER>مجلس</ANSWER>,1637483,123
هاب را تعریف کنید؟,,<ANSWER>هاب ابزاری است که از طریق آن می‌توان چندین دستگاه اترنت را به یکدیگر وصل کرد.</ANSWER>,1618938,111
الکسا چه چیز را بعنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده‌است؟,اینترنت وبگاه گوگل در آمریکا,<ANSWER>گوگل</ANSWER>,1611712,107
اولین گروه رپ که یک آلبوم هیپ هاپ رومانیایی عرضه کرد در آن به چه موضوعاتی پرداخت؟,«اجتماعی»,مسائل اجتماعی، نقد جامعه، خشونت و زندگی در محله‌های فقیرنشین,1617760,110
شرکت اَپل مجوز استفاده از آی‌اواس برای چه چیزی را نمی‌دهد؟,برای نصب بر روی سخت‌افزارهای شخص ثالث,<ANSWER>سخت‌افزار غیر اَپل</ANSWER>,1621048,112
طوایف عرب خوزستان همگی از چه دسته‌ ای بودند؟,دسته کوچ نشین، غیر ثابت و با اصل و نسب مشخص در شبه جزیره عربستان,<ANSWER>طوایف عرب</ANSWER>,1614298,108
چرا ارمنستان همیشه مهم بوده است؟,اهمیت استراتژیک و اقتصادی داشته و به عنوان سرزمین حایل بین ایران و روم بوده.,<ANSWER>موقعیت جغرافیایی آن</ANSWER>,1642076,126
شنا برای کودکان زیر سه سال به چه صورت می باشد؟,شنا برای کودکان زیر سه سال فقط به صورت به اصطلاح شنای سگی است,<ANSWER>به صورت کلاس‌های والد-کودک که بر آشنایی با آب، ایمنی و مهارت‌های اولیه بقا تمرکز دارد</ANSWER>,1645691,128
استان ها مسئول اکثر چه برنامه هایی هستند؟,برنامه‌های اجتماعی,<ANSWER>برنامه‌های اجتماعی و رفاهی</ANSWER>,1639184,124
شگون ها تا چه سده‌ای بر ژاپن حکومت می‌کردند؟,تا نیمه اول سده نوزدهم حکومت مستبدانه خود را بر ژاپن ادامه دادند.,<ANSWER>سده نوزدهم</ANSWER>,1622839,113
انواع طبل را نام ببرید؟,,<ANSWER>طبل‌های دف، طبل‌بیس، طبل گونگ و طبل‌های دایره‌ای</ANSWER>,1616965,110
آی‌اواس در ابتدا برای کدام دستگاه‌ها توسعه داده می‌شد؟,آیفون و آی‌پاد,<ANSWER>آیفون</ANSWER>,1621047,112
به چه علت پیشینه‌ی تاریخی پاسارگاد در طول تاریخ ناشناخته مانده‌است؟,تغییرنام این شهر,<ANSWER>پاسخی وجود ندارد</ANSWER>,1615631,109
ابن بلخی در بیان راه‌های بین شیراز و اصفهان چند راه اصلی نام می‌برد؟,سه راه اصلی,<ANSWER>دو</ANSWER>,1615739,109
زبان‌های برنامه‌نویسی محبوبی که برای وب و نرم‌افزارهای کاربردی تجاری استفاده می‌شوند را نام ببرید؟,جاوا، سی شارپ، ویژوال بیسیک و پی‌اچ‌پی,<ANSWER>جاوا، پایتون، سی شارپ و پی‌اچ‌پی</ANSWER>,1634237,121
در سال ۱۲۸۸ رضاخان برای چه چیزی به زنجان و اردبیل اعزام شد؟,خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,<ANSWER>سرکوب شورش</ANSWER>,1637356,123
مایکل سندی‌ووجیس در چه سالی متولد شد؟,,<ANSWER>۱۷۸۸</ANSWER>,1624297,114
چه زمانی جام توماس لیپتون به عنوان نخستین دوره رقابت‌های جام جهانی شناخته می‌شد؟,,<ANSWER>پیش از سال ۱۹۳۰</ANSWER>,1606523,104
شالبافی در کجا و توسط چه کسانی دراستان گیلان رایج است؟,شالبافی در تالش و توسط گالش‌ها,<ANSWER>روستاهای ییلاقی دیلمان و اشکورات، توسط زنان و دختران</ANSWER>,1610202,106
پس از چه رویدادی فعالیت‌های سازمان دارِ تئاتر در اروپای غربی متوقف شد؟,پس از سقوط امپراتوری روم,جنگ جهانی دوم,1647194,129
نام فرد ایرانی که پست‌هایی همچون مشاور ارشد مدیر عامل گوگل و نایب‌رئیس ارشد بخش فروش را در این شرکت داشت چه بود؟,امید کردستانی,امید کردستانی</ANSWER>,1612111,107
دوره‌ی مداری چیست؟,,<ANSWER>زمانی که طول می کشد تا یک شی به دور شیء دیگری بچرخد و یک مدار کامل را طی کند</ANSWER>,1632690,120
بزرگترین مشکل استان خوزستان در حال حاضر چیست؟,,<ANSWER>مشکلات زیست‌محیطی</ANSWER>,1614521,108
کریم‌خان زند خود را چه نامید؟,او خود راوکیل الرعایا نامید,<ANSWER>وکیل الرعایا</ANSWER>,1602561,101
چه چیزی در استان خوزستان قابلیت بالقوهٔ کشاورزی فراوانی ایجاد کرده‌است؟,ساختار جلگه‌ای استان خوزستان,منابع آب دائمی و خاک حاصل‌خیز,1614462,108
بعد از لیندون بنیز جانسون چه کسی رئیس جمهور شد؟,ریچارد نیکسون,<ANSWER>ریچارد نیکسون</ANSWER>,1635932,122
مدار ژئوسنکرون زمین در چه فاصله‌ای از سطح زمین است؟,۳۶۰۰۰ کیلومتری,<ANSWER>۳۵٬۷۸۶ کیلومتری</ANSWER>,1633021,120
علی بن موسی الرضا چگونه به شهادت رسید؟ ,,<ANSWER>به شهادت رسیدن</ANSWER>,1607979,105
در قرن ۴ام اسلامی برای جمع‌آوری قرائت‌های مختلف قرآنی برای هر قاری چند راوی قرار دادند؟,دو,<ANSWER>دو راوی</ANSWER>,1601393,100
کادوسیان بنابر استرابو در کجا می‌زیستند؟,در کرانه جنوب غرب دریای خزر و جنوب ارس بین آلبانی در شمال و ماردی در شرق یعنی در بخش کوهستانی مادیه پیرامون پاراچوآتراس,<ANSWER>کوهستان‌های جنوب غربی دریای خزر</ANSWER>,1609849,106
ماهواره‌های مدارات قطبی جهت چه کاری مورد استفاده قرار می‌گیرند؟,مشاهدۀ سطح زمین,<ANSWER>مکان‌یابی اجرام</ANSWER>,1632805,120
در سال 1963، کدام شهرستان کوچک در شمال به گیلان ملحق شد؟,آستارا,<ANSWER>آستارا</ANSWER>,1610316,106
نسخه‌های تست بتا به وسیله ی چه گروهی اجرا شد؟,به وسیلهٔ گروهی غیر از تولیدکنندگان,<ANSWER>کاربران نهایی</ANSWER>,1644189,127
در چه سالی دوپلر مقاله ای راجع به اثر دوپلر بر روی همه ی امواج نوشت؟,۱۸۴۲,<ANSWER>۱۸۴۲</ANSWER>,1640407,125
آزمایش های سندی‌ووجیس در چه کتابی منتشر شده؟,در مورد احتراق,<ANSWER>کتاب آزمایشات شیمی فیزیکی</ANSWER>,1624460,114
تعدادی از موضوعات نقاشی انسان های گذشته را نام ببرید.,تصاویری همچون اهلی کردن حیوانات، کشت گندم، اختراع سفالگری و ترک زندگی کوچنشینی یعنی هنگامی که شکارچیان و تهیه‌کنندگان غذا در مکانی مستقر می‌شوند و به کشاورزی و دامداری رو می‌آورند,حیوانات، صحنه‌های شکار، رقص‌ها، و مراسم آیینی,1646969,129
سنگ نوشته ای که در نزدیکی تخت جمشید است به چه زبانی است؟,فارسی و یونانی,<ANSWER>فارسی باستان</ANSWER>,1642019,126
