question,answer,model_answer,clean_model_answer,is_correct
تأثیر تمدن اژه ای بر تئاتر را شرح دهید.,تمدن باستانی اژه‌ای تأثیر مستقیم زیادی در تحول تئاتر نداشت، اما تئاتر غیرمستقیم آن فوق‌العاده زیاد بود، زیرا خدایان، قهرمانان و تاریخ همین مردم بود که مواد اولیهٔ ایلیاد و ادیسهٔ هومر و اکثر درام‌های یونانی را فراهم آورد. از این رو این تمدن‌ها به جهات مختلف زیربنای ادبیات غرب به‌شمار می‌آیند,متن ارائه شده هیچ اطلاعاتی درباره تأثیر تمدن اژه ای بر تئاتر ندارد.,متن ارائه شده هیچ اطلاعاتی درباره تأثیر تمدن اژه ای بر تئاتر ندارد.,False
مساحت کشور کانادا را بگویید.,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,True
ریشه یونانی اکسیژن چیست؟,اوکسیس,Oxygen,Oxygen,False
در چه سالی استفاده از واژه اینترنت معمول شد و مجازا برای اشاره به وب هم استفاده شد؟,سال ۱۹۹۶,اواسط دهه ۱۹۹۰,اواسط دهه ۱۹۹۰,False
انجمن حزبی جمهوری‌خواهان آزادی چیست؟,,حزب آزادی (راست افراطی به رهبری خیرت ویلدرس),حزب آزادی (راست افراطی به رهبری خیرت ویلدرس),False
شاهکار بینش‌پژوه چند آلبوم منتشر کرد؟,,اطلاعاتی در مورد تعداد آلبوم‌های منتشر شده توسط شاهکار بینش‌پژوه در متن موجود نیست.,اطلاعاتی در مورد تعداد آلبوم‌های منتشر شده توسط شاهکار بینش‌پژوه در متن موجود نیست.,True
موسیقی هیپ_هاپ در اوایل کدام دهه ایجاد شد؟,دهه ۱۹۷۰,دهه ۱۹۷۰,دهه ۱۹۷۰,True
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,خراسان شمالی,خراسان شمالی,False
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
کار برنامه‌نویس بزرگ رایانه چیست؟,,آزمودن و اشکال‌زدایی برنامه‌ها، تعمیر و نگهداری، و تولید راهنماهای کاربر.,آزمودن و اشکال‌زدایی برنامه‌ها، تعمیر و نگهداری، و تولید راهنماهای کاربر.,False
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,۴ سال,۴ سال,False
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,محمد حسن خان,محمد حسن خان,False
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,متن ارائه شده اطلاعاتی دربارهٔ صربیا و رپ در اروپا ندارد.,متن ارائه شده اطلاعاتی دربارهٔ صربیا و رپ در اروپا ندارد.,False
مسیحی پروتستان چگونه است؟,,مسیحی پروتستان به عنوان یک مذهب مسیحی، به اصول و اعتقادات خاص خود پایبند است که شامل تأکید بر ایمان شخصی، مطالعهٔ کتاب مقدس و رد برخی از آموزه‌های کلیسای کاتولیک می‌شود.,مسیحی پروتستان به عنوان یک مذهب مسیحی، به اصول و اعتقادات خاص خود پایبند است که شامل تأکید بر ایمان شخصی، مطالعهٔ کتاب مقدس و رد برخی از آموزه‌های کلیسای کاتولیک می‌شود.,False
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,مرحله ای که نرم افزار اشکال زدایی می گردد.,مرحله ای که نرم افزار اشکال زدایی می گردد.,True
جین آئو- یونگ در چه سالی متولد شد؟َ,,اطلاعاتی در مورد سال تولد جین آی‌و-یونگ در متن موجود نیست.,اطلاعاتی در مورد سال تولد جین آی‌و-یونگ در متن موجود نیست.,True
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),سال ۱۹۹۷,سال ۱۹۹۷,False
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
طبق مطالعات انجام شده انسان ها از چند سال پیش مراسم آئینی اجرا می کردند؟,انسان از ۳۰۰۰۰ سال پیش مراسم آئینی اجرا می‌کرده‌است,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
حزب دموکرات ایالات متحده آمریکا توسط چه کسانی تأسیس شد؟,,متن موجود اطلاعاتی دربارهٔ تأسیس حزب دموکرات ایالات متحده آمریکا ارائه نمی‌دهد.,متن موجود اطلاعاتی دربارهٔ تأسیس حزب دموکرات ایالات متحده آمریکا ارائه نمی‌دهد.,True
ماده حاجب پرتونگاری چیست؟,,ماده حاجب پرتونگاری در متن موجود نیست.,ماده حاجب پرتونگاری در متن موجود نیست.,False
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟ ,غلامحسین افضل‌الملک,جاسم حسین,جاسم حسین,False
مشیرالدوله در خرداد چه سالی دولت تشکیل داد؟,۱۳۰۲,۱۳۰۰,۱۳۰۰,False
"پیوندهای هیدروژن بین مولکول‌های آب آنها را چند درصد نزدیکتر از آنچه انتظار می‌رود در یک مایع ساده که فقط دارای نیروی واندروالسی باشد، قرار داده‌است؟
",تقریباً ۱۵٪,نمی‌توان از متن اطلاعاتی در این مورد یافت.,نمی‌توان از متن اطلاعاتی در این مورد یافت.,False
هرمز سوم در باختر با چه کسی جنگید؟,هپتالیان,بلاش ششم,بلاش ششم,False
چه کسی پیرو برکناری قباد اول توسط اشراف، به تخت شاهنشاهی ساسانی نشست؟,جاماسپ,جاماسپ (زاماسپ),جاماسپ (زاماسپ),True
واحد های بزرگ سیاسی تمدن یونان چه نام دارد؟,پولیس,پولیس,پولیس,True
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,مدار هم‌زمان با زمین,مدار هم‌زمان با زمین,False
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,اطلاعاتی در مورد ازدواج یزگرد اول در متن موجود نیست.,اطلاعاتی در مورد ازدواج یزگرد اول در متن موجود نیست.,False
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,یک یا چند خواننده رپ که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند.,یک یا چند خواننده رپ که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند.,False
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,حفر نخستین چاه نفت ایران و خاورمیانه در سال ۱۲۸۷ خورشیدی,حفر نخستین چاه نفت ایران و خاورمیانه در سال ۱۲۸۷ خورشیدی,True
منظور از آتریاد چیست؟,تیپ,تیپ,تیپ,True
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,نوری,نوری,False
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,معنی واژهٔ گوگول در متن ارائه نشده است.,معنی واژهٔ گوگول در متن ارائه نشده است.,False
کشور شیلی در کدام قاره قرار دارد؟,,آمریکا,آمریکا,False
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,میرزا تقی خان امیرکبیر,میرزا تقی خان امیرکبیر,True
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,افغانستان,افغانستان,False
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,برای جلوگیری از اثر مسمومیت با اکسیژن.,برای جلوگیری از اثر مسمومیت با اکسیژن.,True
بعد از کودتا اسفند 1299 مسعود خان به چه سمتی رسید؟,وزیر جنگ,حاکم شرع دادگاه‌های انقلاب,حاکم شرع دادگاه‌های انقلاب,False
در جنگ جهانی اول و جنگ جهانی دوم، ژاپن در کدام جبهه قرار داشت؟,در جنگ جهانی اول، ژاپن از متفقین بود و در جنگ جهانی دوم با متفقین می‌جنگید.,متفقین,متفقین,False
بودجه تئاتر ملی از کجا تأمین می گشت؟,امکانات و بودجهٔ خود را از محل خیریه آموزش و پرورش تأمین می‌کرد,متن ارائه شده اطلاعاتی درباره تأمین بودجه تئاتر ملی ندارد.,متن ارائه شده اطلاعاتی درباره تأمین بودجه تئاتر ملی ندارد.,False
اکسیژن عضوی از خانواده عناصر کدوم گروه است؟,گروه کالکوژن,گروه ۱۶ جدول تناوبی,گروه ۱۶ جدول تناوبی,True
در دهه‌های ۱۹۶۰ تا ۱۹۸۰ گرایش غالب حزب جمهوری‌خواهان را چه گروهی شکل می‌دادند؟,میانه‌روها,فعالان ضد برده‌داری,فعالان ضد برده‌داری,False
چه کسی کادوسیان را شکست داد؟,نی‌نوس شاه آشوری,کریم خان زند,کریم خان زند,False
کدام‌یک از فرهنگ‌ها در فرهنگ ژاپن تاثیر داشتند؟,فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است.,چینی، هندی، اروپایی، آمریکای شمالی,چینی، هندی، اروپایی، آمریکای شمالی,False
اینترنت از کدام دههٔ به صورت یک شبکهٔ همگانی و جهان‌شمول درآمد؟,از اواسط دههٔ ۱۹۹۰,اواسط دههٔ ۱۹۹۰,اواسط دههٔ ۱۹۹۰,True
اینترنت چیست؟,شبکه‌ای از شبکه‌ها,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
چرا شوروی نظر مساعدی نسبت به رضاخان داشت؟,رهبر مبارزهٔ ملی علیه نفوذ بریتانیا,شوروی به دلیل حمایت رضاخان از قوای قزاق (طرفدار روسیه) در جنگ جهانی اول و درگیری با ملیون (طرفدار آلمان) نظر مساعدی نسبت به او داشت.,شوروی به دلیل حمایت رضاخان از قوای قزاق (طرفدار روسیه) در جنگ جهانی اول و درگیری با ملیون (طرفدار آلمان) نظر مساعدی نسبت به او داشت.,False
کلمه‌ی گوگل برگرفته از چه واژه‌ای است؟,,عدد گوگل (googol),عدد گوگل (googol),False
احزاب عمده ی هلند را نام ببرید؟,دموکرات مسیحی، سوسیال دموکرات (کار)، سوسیالیست، حزب سبزها و لیبرال,ال‌پی‌اف (فهرست پیم فورتاین) و حزب آزادی (به رهبری خیرت ویلدرس),ال‌پی‌اف (فهرست پیم فورتاین) و حزب آزادی (به رهبری خیرت ویلدرس),False
برای چه کسانی دشوار است که بتوانند وارد جریان اصلی ایالات متحده آمریکا بشوند؟,هنرمندان هیپ هاپ آسیایی,ایرانیان آمریکایی,ایرانیان آمریکایی,False
تا چند سال بعد از هوور، جمهوری‌خواهان از قدرت کنار گذاشته شدند؟,۲۰,۱۲ سال,۱۲ سال,False
تمدن اژه ای پیشاهنگ کدام تمدن بود؟,تمدن یونانی,تمدن یونان,تمدن یونان,True
ایوان ساترلند، درچه سالی، لارنس رابرتس را بر آن گماشت که پروژه‌ای را برای ایجاد یک شبکه آغاز نماید؟,سال ۱۹۶۵,۱۹۸۹,۱۹۸۹,False
در سال ۱۸۴۶ اولین مسابقه ی شنا در کجا و در چه مسافتی برپا شد؟,در مسافت ۴۴۰ یارد در استرالیا,اطلاعاتی در مورد اولین مسابقه شنا در سال ۱۸۴۶ در متن موجود نیست.,اطلاعاتی در مورد اولین مسابقه شنا در سال ۱۸۴۶ در متن موجود نیست.,False
ریشهٔ شبکهٔ عظیم جهانی اینترنت به کدام دههٔ بازمی‌گردد؟,دههٔ ۱۹۶۰,دهه ۹۰,دهه ۹۰,False
گالریوس در نبرد های پیاپی برچه کسی پیروز شد؟,نرسه,شاپور,شاپور,False
روش‌های ذخیره سازی اکسیژن را نام ببرید؟,شامل کپسول اکسیژن با فشار بالا، فوق سردسازی و ترکیبات شیمیایی است,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
نخستین آثار ادبیات ژاپنی به کدام زبان سروده شدند؟,زبان چینی کلاسیک,زبان چینی کلاسیک,زبان چینی کلاسیک,True
در ژوئن ۲۰۲۰، دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت چه مبلغی کرد؟,۵ میلیارد دلار,مبلغی در متن ذکر نشده است.,مبلغی در متن ذکر نشده است.,False
دکترین کلیسای کاتولیک بر چه چیزی استوار است؟,اعتقاد نامه نیقیه,اعتقاد نامه نیقیه,اعتقاد نامه نیقیه,True
لاوازیه چه کسی بود؟,اولین کسی بود که اکسیژن را به‌عنوان یک عنصر شیمیایی مستقل به‌شمار آورد و به‌درستی به نقش آن در سوختن اشاره کرد,متن ارائه شده اطلاعاتی درباره لاوازیه ندارد.,متن ارائه شده اطلاعاتی درباره لاوازیه ندارد.,False
تعداد ضربه‌های پا در طی یک دور در شنای پروانه به طور عمومی نسبت به کرال سینه چگونه است؟,کمتر,کمتر است,کمتر است,True
پاریس در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,اروپا,True
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» چه تصاویری گردآوری شده‌است؟,تصویرهای گوناگونی از نقوش شیر و خورشید,تصویرهای گوناگونی از نقوش شیر و خورشید,تصویرهای گوناگونی از نقوش شیر و خورشید,True
آبراهام لینکلن در انتخابات ریاست جمهوری در سال ۱۸۶۰ چه کسی را شکست داد و وارد کاخ سفید شد؟,,استیونسون,استیونسون,False
اولین پادشاه دوران قاجار چه کسی بود؟,,فتحعلی شاه قاجار,فتحعلی شاه قاجار,False
شنا در برنامه های نظامی تمدن های باستانی چه جایگاهی داشت؟,,متن ارائه شده به شنا در برنامه های نظامی تمدن های باستانی اشاره ای ندارد.,متن ارائه شده به شنا در برنامه های نظامی تمدن های باستانی اشاره ای ندارد.,True
موسیقی هیپ هاپ، چگونه است؟,به صورت اشعار بسیار ریتمیک پر از تکنیک‌هایی همچون همگونی مصوت‌ها، تجانس آوایی، و قافیه است,"موسیقی هیپ هاپ عموماً از یک یا چند خواننده رپ تشکیل شده که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند و با یک قطعه‌سازی به نام ""بیت"" همراهی می‌شود.","موسیقی هیپ هاپ عموماً از یک یا چند خواننده رپ تشکیل شده که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند و با یک قطعه‌سازی به نام ""بیت"" همراهی می‌شود.",False
در شنای پروانه حرکت پاها مانند حرکت چه چیزی در آب است؟,دلفین,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
شاهنشاهی ساسانی را چه کسی پایه گذاری کرد؟,اردشیر بابکان,اردشیر بابکان,اردشیر بابکان,True
پاتریشیا کرون، مایکل کوک بر اساس متن و تحقیقات باستان‌شناسی معتقدند مسجد الحرام در کجا واقع شده‌است؟,شمال غربی شبه جزیره عربستان,شمال غربی شبه جزیره عربستان,شمال غربی شبه جزیره عربستان,True
روش پزشکی پرفشار توسط چه کسی ابداع شد؟,,گستاو ایفل,گستاو ایفل,False
شعار غیررسمی شرکت گوگل توسط چه کسی ابداع شد؟,مهندس گوگل امیت پاتل,لری پیج و سرگی برین,لری پیج و سرگی برین,False
شنا در کدام گروه از ورزش ها قرار می گیرد؟,ورزش‌های آبی,ورزش های آبی,ورزش های آبی,True
چه چیز هایی اثرات اجتماعی بسیاری در طرز رفتار جوان مدرن داشته‌است؟,موفقیت چشمگیر هیپ هاپ --- مخصوصاً سبک رپ گانگستری ---,متن ارائه شده به این سوال پاسخ نمی‌دهد.,متن ارائه شده به این سوال پاسخ نمی‌دهد.,False
در چه سالی با تصویب مجلس شورای ملی به رضاشاه لقب رضاشاه کبیر داده شد؟,۱۳۲۸,در سال ۱۳۰۴,در سال ۱۳۰۴,False
نام عموی شورشی محمد شاه قاجار که بود؟,حسین‌علی میرزا فرمانفرما,ارشدالدوله,ارشدالدوله,False
درچه تاریخی بهرام دوم درگذشت؟,۲۹۳,۲۹۳,۲۹۳,True
شاپور دوم امپراتوری خود را در کجا برقرارکرد؟,نواحی جنوبی,ایران,ایران,False
زیباترین تپه گیلان چه نام دارد؟,,چراغ علی تپه,چراغ علی تپه,False
دارالفنون در چه سالی تأسیس شد؟,۱۲۳۰ خورشیدی (۱۸۵۱ میلادی),۱۲۳۰ خورشیدی,۱۲۳۰ خورشیدی,True
بسیاری از برنامه‌نویس‌های حرفه‌ای به چه عنوان برای شرکت‌های مشاوره‌ای در محل‌های خدمت گیرنده کار می‌کنند؟,پیمانکار,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
واژه اینترنت اولین‌بار توسط چه کسی استفاده شد؟,,متن موجود اطلاعاتی درباره اینکه واژه اینترنت اولین‌بار توسط چه کسی استفاده شد، ارائه نمی‌دهد.,متن موجود اطلاعاتی درباره اینکه واژه اینترنت اولین‌بار توسط چه کسی استفاده شد، ارائه نمی‌دهد.,True
به چه علت برابرسازی پرداختی ها توسط دولت فدرال کانادا صورت گرفت؟,تا به مردم اطمینان ببخشد که استانداردهای برابری در مورد ارائهٔ خدمات و اخذ مالیات، در میان استان‌های فقیر و غنی، ارائه می‌شود.,به منظور ارتقا به یک «جامعه عادلانه» و ایجاد برابری و فراگیرندگی برای همه مردم.,به منظور ارتقا به یک «جامعه عادلانه» و ایجاد برابری و فراگیرندگی برای همه مردم.,False
موزهٔ ارمیتاژ در کدام کشور است؟,روسیه,روسیه,روسیه,True
به طور کلی با هر حرک دست در شنای پروانه چند بار پای پروانه زده‌ می‌شود؟,دو بار,کمتر از کرال سینه,کمتر از کرال سینه,False
چرا جاماسپ مالیات ها را کاهش داد؟,به منظور کمک به کشاورزان و فقرا,متن ارائه شده اطلاعاتی درباره کاهش مالیات ها توسط جاماسپ ارائه نمی دهد.,متن ارائه شده اطلاعاتی درباره کاهش مالیات ها توسط جاماسپ ارائه نمی دهد.,False
در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به چند نفر رسید؟,حدود ۲۱۰ هزار نفر,حدود ۲۱۰ هزار نفر,حدود ۲۱۰ هزار نفر,True
چه ورزش هایی تبدیل به سرگرمی  شده اند؟,چوگان,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
چه کسانی بر اساس متن و تحقیقات باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است؟,پاتریشیا کرون، مایکل کوک,پاتریشیا کرون و مایکل کوک,پاتریشیا کرون و مایکل کوک,True
چه کسی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است؟,آیرونساید,گرَنت مکرکن,گرَنت مکرکن,False
هاب را تعریف کنید؟,,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
الکسا چه چیز را بعنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده‌است؟,اینترنت وبگاه گوگل در آمریکا,متن موجود به این سوال پاسخ نمی‌دهد.,متن موجود به این سوال پاسخ نمی‌دهد.,False
اولین گروه رپ که یک آلبوم هیپ هاپ رومانیایی عرضه کرد در آن به چه موضوعاتی پرداخت؟,«اجتماعی»,زندگی در بلوک‌های آپارتمانی رومانی دوران کمونیستی و پروژه‌های مسکن‌سازی در محله‌های آمریکایی,زندگی در بلوک‌های آپارتمانی رومانی دوران کمونیستی و پروژه‌های مسکن‌سازی در محله‌های آمریکایی,False
شرکت اَپل مجوز استفاده از آی‌اواس برای چه چیزی را نمی‌دهد؟,برای نصب بر روی سخت‌افزارهای شخص ثالث,نصب بر روی سخت‌افزارهای شخص ثالث,نصب بر روی سخت‌افزارهای شخص ثالث,True
طوایف عرب خوزستان همگی از چه دسته‌ ای بودند؟,دسته کوچ نشین، غیر ثابت و با اصل و نسب مشخص در شبه جزیره عربستان,عربها,عربها,False
چرا ارمنستان همیشه مهم بوده است؟,اهمیت استراتژیک و اقتصادی داشته و به عنوان سرزمین حایل بین ایران و روم بوده.,ارمنستان به دلیل موقعیت جغرافیایی استراتژیک و نقش آن به عنوان نقطه تلاقی دو امپراتوری بزرگ، یعنی ایران و روم، همیشه مهم بوده است.,ارمنستان به دلیل موقعیت جغرافیایی استراتژیک و نقش آن به عنوان نقطه تلاقی دو امپراتوری بزرگ، یعنی ایران و روم، همیشه مهم بوده است.,True
شنا برای کودکان زیر سه سال به چه صورت می باشد؟,شنا برای کودکان زیر سه سال فقط به صورت به اصطلاح شنای سگی است,متن موجود در زمینه شنا برای کودکان زیر سه سال اطلاعاتی ارائه نمی‌دهد.,متن موجود در زمینه شنا برای کودکان زیر سه سال اطلاعاتی ارائه نمی‌دهد.,False
استان ها مسئول اکثر چه برنامه هایی هستند؟,برنامه‌های اجتماعی,برنامه های صنعتی و کشاورزی,برنامه های صنعتی و کشاورزی,False
شگون ها تا چه سده‌ای بر ژاپن حکومت می‌کردند؟,تا نیمه اول سده نوزدهم حکومت مستبدانه خود را بر ژاپن ادامه دادند.,تا سده هفتم,تا سده هفتم,False
انواع طبل را نام ببرید؟,,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
آی‌اواس در ابتدا برای کدام دستگاه‌ها توسعه داده می‌شد؟,آیفون و آی‌پاد,آیفون و آی‌پاد تاچ,آیفون و آی‌پاد تاچ,True
به چه علت پیشینه‌ی تاریخی پاسارگاد در طول تاریخ ناشناخته مانده‌است؟,تغییرنام این شهر,متن ارائه شده هیچ اشاره‌ای به پاسارگاد و علت ناشناخته ماندن پیشینه‌ی تاریخی آن ندارد.,متن ارائه شده هیچ اشاره‌ای به پاسارگاد و علت ناشناخته ماندن پیشینه‌ی تاریخی آن ندارد.,False
ابن بلخی در بیان راه‌های بین شیراز و اصفهان چند راه اصلی نام می‌برد؟,سه راه اصلی,سه راه اصلی,سه راه اصلی,True
زبان‌های برنامه‌نویسی محبوبی که برای وب و نرم‌افزارهای کاربردی تجاری استفاده می‌شوند را نام ببرید؟,جاوا، سی شارپ، ویژوال بیسیک و پی‌اچ‌پی,,,False
در سال ۱۲۸۸ رضاخان برای چه چیزی به زنجان و اردبیل اعزام شد؟,خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,برای خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,برای خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,True
مایکل سندی‌ووجیس در چه سالی متولد شد؟,,,,True
چه زمانی جام توماس لیپتون به عنوان نخستین دوره رقابت‌های جام جهانی شناخته می‌شد؟,,نخستین دوره رقابت‌های جام جهانی در سال ۱۹۳۰ برگزار شد.,نخستین دوره رقابت‌های جام جهانی در سال ۱۹۳۰ برگزار شد.,False
