question,answer,model_answer,clean_model_answer,is_correct,em_score,f1_score,precision_score,recall_score,parse_result
تابع عملکرد جستجوی نورافکن در صفحه سمت چپ صفحه اصلی روی صفحه نمایش به کاربران چه اجازه‌ای می‌دهد؟,به کاربران اجازه می‌دهد تا درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه را جستجو کنند,جستجو درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه,جستجو درون رسانه‌ها، برنامه‌ها، ایمیل‌ها، دفترچه تلفن‌ها و فایل‌های مشابه,True,False,0.7407407407407407,1.0,0.5882352941176471,False
سالانه حدود چند زمین لرزه در ژاپن رخ می‌دهد؟,۱۵۰۰,حدود ۱۵۰۰ زمین لرزه,حدود ۱۵۰۰ زمین لرزه,True,False,0.4,0.25,1.0,True
گیلکی از نظر زبان شناسی به کجا تعلق دارد؟,به شاخه شمال غربی زبان‌های ایرانی,زبان‌های شمال غربی ایرانی,زبان‌های شمال غربی ایرانی,True,False,0.8,1.0,0.6666666666666666,False
جان کالوین کولیج معاون کدام رئیس جمهور بود؟,هاردینگ,وودرو ویلسون,وودرو ویلسون,False,False,0.0,0.0,0.0,False
علیمردان خان بختیاری وکیل‌الدوله  که بود؟,نایب‌السلطنه,علی مردان خان بختیاری نایب السلطنه و یکی از سه خان لر در سال ۱۱۶۳ بود.,علی مردان خان بختیاری نایب السلطنه و یکی از سه خان لر در سال ۱۱۶۳ بود.,True,False,0.0,0.0,0.0,False
مهم‌ترین مسائل غیرنظامی رضاخان چه بود؟,رابطه با بریتانیا و شوروی,آشنایی با مناسبات قدرت و سیاست,آشنایی با مناسبات قدرت و سیاست,False,False,0.3636363636363636,0.3333333333333333,0.4,False
سبک آوازی یا تولیدی «به خانه برگرد» سئو تایجی شبیه کدام سبک بود؟,سبک سیپرس هیل,"سبک آوازی یا تولیدی ""به خانه برگرد"" سیٔو تایجی شبیه سبک راک بود.","سبک آوازی یا تولیدی ""به خانه برگرد"" سیٔو تایجی شبیه سبک راک بود.",False,False,0.125,0.07692307692307693,0.3333333333333333,False
پس از کودتای چه سالی رضاشاه را سردار سپه می‌خواندند؟,۱۲۹۹,1921,1921,False,False,0.0,0.0,0.0,False
ابوموسی اشعری اهل کجا بود؟,,ابوموسی اشعری اهل اهواز بود.,ابوموسی اشعری اهل اهواز بود.,False,False,0.0,0.0,0.0,False
شهرهای سنجار و آمیدا به دست چه کسانی افتاده بود؟,ایرانی‌ها,جنگ‌های ایران و روم,جنگ‌های ایران و روم,False,False,0.0,0.0,0.0,False
تأثیر تمدن اژه ای بر تئاتر را شرح دهید.,تمدن باستانی اژه‌ای تأثیر مستقیم زیادی در تحول تئاتر نداشت، اما تئاتر غیرمستقیم آن فوق‌العاده زیاد بود، زیرا خدایان، قهرمانان و تاریخ همین مردم بود که مواد اولیهٔ ایلیاد و ادیسهٔ هومر و اکثر درام‌های یونانی را فراهم آورد. از این رو این تمدن‌ها به جهات مختلف زیربنای ادبیات غرب به‌شمار می‌آیند,متن ارائه شده هیچ اطلاعاتی درباره تأثیر تمدن اژه ای بر تئاتر ندارد.,متن ارائه شده هیچ اطلاعاتی درباره تأثیر تمدن اژه ای بر تئاتر ندارد.,False,False,0.03076923076923077,0.07692307692307693,0.019230769230769232,False
مساحت کشور کانادا را بگویید.,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,۹٬۹۸۴٬۰۰۰ کیلومتر مربع,True,True,1.0,1.0,1.0,True
ریشه یونانی اکسیژن چیست؟,اوکسیس,Oxygen,Oxygen,False,False,0.0,0.0,0.0,False
در چه سالی استفاده از واژه اینترنت معمول شد و مجازا برای اشاره به وب هم استفاده شد؟,سال ۱۹۹۶,اواسط دهه ۱۹۹۰,اواسط دهه ۱۹۹۰,False,False,0.0,0.0,0.0,False
انجمن حزبی جمهوری‌خواهان آزادی چیست؟,,حزب آزادی (راست افراطی به رهبری خیرت ویلدرس),حزب آزادی (راست افراطی به رهبری خیرت ویلدرس),False,False,0.0,0.0,0.0,False
شاهکار بینش‌پژوه چند آلبوم منتشر کرد؟,,اطلاعاتی در مورد تعداد آلبوم‌های منتشر شده توسط شاهکار بینش‌پژوه در متن موجود نیست.,اطلاعاتی در مورد تعداد آلبوم‌های منتشر شده توسط شاهکار بینش‌پژوه در متن موجود نیست.,True,False,0.0,0.0,0.0,False
موسیقی هیپ_هاپ در اوایل کدام دهه ایجاد شد؟,دهه ۱۹۷۰,دهه ۱۹۷۰,دهه ۱۹۷۰,True,True,1.0,1.0,1.0,True
قهستان در کجا بوده‌است؟,ناحیه بزرگی شامل قم ساوه عراق عجم همدان ری و اصفهان به مرکزیت همدان بوده‌است,خراسان شمالی,خراسان شمالی,False,False,0.0,0.0,0.0,False
انواع تئاتر را نام ببرید.,به جز نوع معیار گفتار دراماتیک، تئاتر نوع های  دیگری نیز دارد؛ مانند اپرا، باله، کابوکی، تعزیه، خیمه شب بازی و پانتومیم,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
کار برنامه‌نویس بزرگ رایانه چیست؟,,آزمودن و اشکال‌زدایی برنامه‌ها، تعمیر و نگهداری، و تولید راهنماهای کاربر.,آزمودن و اشکال‌زدایی برنامه‌ها، تعمیر و نگهداری، و تولید راهنماهای کاربر.,False,False,0.0,0.0,0.0,False
لری پیج و سرگئی برین و اریک اشمیت قبول کردند که چند سال کنار هم کار کنند؟,بیست سال,۴ سال,۴ سال,False,False,0.5,0.5,0.5,False
حاکم اصفهان در زمان مرگ نادر چه کسی بود؟,ابوالفتح‌خان بختیاری,محمد حسن خان,محمد حسن خان,False,False,0.0,0.0,0.0,False
چرا صربیا یکی از مشهورترین کشورها در زمینه رپ در اروپا محسوب می‌شود؟,به لطف وجود گروه رپ سندیکای بلگراد,متن ارائه شده اطلاعاتی دربارهٔ صربیا و رپ در اروپا ندارد.,متن ارائه شده اطلاعاتی دربارهٔ صربیا و رپ در اروپا ندارد.,False,False,0.1111111111111111,0.09090909090909091,0.14285714285714285,False
مسیحی پروتستان چگونه است؟,,مسیحی پروتستان به عنوان یک مذهب مسیحی، به اصول و اعتقادات خاص خود پایبند است که شامل تأکید بر ایمان شخصی، مطالعهٔ کتاب مقدس و رد برخی از آموزه‌های کلیسای کاتولیک می‌شود.,مسیحی پروتستان به عنوان یک مذهب مسیحی، به اصول و اعتقادات خاص خود پایبند است که شامل تأکید بر ایمان شخصی، مطالعهٔ کتاب مقدس و رد برخی از آموزه‌های کلیسای کاتولیک می‌شود.,False,False,0.0,0.0,0.0,False
مرحله ی بتا را شرح دهید.,مرحله‌ای که آن (نرم‌افزار) اشکال‌زدایی می‌گردد,مرحله ای که نرم افزار اشکال زدایی می گردد.,مرحله ای که نرم افزار اشکال زدایی می گردد.,True,False,0.13333333333333333,0.1111111111111111,0.16666666666666666,False
جین آئو- یونگ در چه سالی متولد شد؟َ,,اطلاعاتی در مورد سال تولد جین آی‌و-یونگ در متن موجود نیست.,اطلاعاتی در مورد سال تولد جین آی‌و-یونگ در متن موجود نیست.,True,False,0.0,0.0,0.0,False
تیلور اولین مأموریت خود را در چه تاریخی به نتیجه رساند؟,در شب ۲۹ اکتبر ۱۹۶۹ (۱۳۴۸ ه‍. ش),سال ۱۹۹۷,سال ۱۹۹۷,False,False,0.0,0.0,0.0,False
اینترنت شامل چه شبکه‌هایی است؟,شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
طبق مطالعات انجام شده انسان ها از چند سال پیش مراسم آئینی اجرا می کردند؟,انسان از ۳۰۰۰۰ سال پیش مراسم آئینی اجرا می‌کرده‌است,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
حزب دموکرات ایالات متحده آمریکا توسط چه کسانی تأسیس شد؟,,متن موجود اطلاعاتی دربارهٔ تأسیس حزب دموکرات ایالات متحده آمریکا ارائه نمی‌دهد.,متن موجود اطلاعاتی دربارهٔ تأسیس حزب دموکرات ایالات متحده آمریکا ارائه نمی‌دهد.,True,False,0.0,0.0,0.0,False
ماده حاجب پرتونگاری چیست؟,,ماده حاجب پرتونگاری در متن موجود نیست.,ماده حاجب پرتونگاری در متن موجود نیست.,False,False,0.0,0.0,0.0,False
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟ ,غلامحسین افضل‌الملک,جاسم حسین,جاسم حسین,False,False,0.0,0.0,0.0,False
مشیرالدوله در خرداد چه سالی دولت تشکیل داد؟,۱۳۰۲,۱۳۰۰,۱۳۰۰,False,False,0.0,0.0,0.0,False
"پیوندهای هیدروژن بین مولکول‌های آب آنها را چند درصد نزدیکتر از آنچه انتظار می‌رود در یک مایع ساده که فقط دارای نیروی واندروالسی باشد، قرار داده‌است؟
",تقریباً ۱۵٪,نمی‌توان از متن اطلاعاتی در این مورد یافت.,نمی‌توان از متن اطلاعاتی در این مورد یافت.,False,False,0.0,0.0,0.0,False
هرمز سوم در باختر با چه کسی جنگید؟,هپتالیان,بلاش ششم,بلاش ششم,False,False,0.0,0.0,0.0,False
چه کسی پیرو برکناری قباد اول توسط اشراف، به تخت شاهنشاهی ساسانی نشست؟,جاماسپ,جاماسپ (زاماسپ),جاماسپ (زاماسپ),True,False,0.6666666666666666,0.5,1.0,True
واحد های بزرگ سیاسی تمدن یونان چه نام دارد؟,پولیس,پولیس,پولیس,True,True,1.0,1.0,1.0,True
ماهواره‌های کدام مدارات جهت مشاهدۀ سطح زمین مورد استفاده قرار می‌گیرند؟,مدارات قطبی,مدار هم‌زمان با زمین,مدار هم‌زمان با زمین,False,False,0.0,0.0,0.0,False
یزگرداول با چه کسی ازدواج کرد؟,شاهزاده یهودی,اطلاعاتی در مورد ازدواج یزگرد اول در متن موجود نیست.,اطلاعاتی در مورد ازدواج یزگرد اول در متن موجود نیست.,False,False,0.0,0.0,0.0,False
موسیقی رپ در بر گیرنده چیست؟,الفاظ مستهجن، خشن، ضد سفیدپوست و توهین‌آمیز نسبت به زنان,یک یا چند خواننده رپ که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند.,یک یا چند خواننده رپ که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند.,False,False,0.0,0.0,0.0,False
اولین گام در تأسیس صنعت نفت ایران و شرکت نفت انگلوپرشین چه بود؟,چاه شماره یک,حفر نخستین چاه نفت ایران و خاورمیانه در سال ۱۲۸۷ خورشیدی,حفر نخستین چاه نفت ایران و خاورمیانه در سال ۱۲۸۷ خورشیدی,True,False,0.14285714285714288,0.09090909090909091,0.3333333333333333,False
منظور از آتریاد چیست؟,تیپ,تیپ,تیپ,True,True,1.0,1.0,1.0,True
حسین بن محمد تقی نوری ملقب به چه نامی ‌است؟,خاتم المحدثین,نوری,نوری,False,False,0.0,0.0,0.0,False
واژهٔ گوگول به چه معنی است؟,عدد یک به همراه صد صفر,معنی واژهٔ گوگول در متن ارائه نشده است.,معنی واژهٔ گوگول در متن ارائه نشده است.,False,False,0.0,0.0,0.0,False
کشور شیلی در کدام قاره قرار دارد؟,,آمریکا,آمریکا,False,False,0.0,0.0,0.0,False
اصطلاح شنای سگی به چه معناست؟,سر را بیرون از آب نگه داشته و شنا می‌کند,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
در زمان صدارت چه کسی در دورهٔ ناصرالدین شاه قاجار، پرچم شیر و خورشید ایران بر فراز سفارت ایران در لندن برافراشته شد؟,امیرکبیر,میرزا تقی خان امیرکبیر,میرزا تقی خان امیرکبیر,True,False,0.4,0.25,1.0,True
احمدشاه، ایران را به قصد کدام کشور ترک کرد و هرگز بازنگشت؟,,افغانستان,افغانستان,False,False,0.0,0.0,0.0,False
چرا غواصی عمیق‌تر نیاز به مخلوط شدن مقدار قابل توجهی از اکسیژن با سایر گازها، از جمله نیتروژن یا هلیوم دارد؟,تا از اثر مسمومیت با اکسیژن جلوگیری شود.,برای جلوگیری از اثر مسمومیت با اکسیژن.,برای جلوگیری از اثر مسمومیت با اکسیژن.,True,False,0.7999999999999999,0.8571428571428571,0.75,False
بعد از کودتا اسفند 1299 مسعود خان به چه سمتی رسید؟,وزیر جنگ,حاکم شرع دادگاه‌های انقلاب,حاکم شرع دادگاه‌های انقلاب,False,False,0.0,0.0,0.0,False
در جنگ جهانی اول و جنگ جهانی دوم، ژاپن در کدام جبهه قرار داشت؟,در جنگ جهانی اول، ژاپن از متفقین بود و در جنگ جهانی دوم با متفقین می‌جنگید.,متفقین,متفقین,False,False,0.11764705882352941,1.0,0.0625,False
بودجه تئاتر ملی از کجا تأمین می گشت؟,امکانات و بودجهٔ خود را از محل خیریه آموزش و پرورش تأمین می‌کرد,متن ارائه شده اطلاعاتی درباره تأمین بودجه تئاتر ملی ندارد.,متن ارائه شده اطلاعاتی درباره تأمین بودجه تئاتر ملی ندارد.,False,False,0.0,0.0,0.0,False
اکسیژن عضوی از خانواده عناصر کدوم گروه است؟,گروه کالکوژن,گروه ۱۶ جدول تناوبی,گروه ۱۶ جدول تناوبی,True,False,0.3333333333333333,0.25,0.5,False
در دهه‌های ۱۹۶۰ تا ۱۹۸۰ گرایش غالب حزب جمهوری‌خواهان را چه گروهی شکل می‌دادند؟,میانه‌روها,فعالان ضد برده‌داری,فعالان ضد برده‌داری,False,False,0.0,0.0,0.0,False
چه کسی کادوسیان را شکست داد؟,نی‌نوس شاه آشوری,کریم خان زند,کریم خان زند,False,False,0.0,0.0,0.0,False
کدام‌یک از فرهنگ‌ها در فرهنگ ژاپن تاثیر داشتند؟,فرهنگ ژاپن طی هزاران سال از دوره جومون تا به امروز در حال تکامل بوده، فرهنگ معاصر ژاپن بسیار از آسیا، اروپا و آمریکای شمالی تأثیر پذیرفته‌است و در این بین نفوذ فرهنگ چینی پر رنگ‌تر است.,چینی، هندی، اروپایی، آمریکای شمالی,چینی، هندی، اروپایی، آمریکای شمالی,False,False,0.14285714285714288,0.6,0.08108108108108109,False
اینترنت از کدام دههٔ به صورت یک شبکهٔ همگانی و جهان‌شمول درآمد؟,از اواسط دههٔ ۱۹۹۰,اواسط دههٔ ۱۹۹۰,اواسط دههٔ ۱۹۹۰,True,False,0.8571428571428571,1.0,0.75,False
اینترنت چیست؟,شبکه‌ای از شبکه‌ها,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
چرا شوروی نظر مساعدی نسبت به رضاخان داشت؟,رهبر مبارزهٔ ملی علیه نفوذ بریتانیا,شوروی به دلیل حمایت رضاخان از قوای قزاق (طرفدار روسیه) در جنگ جهانی اول و درگیری با ملیون (طرفدار آلمان) نظر مساعدی نسبت به او داشت.,شوروی به دلیل حمایت رضاخان از قوای قزاق (طرفدار روسیه) در جنگ جهانی اول و درگیری با ملیون (طرفدار آلمان) نظر مساعدی نسبت به او داشت.,False,False,0.0,0.0,0.0,False
کلمه‌ی گوگل برگرفته از چه واژه‌ای است؟,,عدد گوگل (googol),عدد گوگل (googol),False,False,0.0,0.0,0.0,False
احزاب عمده ی هلند را نام ببرید؟,دموکرات مسیحی، سوسیال دموکرات (کار)، سوسیالیست، حزب سبزها و لیبرال,ال‌پی‌اف (فهرست پیم فورتاین) و حزب آزادی (به رهبری خیرت ویلدرس),ال‌پی‌اف (فهرست پیم فورتاین) و حزب آزادی (به رهبری خیرت ویلدرس),False,False,0.1904761904761905,0.18181818181818182,0.2,False
برای چه کسانی دشوار است که بتوانند وارد جریان اصلی ایالات متحده آمریکا بشوند؟,هنرمندان هیپ هاپ آسیایی,ایرانیان آمریکایی,ایرانیان آمریکایی,False,False,0.0,0.0,0.0,False
تا چند سال بعد از هوور، جمهوری‌خواهان از قدرت کنار گذاشته شدند؟,۲۰,۱۲ سال,۱۲ سال,False,False,0.0,0.0,0.0,False
تمدن اژه ای پیشاهنگ کدام تمدن بود؟,تمدن یونانی,تمدن یونان,تمدن یونان,True,False,0.5,0.5,0.5,False
ایوان ساترلند، درچه سالی، لارنس رابرتس را بر آن گماشت که پروژه‌ای را برای ایجاد یک شبکه آغاز نماید؟,سال ۱۹۶۵,۱۹۸۹,۱۹۸۹,False,False,0.0,0.0,0.0,False
در سال ۱۸۴۶ اولین مسابقه ی شنا در کجا و در چه مسافتی برپا شد؟,در مسافت ۴۴۰ یارد در استرالیا,اطلاعاتی در مورد اولین مسابقه شنا در سال ۱۸۴۶ در متن موجود نیست.,اطلاعاتی در مورد اولین مسابقه شنا در سال ۱۸۴۶ در متن موجود نیست.,False,False,0.21052631578947367,0.15384615384615385,0.3333333333333333,False
ریشهٔ شبکهٔ عظیم جهانی اینترنت به کدام دههٔ بازمی‌گردد؟,دههٔ ۱۹۶۰,دهه ۹۰,دهه ۹۰,False,False,0.0,0.0,0.0,False
گالریوس در نبرد های پیاپی برچه کسی پیروز شد؟,نرسه,شاپور,شاپور,False,False,0.0,0.0,0.0,False
روش‌های ذخیره سازی اکسیژن را نام ببرید؟,شامل کپسول اکسیژن با فشار بالا، فوق سردسازی و ترکیبات شیمیایی است,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
نخستین آثار ادبیات ژاپنی به کدام زبان سروده شدند؟,زبان چینی کلاسیک,زبان چینی کلاسیک,زبان چینی کلاسیک,True,True,1.0,1.0,1.0,True
در ژوئن ۲۰۲۰، دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت چه مبلغی کرد؟,۵ میلیارد دلار,مبلغی در متن ذکر نشده است.,مبلغی در متن ذکر نشده است.,False,False,0.0,0.0,0.0,False
دکترین کلیسای کاتولیک بر چه چیزی استوار است؟,اعتقاد نامه نیقیه,اعتقاد نامه نیقیه,اعتقاد نامه نیقیه,True,True,1.0,1.0,1.0,True
لاوازیه چه کسی بود؟,اولین کسی بود که اکسیژن را به‌عنوان یک عنصر شیمیایی مستقل به‌شمار آورد و به‌درستی به نقش آن در سوختن اشاره کرد,متن ارائه شده اطلاعاتی درباره لاوازیه ندارد.,متن ارائه شده اطلاعاتی درباره لاوازیه ندارد.,False,False,0.0,0.0,0.0,False
تعداد ضربه‌های پا در طی یک دور در شنای پروانه به طور عمومی نسبت به کرال سینه چگونه است؟,کمتر,کمتر است,کمتر است,True,False,0.6666666666666666,0.5,1.0,True
پاریس در کدام قاره قرار گرفته‌است؟,اروپا,اروپا,اروپا,True,True,1.0,1.0,1.0,True
در انتهای مقالهٔ «شیر و خورشید: نشان رسمی دولت ایران» چه تصاویری گردآوری شده‌است؟,تصویرهای گوناگونی از نقوش شیر و خورشید,تصویرهای گوناگونی از نقوش شیر و خورشید,تصویرهای گوناگونی از نقوش شیر و خورشید,True,True,1.0,1.0,1.0,True
آبراهام لینکلن در انتخابات ریاست جمهوری در سال ۱۸۶۰ چه کسی را شکست داد و وارد کاخ سفید شد؟,,استیونسون,استیونسون,False,False,0.0,0.0,0.0,False
اولین پادشاه دوران قاجار چه کسی بود؟,,فتحعلی شاه قاجار,فتحعلی شاه قاجار,False,False,0.0,0.0,0.0,False
شنا در برنامه های نظامی تمدن های باستانی چه جایگاهی داشت؟,,متن ارائه شده به شنا در برنامه های نظامی تمدن های باستانی اشاره ای ندارد.,متن ارائه شده به شنا در برنامه های نظامی تمدن های باستانی اشاره ای ندارد.,True,False,0.0,0.0,0.0,False
موسیقی هیپ هاپ، چگونه است؟,به صورت اشعار بسیار ریتمیک پر از تکنیک‌هایی همچون همگونی مصوت‌ها، تجانس آوایی، و قافیه است,"موسیقی هیپ هاپ عموماً از یک یا چند خواننده رپ تشکیل شده که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند و با یک قطعه‌سازی به نام ""بیت"" همراهی می‌شود.","موسیقی هیپ هاپ عموماً از یک یا چند خواننده رپ تشکیل شده که داستان‌های شبه خود زندگی‌نامه تعریف می‌کنند و با یک قطعه‌سازی به نام ""بیت"" همراهی می‌شود.",False,False,0.13636363636363635,0.10714285714285714,0.1875,False
در شنای پروانه حرکت پاها مانند حرکت چه چیزی در آب است؟,دلفین,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
شاهنشاهی ساسانی را چه کسی پایه گذاری کرد؟,اردشیر بابکان,اردشیر بابکان,اردشیر بابکان,True,True,1.0,1.0,1.0,True
پاتریشیا کرون، مایکل کوک بر اساس متن و تحقیقات باستان‌شناسی معتقدند مسجد الحرام در کجا واقع شده‌است؟,شمال غربی شبه جزیره عربستان,شمال غربی شبه جزیره عربستان,شمال غربی شبه جزیره عربستان,True,True,1.0,1.0,1.0,True
روش پزشکی پرفشار توسط چه کسی ابداع شد؟,,گستاو ایفل,گستاو ایفل,False,False,0.0,0.0,0.0,False
شعار غیررسمی شرکت گوگل توسط چه کسی ابداع شد؟,مهندس گوگل امیت پاتل,لری پیج و سرگی برین,لری پیج و سرگی برین,False,False,0.0,0.0,0.0,False
شنا در کدام گروه از ورزش ها قرار می گیرد؟,ورزش‌های آبی,ورزش های آبی,ورزش های آبی,True,False,0.0,0.0,0.0,False
چه چیز هایی اثرات اجتماعی بسیاری در طرز رفتار جوان مدرن داشته‌است؟,موفقیت چشمگیر هیپ هاپ --- مخصوصاً سبک رپ گانگستری ---,متن ارائه شده به این سوال پاسخ نمی‌دهد.,متن ارائه شده به این سوال پاسخ نمی‌دهد.,False,False,0.0,0.0,0.0,False
در چه سالی با تصویب مجلس شورای ملی به رضاشاه لقب رضاشاه کبیر داده شد؟,۱۳۲۸,در سال ۱۳۰۴,در سال ۱۳۰۴,False,False,0.0,0.0,0.0,False
نام عموی شورشی محمد شاه قاجار که بود؟,حسین‌علی میرزا فرمانفرما,ارشدالدوله,ارشدالدوله,False,False,0.0,0.0,0.0,False
درچه تاریخی بهرام دوم درگذشت؟,۲۹۳,۲۹۳,۲۹۳,True,True,1.0,1.0,1.0,True
شاپور دوم امپراتوری خود را در کجا برقرارکرد؟,نواحی جنوبی,ایران,ایران,False,False,0.0,0.0,0.0,False
زیباترین تپه گیلان چه نام دارد؟,,چراغ علی تپه,چراغ علی تپه,False,False,0.0,0.0,0.0,False
دارالفنون در چه سالی تأسیس شد؟,۱۲۳۰ خورشیدی (۱۸۵۱ میلادی),۱۲۳۰ خورشیدی,۱۲۳۰ خورشیدی,True,False,0.6666666666666666,1.0,0.5,False
بسیاری از برنامه‌نویس‌های حرفه‌ای به چه عنوان برای شرکت‌های مشاوره‌ای در محل‌های خدمت گیرنده کار می‌کنند؟,پیمانکار,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
واژه اینترنت اولین‌بار توسط چه کسی استفاده شد؟,,متن موجود اطلاعاتی درباره اینکه واژه اینترنت اولین‌بار توسط چه کسی استفاده شد، ارائه نمی‌دهد.,متن موجود اطلاعاتی درباره اینکه واژه اینترنت اولین‌بار توسط چه کسی استفاده شد، ارائه نمی‌دهد.,True,False,0.0,0.0,0.0,False
به چه علت برابرسازی پرداختی ها توسط دولت فدرال کانادا صورت گرفت؟,تا به مردم اطمینان ببخشد که استانداردهای برابری در مورد ارائهٔ خدمات و اخذ مالیات، در میان استان‌های فقیر و غنی، ارائه می‌شود.,به منظور ارتقا به یک «جامعه عادلانه» و ایجاد برابری و فراگیرندگی برای همه مردم.,به منظور ارتقا به یک «جامعه عادلانه» و ایجاد برابری و فراگیرندگی برای همه مردم.,False,False,0.26315789473684204,0.3333333333333333,0.21739130434782608,False
موزهٔ ارمیتاژ در کدام کشور است؟,روسیه,روسیه,روسیه,True,True,1.0,1.0,1.0,True
به طور کلی با هر حرک دست در شنای پروانه چند بار پای پروانه زده‌ می‌شود؟,دو بار,کمتر از کرال سینه,کمتر از کرال سینه,False,False,0.0,0.0,0.0,False
چرا جاماسپ مالیات ها را کاهش داد؟,به منظور کمک به کشاورزان و فقرا,متن ارائه شده اطلاعاتی درباره کاهش مالیات ها توسط جاماسپ ارائه نمی دهد.,متن ارائه شده اطلاعاتی درباره کاهش مالیات ها توسط جاماسپ ارائه نمی دهد.,False,False,0.0,0.0,0.0,False
در سرشماری سال ۲۰۱۶ کانادا، جمعیت ایرانیان به چند نفر رسید؟,حدود ۲۱۰ هزار نفر,حدود ۲۱۰ هزار نفر,حدود ۲۱۰ هزار نفر,True,True,1.0,1.0,1.0,True
چه ورزش هایی تبدیل به سرگرمی  شده اند؟,چوگان,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
چه کسانی بر اساس متن و تحقیقات باستان‌شناسی تصور کرده‌اند که «مسجدالحرام» در مکه واقع نشده‌است؟,پاتریشیا کرون، مایکل کوک,پاتریشیا کرون و مایکل کوک,پاتریشیا کرون و مایکل کوک,True,False,0.888888888888889,0.8,1.0,False
