question,answer,model_answer,clean_model_answer,is_correct
آیا مارمولک ها همچون قورباغه ها زبان بلند چسبناک دارند ؟,خیر,خیر,خیر,True
آیا زوسویی و چیراشی‌زوشی هر دو جزئی از آشپزی ژاپنی هستند ؟,بله,بلی,بلی,True
رهبر نخستین جهانگردان پرتغالی در سده شانزدهم در دوره امپراتوری پرتغال را عموما به چه عنوان می‌شناسند ؟,نخستین کاشف اروپایی برزیل,نخستین کاشف اروپایی برزیل,نخستین کاشف اروپایی برزیل,True
آیا دو شخصیت لوک اسکای‌واکر و توبی فلندرسون توسط مارک همیل به تصویر کشیده‌است ؟,خیر,خیر,خیر,True
آیا ماکروسافت قبل از عرضه بازی رستاخیز شرکت بتزدا را خریداری کرده است ؟,خیر,بلی,بلی,False
از بین آنتی‌بیوتیک و گرم منفی کدام یکی از انواع باکتری است ؟,گرم منفی,گرم منفی,گرم منفی,True
کدام یک از شهروندان نوومکزیکو اصالتا سرخ‌پوست هستند ؟,آپاچی,پوئبلو، ناواهو، آپاچی و کومانچی,پوئبلو، ناواهو، آپاچی و کومانچی,False
کدام یک از فیلم هایی که فرانسواز دورلیاک در آن بازی کرده است جایزه خرس طلایی را از آن خود کرده است ؟,بن‌بست,بن‌بست,بن‌بست,True
آیا در چهارمین محصول کشاورزی کشت شده در جهان نیکوتین وجود دارد ؟,بله,بلی,بلی,True
از بین کامران میرزا و ظهیرالدین محمد بابر کدام یک بنیانگذار امپراتوری گورکانی هند بود ؟,ظهیرالدین محمد بابر,ظهیرالدین محمد بابر,ظهیرالدین محمد بابر,True
آیا کسی که بازی سوپرتاکس را توسعه داده بازی ایس کمبت ۷: آسمان‌های ناشناخته را منتشر کرده است ؟,خیر,خیر,خیر,True
آیا شرکت هواپیمایی خصوصی ایرانی که آشیانه اصلی آن در شهر کرمان قرار دارد در فرودگاه بین‌المللی اهواز پرواز دارد ؟,بله,بلی,بلی,True
آیا فرانک شیرن قاتل رهبر اتحادیه کارگران آمریکا بوده است ؟,بله,بلی,بلی,True
بازیگر ایرلندی فیلم لیگ عدالت نامزد دریافت چه جایزه ای شد ؟,جایزه اسکار,جایزه اسکار بهترین بازیگر نقش مکمل مرد,جایزه اسکار بهترین بازیگر نقش مکمل مرد,False
کدام یک از فرآورده‌های شیری در وگانیسم خورده نمی شود ؟,خامه,بلی,بلی,False
آیا هنرپیشه، فیلم نام نویس و بازیگر اهل ایالت متحده آمریکا در فیلم مارشال های آمریکایی با کیت نلیگان هم بازی بوده است ؟,بله,بلی,بلی,True
آیا تیمی که هیوستون راکتس در بازی‌های حذفی به مصاف آن رفت در نیویورک مقر دارد؟,بله,بلی,بلی,True
خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی بر کدام کشور حکمرانی می‌کنند ؟,قطر,قطر,قطر,True
آیا دو فیلم فردایی بهتر و قهرمانان گریه نمی‌کنند محصول سال 1986 هستند ؟,بله,بلی,بلی,True
کدام یک از بایگران اصلی فیلم سه نفر با یک کبریت اهل ایالات متحده آمریکا است ؟,وارن ویلیام,وارن ویلیام,وارن ویلیام,True
تیمی که در جام جهانی 1994 تیم ملی فوتبال بلغارستان آن را شکست داد در چه سالی تاسیس شده است ؟,1900,1900,1900,True
آیا بازیگر نقش جک تویست در فیلم کوهستان بروکبک و ربکا فرگوسن در فیلم حیات بازی کرده اند ؟,بلی,بلی,بلی,True
 جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد در کدام کشور برگزار شد ؟,فرانسه,فرانسه,فرانسه,True
آیا سردبیر مجله نامه فرهنگستان سردبیر مجله کارنامه نیز بوده است ؟,خیر,خیر,خیر,True
آیا جنگی که آنه فرانک در آن کشته شد حدود 70 تا 85 میلیون کشته داشته است ؟,بلی,بلی,بلی,True
شرکت سازنده دورنیر دو ۲۱۷ در چه سالی پایه‌گذاری شد ؟,سال ۱۹۱۴,سال ۱۹۳۸,سال ۱۹۳۸,False
غذایی که در آن چیکووا به عنوان یکی از مواد بکار می رود به طور کلی به چند گروه تقسیم می شود ؟,دو گروه,دو گروه,دو گروه,True
کدام یک از بازیگران فیلم روزی روزگاری در مکزیک بر اثر سکته قلبی درگذشت ؟,ژولیو اسکار مچوسو,ژولیو اسکار مچوسو,ژولیو اسکار مچوسو,True
آیا نویسنده رمان خورشید همچنان می‌دمد را پدر ادبیات مدرن لقب داه اند ؟,بله,بلی,بلی,True
در کدام کشور از شبه قاره هند گرگ هندی یا ایرانی وجود دارد ؟,هند,هند,هند,True
آیا فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است تا سال 2012 رئیس کمپانی لوکاس فیلم بود ؟,بله,بلی,بلی,True
کدام یک از پروژه هایی که سورا در توسعه آن شرکت داشته توسط ماساهیرو ساکورای ساخته شده است ؟,مجموعه‌های برادران سوپر اسمش,برادران سوپر اسمش,برادران سوپر اسمش,True
نماینده سال ۲۰۰۴ اسرائیل در مسابقه دوشیزه جهان در کدام فیلم در کنار بن افلک نقش آفرینی کرده است؟,لیگ عدالت,لیگ عدالت,لیگ عدالت,True
نام مستعار کسی که شخصیت لرد ولدمورت را خلق کرده چیست ؟,رابرت گالبریث,جیکی رولینگ,جیکی رولینگ,False
آیا ابونعیم عبدالله را می توان به عنوان شخصی شناخت که از روش علمی برای انجام پژوهش بهره می‌برد ؟,بله,بلی,بلی,True
بازیگر و مدل اسرائیلی که به همراه بن افلک و هنری کویل در فیلم لیگ عدالت بازی کرده چه نام دارد ؟,گل گدوت,گل گدوت,گل گدوت,True
آیا تیم ملی فوتبال کرواسی در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد در دیدار پایانی از فرانسوی ها شکست خورد ؟,بله,بلی,بلی,True
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد شهاب حسینی برای بازی در کدام فیلم جایزه گرفت ؟,فیلم فروشنده,فروشنده,فروشنده,True
کدام یک از بازیگران فیلم افسون‌نزده یهودی تبار است ؟,مایا رودولف,مایا رودولف,مایا رودولف,True
آیا بازیگری که در فیلم شهر گمشده زی در نقش پسر پرسی به ایفای نقش پرداخته جوایز گوناگونی کسب کرده است ؟,بله,خیر,خیر,False
دانش شناختن ماده ای که پودر سنگ از آن بر اثر نیروی سایش یخچال ها بر کف یخچال به وجود می‌آید چه نام دارد ؟,سنگ‌شناسی,سنگ‌شناسی,سنگ‌شناسی,True
آیا کارگردان مستند تقاطع در فستیوال فیلم لوکارنو حضور داشته است ؟,بله,خیر,خیر,False
آیا نینتندو و سورا ال‌تی‌دی هر دو یک شرکت ژاپنی تولیدکننده بازی های ویدیویی هستند ؟,بله,بلی,بلی,True
مممممممم,مممم,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
یکی از بازیگران فیلم حیات که فرزند نمایشنامه‌نویس ناومی فومر است اولین نقش اصلی خود را در چه سالی بازی کرده است ؟,۱۹۹۹,۱۹۹۹,۱۹۹۹,True
اولین مجری ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال چه کسی بود ؟,آزاده صمدی,آزاده صمدی,آزاده صمدی,True
آیا آب و محلول هر دو ترکیب همگن هستند ؟,خیر,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
دوست بویی که همراهش برای هوشیار شدن به فرانسه نقل مکان کرد خواننده و ترانه‌نویس کدام گروه بود ؟,گروه پروتوپانک استوجز,ایگی پاپ,ایگی پاپ,False
کدام یک از میادینی که شرکت بهره برداری نفت و گاز مارون عملیات تولید از آن را برعهده دارد سومین میدان بزرگ نفتی ایران است ؟,میدان نفتی مارون,میدان نفتی مارون,میدان نفتی مارون,True
کدام یک از ملکه‌هایی که در برج سبز سر از پیکرشان جدا و گردن زده شدند مادر الیزابت اول بود ؟,آن بولین,آن بولین,آن بولین,True
آیا احمد سمیعی گیلانی در نشریه نامه فرهنگستان نقش تصمیم گیرنده پذیرش یا رد مقالات را بر عهده داشت ؟,بله,بلی,بلی,True
آیا سایتو دوسان یک نجیب زاده نظامی است ؟,بلی,بلی,بلی,True
بازیگر انگلیسی ای که در فیلم خاطرات بریجت جونز بازی کرده و در مجموعه فیلم های هری پاتر نقش پاپی پامفری را ایفا کرد چه کسی بود ؟,جما جونز,جما جونز,جما جونز,True
برشی که روش اکسایش حرارتی تولید یک لایه نازک اکسید بر روی سطح آن می‌کند در ساخت چه نوع تراشه‌هایی کاربرد دارد ؟,تراشه‌های الکترونیکی,تراشه‌های الکترونیکی,تراشه‌های الکترونیکی,True
 آیا محمد راسخ مهند و حسین پاینده هر دو استاد دانشگاه بوعلی سینا هستند ؟,خیر,خیر,خیر,True
آیا سومین میدان بزرگ نفتی ایران جزو میادینی است که شرکت بهره برداری نفت و گاز مارون عملیات تولید از آن را برعهده دارد ؟,بله,بلی,بلی,True
فیلمی که بازیگری اهل رومانی و زاده سال 1949 در آن بازی کرده است در چه جشنواره ای به نمایش درآمد ؟,جشنواره فیلم کن,جشنواره فیلم کن,جشنواره فیلم کن,True
آیا نخستین تزار روسیه مشهورترین تزار روسیه بود ؟,بله,بلی,بلی,True
کدام یک از بازیگران فیلم آخرین شکارچی جادوگر در بیشتر از 130 فیلم ظاهر شده است ؟,مایکل کین,سر مایکل کین,سر مایکل کین,True
مجله ای که پل جرج کلبنیکوف به مدت ده سال برای آن کار می کرد هم اکنون متعلق به چه کسی است ؟,خانواده فوربز,خانواده فوربز,خانواده فوربز,True
آیا فرایند پواسون و فرایند برنولی هر دو پیوسته در زمان هستند ؟,خیر,خیر,خیر,True
نام دیگر ماده ای که گرم منفی‌ها به خاطر دیواره نفوذ ناپذیرشان به آن مقاوم هستند چیست ؟,پادزیست,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
جایی که تومور گاسترینوما در آن قرار دارد در انسان سالم و بالغ وزن آن حدود چند گرم است ؟,صد,حدود صد گرم,حدود صد گرم,True
برج چیس شیکاگو چند طبقه از حداقل طبقات آسمان خراش بلند تر است؟,20,20 طبقه,20 طبقه,True
کدام یک از ستارگان فیلم عصرجدید یکی از مهم‌ترین چهره‌های تاریخ صنعت سینما محسوب می‌شد ؟,چارلی چاپلین,اسامی خاص دیگر,اسامی خاص دیگر,False
کارگردان فیلم با استعداد اهل کدام کشور است ؟,ایالات متحده آمریکا,آمریکا,آمریکا,True
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد توسط چه سازمانی جمع‌آوری می شود ؟,سازمان زمین‌شناسی آمریکا,ناسا,ناسا,False
آیا بازیگر نقش پاپی پامفری در مجموعه فیلم های هری پاتر در فیلم خاطرات بریجت جونز بازی کرده است ؟,بله,بلی,بلی,True
آیا بازی رستاخیز و فال اوت توسط یک شرکت بازی عرضه شده اند ؟,بله,بلی,بلی,True
آیا تیمی که هیوستون راکتس در بازی‌های حذفی به مصاف آن رفت تابحال هشت بار قهرمان کنفرانس شرق شده است؟,بله,بلی,بلی,True
بازیگر ایرلندی که در فیلم لیگ عدالت بازی کرده است چه نام دارد ؟,کیران هایندز,کیران هایندز,کیران هایندز,True
