question,answer,model_answer,clean_model_answer,is_correct
داده های ماهواره ای که نخستین‌ بار نقشه‌بردار موضوعی بر روی آن نصب شد در چه سالی فعالیتش پایان یافت ؟,سال ۱۹۹۳,۲۰۰۰,۲۰۰۰,False
آیا ویژه برنامه بیست و یکمین دوره ی جام جهانی فوتبال توسط مجید یاسر و علی انصاریان اجرا شد ؟,بله,بلی,بلی,True
آیا فرانسه در جام جهانی ای که ویژه برنامه زابیواکا از تلویزیون اینترنتی آیو اسپرت پخش می‌شد قهرمان جهان شد ؟,بله,خیر,خیر,False
آیا نویسنده‌ی هری پاتر و تالار اسرار چند داستان جنایی نوشته است ؟,بله,بلی,بلی,True
آیا مجموعه فانتزی هری پاتر و ترانه بیلی جین از پرفروش ترین آثار می باشند ؟,بله,بلی,بلی,True
کدام بازیگر آمریکایی که در فیلم نیمه ماه مارس ایفای نقش کرده نامزد دریافت یک جایزهٔ فیلم بفتا و یک جایزهٔ گلدن گلوب بوده‌است ؟,مریسا تومی,مریسا تومِی,مریسا تومِی,True
استودیویی که فیلم کایوت در برابر اکمی در آینده به وسیله آن توزیع خواهد شد متعلق به کدام رسانه است ؟,رسانه وارنر,رسانه وارنر,رسانه وارنر,True
کدام تیم ژاپنی سابقه ۲ قهرمانی در رقابت سالانهٔ فوتبال باشگاهی قاره‌ای که توسط کنفدراسیون فوتبال آسیا اداره می‌شود را دارد ؟,اوراوا رد دایمندز,اوراوا رد دایمندز,اوراوا رد دایمندز,True
نام رسمی لیگی که تیم اوراوا رد دایمندز سابقه قهرمانی در فصل‌های ۲۰۰۷ و ۲۰۱۷ را در آن دارد چیست ؟,لیگ قهرمانان ای‌اف‌سی,لیگ قهرمانان آسیا,لیگ قهرمانان آسیا,True
سرمربی فعلی تیم ملی فوتبالی که فرانسیسکو خنتو در دورانی ۱۴ ساله از سال ۱۹۵۵ تا ۱۹۶۹ عضو آن بوده چه کسی است ؟,لوییس انریکه,لوییس انریکه,لوییس انریکه,True
کدام بازیگر فیلم حیات در سال ۲۰۱۰ در فیلم شاهزاده ایران شن های زمان شخصیت اصلی را بر عهده داشت است ؟,جیک جیلنهال,جیک جیلنهال,جیک جیلنهال,True
یکی از بازیگران فیلم حیات که بازیگری را در ده سالگی شروع کرد، در سال ۲۰۰۴ چه فیلمی بازی کرده است ؟,روز پس از فردا,روز پس از فردا,روز پس از فردا,True
نام یکی از بازیگران فیلم حیات که در فیلمی در سال 2005 در نقش یک تکاور بازی می کرد چیست ؟,جیک جیلنهال,جیک جیلنهال,جیک جیلنهال,True
دفتر اصلی شرکت چینی که تلفن هوشمند هواوی آنر ۴سی را تحت برند آنر عرضه کرده در کدام شهر است ؟,شنژن,پکن,پکن,False
آیا فیلیپ تورتون در شهر تاریخی ای که مرکز نورماندی بود متولد شده است ؟,بله,بلی,بلی,True
سابقه ی یک سوغات اصفهان که از صنایع دستی محسوب میشود حدود چند سال است ؟,پنج هزار سال,حدود پنج هزار سال,حدود پنج هزار سال,True
 محصولی که چهارمین محصول کشاورزی کشت شده در جهان بوده و در آن نیکوتین وجود دارد چه نام دارد ؟,سیب زمینی,سیب‌زمینی,سیب‌زمینی,True
شرکت عرضه کننده بازی های فال اوت و الدر اسکورولز که بازی رستاخیز را هم عرضه کرده است چه نام دارد ؟,بتزدا,بتزدا,بتزدا,True
شرکت زیر مجموعه ماکروسافت که بازی رستاخیز را برای ویندوز، اکس باکس و پلی استیشن عرضه کرده است چه نام دارد ؟,بتزدا,بتزدا,بتزدا,True
آیا ماکروسافت شرکت منتشر کننده بازی رستاخیز را در سال ۲۰۲۰ خریداری کرده است ؟,بله,خیر,خیر,False
در جنگی که آنه فرانک در آن کشته شد حدود چند نفر کشته شدند ؟,۷۰ تا ۸۵ میلیون,حدود ۷۰ تا ۸۵ میلیون,حدود ۷۰ تا ۸۵ میلیون,True
چند کشور جهان در جنگی که آنه فرانک در آن کشته شد درگیر شدند ؟,30 کشور,بیش از ۳۰ کشور,بیش از ۳۰ کشور,False
عنصر اصلی ماده ای که پودر سنگ از آن بر اثر نیروی سایش یخچال ها بر کف یخچال به وجود می‌آید چیست ؟,سلیس,سنگ,سنگ,False
کدام یک از فیلم هایی که موسیقی آن در استودیو بل ضبط شده است در روزهای دوشنبه پخش می شد ؟,سربداران,سربداران,سربداران,True
نوسینده کدام یک از فیلم هایی که در استودیو  بل ضبط شده است کیهان رهگذار بوده است ؟,بله,سربداران,سربداران,False
پادشاه افغانی که سد سرده در زمان آن ساخته شد به مدت چند سال بر افغانستان حمک فرمایی کرد ؟,چهل سال,چهل سال,چهل سال,True
آیا پادشاه افغانی که سد سرده در زمان آن ساخته شد توانست دوره‌ای از صلح پایدار را در افغانستان برقرار کند ؟,بله,بلی,بلی,True
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد چه کسی رئیس هیئت داوران بود ؟,جرج میلر,اسامی عام,اسامی عام,False
در جشنواره ای که نخستین نمایش فیلم اگر سنگ از آسمان ببارد در آن انجام شد شهاب حسینی جایزه بهترین بازیگر نقش اول مرد را دریافت کرد ؟,بله,بلی,بلی,True
بازیگر نقش اصلی فیلم تنر هال در کدام فیلم به همراه کیت بلانشت نقش آفرینی کرده است ؟,کوچه کابوس,کوچهٔ کابوس,کوچهٔ کابوس,True
کدام بازیگر فیلم تریپل اکس موسیقی‌دان اهل ایالات متحده آمریما است ؟,ایو,ایو,ایو,True
آیا کارگردان دو فیلم استخراج و ماشین پلیس جان واتس می باشد ؟,خیر,خیر,خیر,True
کارگردان فیلم استخراج از چه سالی مشغول به فعالیت است ؟,2005,بیش از ۳۰ سال,بیش از ۳۰ سال,False
آیا ایو و استیون سی میلر هر دو آمریکایی هستند ؟,بله,بلی,بلی,True
کارگردان دو فیلم پرومتئوس و مجموعه فیلم بیگانه چه کسی می باشد ؟,ریدلی اسکات,ریدلی اسکات,ریدلی اسکات,True
آیا قورباغه ها و مارمولک‌ها هر دو از راسته بی‌دمان هستند ؟,خیر,خیر,خیر,True
کدام زبان برنامه نویسی که توسط بلوفیش پشتیبانی می شود از لحاظ نحو شبیه به سی‌شارپ است ؟,والا,والا,والا,True
در کدام کتاب از سردبیر مجله کارنامه از حسین پاینده به عنوان منتقدی که به پیش برد نقد ادبی یاری رسانده یاد شده است ؟,باغ در باغ,باغ در باغ,باغ در باغ,True
آیا نویسنده کتاب باغ در باغ از تأثیرگذارترین داستان‌نویسان معاصر زبان فارسی بوده است ؟,بله,بلی,بلی,True
مجله ای که پل جرج کلبنیکوف به مدت ده سال برای آن کار می کرد توسط چه کسی تاسیس شد ؟,بیسی فوربز,بیسی فوربز,بیسی فوربز,True
از بین نگاناسان‌ها و مردم انتس جمعیت کدام کمتر است ؟,انتس,مردم انتس,مردم انتس,False
آیا شغل اصلی نگاناسان‌ها و مردم انتس دامپروری در گله‌های گوزن شمالی می‌باشد ؟,بله,بلی,بلی,True
آیا نگاناسان‌ها و مردم انتس هر دو به زبان نگاناسانی تکلم می کنند ؟,خیر,خیر,خیر,True
آیا نگاناسان‌ها و مردم انتس هر دو نزدیک به مدار قطب شمال به‌سر می‌برند ؟,خیر,بلی,بلی,False
کدام یک از بازیگران فیلم آخرین شکارچی جادوگر برنده اسکار و گلدن گلوب شده است ؟,مایکل کین,بلی,بلی,False
آیا شرکت تکمو در همان سالی که بازی نینجا گایدن اولین بار در آمریکای شمالی عرضه شد تاسیس گردید ؟,خیر,بلی,بلی,False
تصویرگر مجموعه شکار جانور شگفت‌انگیز از اعضای کدام گروه نقاشان بود ؟,پیشارافائلی,هنری هالیدی,هنری هالیدی,False
 کدام یک از نشانه های آبله‌میمون باعث می شود بسیاری از میکروب ها توانایی رشد نداشته باشند ؟,تب,تب,تب,True
آیا موسس سورا ال‌تی‌دی مجموعه بازی برادران سوپر اسمش را منتشر کرده است  ؟,خیر,بلی,بلی,False
شرکت منتشر کننده آهنگ بیلی جین در چه سالی بنیان‌گذاشته شد ؟,سال 1953,۱۹۵۳,۱۹۵۳,True
کسی که شخصیت های مجموعه تجربیات سریالی لین را طراحی کرده عمدتا در کدام حوزه کار می کند ؟,انیمه و مانگا,انیمه و مانگا,انیمه و مانگا,True
کدام یک از مردمانی که از تکنیک تیراندازی با کمان استفاده می کردند قومی از نژاد زرد هستند ؟,مغول‌ها,مغول,مغول,True
کدام یک از فلزات نجیب به معنی زنده می باشد ؟,جیوه,جیوه,جیوه,True
آیا نقره زنده به عنوان فلزات نجیب شناخته می شود ؟,بله,بلی,بلی,True
کنسول بازی که ایس کمبت ۷: آسمان‌های ناشناخته در ژانویه 2019 برای آن منتشر شد توسط کدام شرکت معرفی شده است ؟,مایکروسافت,سونی,سونی,False
آیا شرکت نینتندو زودتر از شرکت تکمو تاسیس شد ؟,خیر,بلی,بلی,False
آیا جایزه ادبی من بوکر و جوایز گلدن گلوب هر دو به بهترین تولیدات سینمایی و تلویزیونی، هم داخلی و هم خارجی اهدا می‌گردد ؟,خیر,خیر,خیر,True
آیا نخستین جوایز گلدن گلوب زودتر از جایزه شیر طلایی اهدا گردید ؟,بله,بلی,بلی,True
آیا نینجا گایدن و ندای وظیفه هر دو توسط یک شرکت منتشر شده اند ؟,خیر,خیر,خیر,True
آیا شرکت منتشر کننده نینجا گایدن بازی ندای وظیفه را منتشر کرده است ؟,خیر,خیر,خیر,True
آیا کسی که بازی سوپرتاکس را توسعه داده بازی ندای وظیفه را منتشر کرده است ؟,خیر,خیر,خیر,True
آیا بازی ندای وظیفه و بازی ایس کمبت ۷: آسمان‌های هر دو توسط یک فرد منتشر شده اند ؟,خیر,خیر,خیر,True
آیا کارگردان فیلم آلیس در شهرها نوسینده فیلم پرومتئوس بوده است ؟,خیر,خیر,خیر,True
آیا فیلم آلیس در شهرها و فیلم پرومتئوس محصول یک سال می باشند ؟,خیر,خیر,خیر,True
آیا فیلمبرداری فیلم آلیس در شهرها توسط  نویسندگان فیلم پرومتئوس انجام شده است ؟,خیر,خیر,خیر,True
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس درام می باشند ؟,بله,بلی,بلی,True
آیا فیلم آلیس در شهرها و فیلم نیمه ماه مارس توسط ویم وندرس کارگردانی شده اند ؟,خیر,خیر,خیر,True
خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی از چه سالی بر کشور قطر حکمرانی می‌کنند ؟,سال 1850,از سال ۱۸۵۰,از سال ۱۸۵۰,True
آیا از خانواده سلطنتی شیخ خلیفه بن حمد بن خلیفه آل ثانی تاکنون 9 نفر به‌عنوان امیر قطر منصوب شده‌اند ؟,بله,بلی,بلی,True
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته نخستین بار در بخش رقابتی جشنواره فیلم کن ۲۰۱۱ اکران شد ؟,خانه بردباری,خانهٔ بردباری,خانهٔ بردباری,True
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سبک درام است ؟,خانه بردباری,خانه بردباری,خانه بردباری,True
کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته در سال ۲۰۱۱ منتشر شد ؟,خانه بردباری,خانه بردباری,خانه بردباری,True
کارگردان کدام یک از فیلم هایی که حفیصه حرزی در آن نقش داشته برتران بونلو بوده است ؟,خانه بردباری,خانه بردباری,خانه بردباری,True
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است تا چه سالی رئیس کمپانی لوکاس فیلم بود ؟,2012 سال,۲۰۱۲,۲۰۱۲,True
فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است کمپانی لوکاس فیلم را به کدام شرکت فروخت ؟,شرکت والت دیزنی,شرکت والت دیزنی,شرکت والت دیزنی,True
آیا فردی که شخصیت تخیلی لوک اسکای‌واکر توسط او پدید آمده است از مهم‌ترین چهره‌های جنبش هالیوود نو بود ؟,بله,بلی,بلی,True
کدام یک از خطرناکترین انواع بیماری‌هایی که توسط برخی انواع پشه منتقل می‌شوند از فیلاریا منشا می‌ گیرد ؟,فیلاریازیس,فیلاریازیس,فیلاریازیس,True
کدام یک از رهبران سیاسی روسیه و متحدانش در ده سالگی به حکومت رسید ؟,پطر کبیر,پتر یکم,پتر یکم,True
آیا روزنامه ای که جاستین چنگ برای آن می‌نویسد دومین روزنامه بزرگ مناطق شهری در ایالات متحده می‌باشد ؟,بله,بلی,بلی,True
کدام یک از روزنامه هایی که جاستین چنگ برای آن می‌نویسد در قسمت غربی ایالات متحده آمریکا توزیع می‌شود ؟,لس آنجلس تایمز,لس آنجلس تایمز,لس آنجلس تایمز,True
لقب نویسنده رمان خورشید همچنان می‌دمد چه بود ؟,پدر ادبیات مدرن,ارنست همینگوی,ارنست همینگوی,False
آیا نویسنده رمان خورشید همچنان می‌دمد از پایه‌گذاران وقایع‌نگاری ادبی شناخته می شود ؟,بله,بلی,بلی,True
از بین مجموعه تلوزیونی اداره و فصل سوم مجموعه کمدی موقعیت اداره کدام یک زودتر پخش شده است ؟,مجموعه تلوزیونی اداره,بلی,بلی,False
کدام یک از شرکت‌های هواپیمایی که در فرودگاه بین‌المللی سپهبد شهید قاسم سلیمانی فعال هستند در سال 1351 راه‌اندازی  شده اند ؟,ایران ایرتور,ایران ایرتور,ایران ایرتور,True
آیا دو فیلم فردایی بهتر و قهرمانان گریه نمی‌کنند را جان وو کارگردانی کرده است ؟,بله,بلی,بلی,True
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا هر دو در یک سال منتشر شده اند ؟,بله,بلی,بلی,True
آیا دو فیلم آرتی شاو: زمان چیزی است که به‌دست آورده‌ای و بی‌خانمانی در آمریکا برنده جایزه اسکار بهترین فیلم مستند شده اند ؟,بله,بلی,بلی,True
از بین نیما عالمیان و نوشاد عالمیان کدام یک فعالیت خود را از سال 2000 شروع کرده‌اند ؟,نیما عالمیان,نیما عالمیان,نیما عالمیان,True
آیا نیما عالمیان و نوشاد عالمیان هر دو فعالیت خود را از سال 1998 شروع کرده‌اند؟,خیر,خیر,خیر,True
آیا نیما عالمیان و نوشاد عالمیان هر دو اکنون عضو باشگاه توقینیه فویلارد هستند؟,خیر,خیر,خیر,True
آیا نیما عالمیان و نوشاد عالمیان هر دو بازیکن تنیس روی میز و ملی‌پوش اهل ایران هستند؟,بله,بلی,بلی,True
کارگردان مستند تقاطع تحصیلاتش را در چه رشته ای به پایان برده است ؟,مهندسی کشاورزی,مهندسی کشاورزی,مهندسی کشاورزی,True
آیا کارگردان مستند تقاطع برنده سیمرغ بلورین برای بهترین فیلم مستند شده است ؟,بله,بلی,بلی,True
کارگردان مستند تقاطع سیمرغ بلورین بهترین فیلم مستند را برای کدام فیلم برنده شده است ؟,فیلم نیمه بلند اتاق صعود,اتاق صعود,اتاق صعود,True
کدام یک از فیلم‌های کیم یونگ-کوانگ بیش از 8 جایزه را از آن خود کرده است ؟,پینوکیو,بلی,بلی,False
کدام یک از فیلم‌های کیم یونگ-کوانگ در چین و تایلند و ژاپن پخش شده است؟,پینوکیو,پینوکیو,پینوکیو,True
برشی که روش اکسایش حرارتی تولید یک لایه نازک اکسید بر روی سطح آن می‌کند توسط کدام فرایند برش می‌خورد ؟,برش ویفر یا ویفر دایسینگ,برش ویفر یا ویفر دایسینگ,برش ویفر یا ویفر دایسینگ,True
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده در جنوب ایران فیلمبرداری شده است ؟,عروس آتش,عروس آتش,عروس آتش,True
کدام یک از فیلم‌هایی که لقمانی برای آن برنده جایزه شده را خسرو سینایی کارگردانی کرده است ؟,عروس آتش,عروس آتش,عروس آتش,True
آیا جوکیو و گن‌روکو هر دو نام عصر ژاپنی در دوره ادو بودند ؟,بله,بلی,بلی,True
تیمی که میشائیل شوماخر  بیشتر دوران ورزشی خود را در آن سپری کرده در چه سالی تاسیس شده است ؟,۱۹۲۹,1929,1929,True
آیا عکاس دو فیلم پنج عصر و تخته‌سیاه میثم مخملباف می‌باشد ؟,بله,بلی,بلی,True
کدام یک از مهم‌ترین موجودات منقرض شده در انقراض هولوسین در جنگل گیر واقع در گجرات هند یافت می‌شود ؟,شیر ایرانی,شیر ایرانی,شیر ایرانی,True
کدام یک از ستارگان فیلم عصرجدید در دوره فیلم صامت به شهرت رسید ؟,چارلی چاپلین,چارلی چاپلین,چارلی چاپلین,True
کدام یک از بازیگران فیلم مارلو وکیل می باشد ؟,آدواله آکینویه آگباجه,آدواله آکینویه آگباجه,آدواله آکینویه آگباجه,True
آیا بازیگری که در فیلم شهر گمشده زی در نقش پسر پرسی به ایفای نقش پرداخته انگلیسی است ؟,بله,خیر,خیر,False
شرکتی که فیلم منتهای حد کمال از سوی آن منتشر شد توسط چه کسانی تاسیس شد ؟,هاوارد کوهن و اریک دی آربلوف,اطلاعاتی در این زمینه وجود ندارد.,اطلاعاتی در این زمینه وجود ندارد.,False
رمانی که فیلم برای اینکه از آن الهام گرفته شده به چه چیز می‌پردازد ؟,نقد مکتب روان‌شناسی رفتارگرایی,"رمان ""کوچهٔ کابوس"" به داستان استن کارلایل، یک انسان جاه‌طلب که با روانپزشکی فاسد به‌نام دکتر لیلیت ریتر ارتباط برقرار می‌کند، می‌پردازد.","رمان ""کوچهٔ کابوس"" به داستان استن کارلایل، یک انسان جاه‌طلب که با روانپزشکی فاسد به‌نام دکتر لیلیت ریتر ارتباط برقرار می‌کند، می‌پردازد.",False
رمانی که فیلم برای اینکه از آن الهام گرفته شده ابتدا در چه سالی به صورت نمایشنامه درآمد؟,۱۹۶۳ سال,۱۹۶۳,۱۹۶۳,True
کدام یک از سبک‌هایی که فرانک وینسنت زاپا در آن آهنگسازی کرده در دهه ۵۰ میلادی تحت عنوان راک اند رول شکل گرفت؟,راک,راک,راک,True
از فردی که آغاز فانک راک را به لیتل ریچارد و گروه جاده‌ای‌اش نسبت می‌دهد از پیشگامان چه موسیقی بود ؟,موسیقی فانک,فانک راک,فانک راک,False
آیا تیمی که هیوستون راکتس در بازی‌های حذفی به مصاف آن رفت دو بار در سالهای ١٩٧٠ و ١٩٧٣ قهرمان لیگ سراسری NBA شده است؟,بله,بلی,بلی,True
آیا شرکت ماهان تعداد فروند هواپیمای مسافربری بیشتری از شرکت هواپیمایی ایران ایرتور دارد ؟,بله,بلی,بلی,True
آیا پیروز یکم و محمد ظاهرشاه از پادشاهان ایرانی بودند ؟,خیر,بلی,بلی,False
آیا بازی سایلنت هیل ۲ و بازی ریمن ریوینگ رابیدها در یک سال منتشر شدند ؟,خیر,بلی,بلی,False
آیا فیلم دیوانه از قفس پرید و بی‌خانمانی در آمریکا برنده جایزه اسکار شده اند ؟,بله,بلی,بلی,True
نخستین تزار روسیه از چند سالگی به حکومت رسید ؟,ده‌سالگی,۱۰ سالگی,۱۰ سالگی,True
آیا عنصر شیمیایی با عدد اتمی ۲۶ در فهرست فلزات نجیب قرار دارد شد ؟,خیر,خیر,خیر,True
کدام یک از بازیگران فیلم سینمایی گرند ماستی در فیلم آقا تقلب نقش آفرینی کرده است ؟,مانجاری فاندیس,مانجاری فاندیس,مانجاری فاندیس,True
آیا عدد اتمی آهن از عدد اتمی مس بیشتر است ؟,خیر,بلی,بلی,False
کدام یک از فلزات نجیب عدد اتمی 29 را دارد ؟,مس,مس,مس,True
آیا کسی که شخصیت لرد ولدمورت را خلق کرد عمده شهرتش را به دلیل نوشتن مجموعه فانتزی هری پاتر کسب کرده است ؟,بله,بلی,بلی,True
کسی که قوای قزاق به درخواست او تشکیل شد چندمین پادشاه ایرانی بود که خاطرات خود را نوشت ؟,نخستین,چهارمین,چهارمین,False
آیا کسی که قوای قزاق به درخواست او تشکیل شد نخستین پادشاه ایرانی بود که خاطرات خود را نوشت ؟,بله,خیر,خیر,False
آیا کسی که قوای قزاق به درخواست او تشکیل شد معروف به قبله عالم بود ؟,بله,بلی,بلی,True
کسی که قوای قزاق به درخواست او تشکیل شد چه کسی را کشت ؟,امیرکبیر,امیرکبیر,امیرکبیر,True
کسی که قوای قزاق به درخواست او تشکیل شد در چند سالگی ترور شد ؟,65,65 سالگی,65 سالگی,True
کسی که قوای قزاق به درخواست او تشکیل شد نزدیک به چند سال پادشاهی کرد ؟,50 سال,نزدیک به ۵۰ سال,نزدیک به ۵۰ سال,True
کسی که قوای قزاق به درخواست او تشکیل شد خود را چه نامید ؟,صاحبقران,ناصرالدین شاه قاجار,ناصرالدین شاه قاجار,False
آیا پوغوس پتروسی آفیان و جوزپه فورتونینو فرانچسکو وردی هر دو ایتالیایی بودند ؟,خیر,خیر,خیر,True
آیا بازی اتومبیل‌دزدی بزرگ نیز مانند بازی سرکش از طراحی جهان باز برخوردار است ؟,بله,بلی,بلی,True
کدام یک از علائم و نشانه‌های بیماری سپتیسمی حالتی است که در آن دمای بدن جانوران خون‌گرم از مقدار طبیعی آن بیشتر می شود ؟,تب,تب,تب,True
تشنج از نتایج کدام یک از علائم و نشانه‌های بیماری سپتیسمی است ؟,تب,بلی,بلی,False
آیا دیوید والاس و لوک اسکای‌واکر هر دو یک شخصیت تخیلی هستند ؟,بله,بلی,بلی,True
دیوید والاس و لوک اسکای‌واکر چه نوع شخصیتی هستند ؟,تخیلی,شخص,شخص,False
آیا دو شخصیت دیوید والاس و لوک اسکای‌واکر توسط مارک همیل به تصویر کشیده‌است ؟,خیر,خیر,خیر,True
کدام یک از نرم افزارهایی که جنکینز از آن ها پشتیبانی می کند به صورت یک نرم‌افزار آزاد عرضه می‌شود ؟,آپاچی سابورژن,آپاچی سابورژن,آپاچی سابورژن,True
دو بازی فار کرای پرایمال و فار کرای در چه سبکی قرار دارند ؟,اکشن و ماجراجویی,اکشن و ماجراجویی,اکشن و ماجراجویی,True
